A: 	ja deze hebben ik als een soort van het zijn een heel dom omschrijving maar ik hebben een soort trechter het hebben zeggen maar aan de linkerkant r 
A: 	helemaal links in het hoek van het plaat hebben het een vierkant ding wat dan smal worden dat lopen weer over 
A: 	op een gek figuur wat aansluisen op dat kop zeggen maar 
A: 	maar aan de rechterkant van het kop hebben je ook nog iets daar zitten een rond cirkel 
B: 	rond plaat waar je in principe een taart op zullen kunnen zetten 
A: 	ja een rond plaat 
A: 	ja precies 
B: 	ja 
A: 	en de linkerkant ja beetje wazig 
B: 	ja 
B: 	ja ja 
B: 	L 
A: 	bij mij staan die helemaal onderin en dan aan de linkerkant maar van het linkerscherm zeggen maar in het midden daarvan 
B: 	nee 
B: 	dit zijn die lastig die we net hebben met die rond taarthouder aan de voorkant 
A: 	ah ja oké dat worden dus de taarthouder vanaf nu 
B: 	de taarthouder oké 
A: 	even kijken waar ah daar 
A: 	zeven 
B: 	bij mij staan die best wel bovenaan maar niet helemaal 
B: 	en dan als je vanuit het midden een stuk naar links maar niet dus ongeveer in het als je het linkerveld pakken 
B: 	en daar weer de helft van 
A: 	ja 
B: 	daar staan die in het midden 
A: 	oké 
A: 	maar hij staan wel bijna helemaal bovenaan ook 
B: 	bijna helemaal bovenaan 
A: 	oké want bij mij staan die wel qua lengte denken ik goed want hij zitten in het als je de linkerhelft pakken dan zitten hij precies in het midden daarvan 
B: 	ja 
A: 	maar als je het linker bovenste 
B: 	als je de geheel linkerhelft pakken 
A: 	ja als de heel linkerhelft dan zitten die in in het 
B: 	precies in het midden 
A: 	ja precies in het midden ongeveer 
B: 	nee 
A: 	nee maar dan wel iets naar boven maar qua hoogte zitten die niet dan zitten die net iets laag dan het 
B: 	nee nee nee zit die wel een stuk van 
A: 	als je zeggen maar de bovenste als je twee helft aan de bovenkant hebben dan zitten die niet op de helft van de bovenste lijn maar iets daaronder 
B: 	ja 
A: 	en bij jou zitten die waarschijnlijk net iets daarboven of niet 
B: 	ja 
A: 	ja dan zijn het rood 
B: 	ja 
A: 	de taart 
B: 	de taarthouder 
A: 	ja de taarthouder 
B: 	C 
A: 	bij mij staan die even kijken net een klein als je hij staan in het rechtsbovenkwadrant 
B: 	nee 
B: 	nee 
A: 	maar echt ook nog maar net een beetje eigenlijk maar 
B: 	nee nee nee bij mij staan die echt midden van het onderste rechtsonder 
A: 	oké 
A: 	prima 
B: 	dit zijn de taarthouder 
A: 	de taarthouder die ja dat zijn één 
B: 	en dan staan die bij mij aan de linkerkant van het scherm 
B: 	en dan net iets onder het midden 
A: 	ja 
A: 	de taarthouder 
B: 	ja 
B: 	A 
A: 	bij mij 
A: 	bij mij staan die aan de aan de linkerhelft 
B: 	ja 
A: 	ongeveer in het midden en qua hoogte zitten die echt zowat precies op de middellijn 
B: 	ja 
B: 	ja ja ja 
B: 	de taarthouder 
A: 	de taarthouder even kijken 
A: 	ja dertien 
B: 	dan zitten die in het linksonderkwadrant en als je het midden van het kwadrant pakken net iets naar links en net iets naar onder 
A: 	nee 
A: 	nee 
