A: 	nee dat zijn geel volgens mij 
B: 	nee ? 
B: 	oké nou we gaan gewoon ver 
A: 	ja we gaan inderdaad gewoon ver 
B: 	nou dit lijken echt zeggen maar een poppe met zo'n groot neus er zitten zo'n voorop zo'n groot bol cirkel 
A: 	ja 
B: 	alleen dan zonder piercing erdoorheen dus boven een dinge 
A: 	ja 
A: 	ja 
A: 	ik hebben hem al 
A: 	veertien 
B: 	staan in het midden 
B: 	en dan een beetje naar onder 
B: 	en dan één stap naar rechts 
A: 	ja 
A: 	dat zijn dezelfde plek dus rood 
B: 	ja ja ja 
A: 	even kijken dit deze hebben zo'n neus 
A: 	en een heel klein sprie naar links zijn dat en twee ja één soort kegel een dubbel kegel en één 
A: 	balk omhoog 
A: 	heel klein compact 
A: 	met zo'n bol neus voorop 
A: 	eigenlijk zijn het de bol neus zonder zonder piercing eigenlijk 
B: 	ja een bol een bol neus voorop 
A: 	de bol neus zonder piercing 
B: 	de bol neus zonder piercing 
B: 	met boven een balk aan de linkerkant een balk 
A: 	ja 
B: 	oké dat zijn N 
A: 	en hij staan bij mij helemaal link heel klein beetje omhoog 
B: 	nee dat zijn niet hetzelfde 
B: 	een bol neus 
B: 	bovenop een soort kegel 
B: 	en een rechthoek en aan de ander kant een soort ook iets 
A: 	ja 
A: 	negen 
A: 	dit zijn de piercing de neus zonder piercing 
B: 	ja de neus zonder piercing 
A: 	ja 
B: 	en die staan flink stuk naar links 
B: 	en in het midden 
A: 	nee hij staan bij mij helemaal bovenin 
B: 	nee 
A: 	dus geel 
A: 	neus zonder piercing 
B: 	neus zonder piercing met hier en hier 
A: 	ja 
B: 	dat zijn G 
A: 	en hij staan iets naar beneden 
A: 	heel klein beetje naar links 
B: 	ja dat zijn dezelfde plek dus ook geel 
A: 	rood 
B: 	rood ja oeh 
B: 	ik blijven het maar hardop zeggen 
A: 	ja 
B: 	dit zijn de neus zonder piercing met boven een dinge aan de zijkant 
A: 	ja 
A: 	vijf 
B: 	en deze staan in het midden 
B: 	dan iets naar rechts en een beetje omhoog 
B: 	aan de ander rechterkant passen nog echt wel twee figuurt 
A: 	nee dat zijn nee 
A: 	geel 
A: 	zonder neus piercing zonder neus 
B: 	piercing zonder neus dat zijn J 
A: 	en hij staan in het midden van het rechterbovenvak 
B: 	nee dat zijn niet hetzelfde dus dan geel 
A: 	ja 
