A: 	oké deze hebben allemaal ja raar uitsteeksel 
A: 	met een beetje een ovaal uitsteeksel zoals jij zeggen van die mok dus de bovenaan de mok 
B: 	ja 
A: 	en een ovaal uitsteeksel linksvoor 
A: 	en dan hebben die een soort van blok die dan steeds groot worden aan de rechterkant en een soort van slurf linksachter 
A: 	hij hebben in totaal vier uitsteeksel 
B: 	hebben die twee van die balk aan de rechterkant 
A: 	nee 
A: 	nee 
B: 	even kijken hoor 
B: 	vier 
B: 	twee en dan hebben die er één hebben die er links zitten en één omhoog 
A: 	ja 
B: 	uit en dan aan die kant een soort ja legoblokjesopstapeling 
A: 	ja ja 
B: 	en dan nog een slurf aan die kant 
A: 	ja die 
B: 	oké 
B: 	dan zijn het E 
A: 	oké bij mij staan die helemaal rechts 
B: 	er staan niks ver naar rechts 
A: 	nee er staan helemaal niks en dan staan er alleen nog één boven 
B: 	oké dan staan die niet op dezelfde plek 
B: 	oké dan staan die niet op dezelfde plek 
A: 	oké 
B: 	deze zijn weer die met vier uitsteeksel dus die hebben één zo'n dinge 
A: 	ah 
B: 	zo'n soort legodinge aan de zijkant 
B: 	een klein slurf en nog een 
A: 	oké ja ik weten welk je bedoelen maar ik moeten hem even zoeken 
B: 	even zoeken 
A: 	ah ja 
A: 	oké 
A: 	dat zijn nummer elf 
B: 	en hij staan als je hem zo zien precies tegen de middellijn aan 
B: 	en dan staan die zo iets boven de middellijn 
A: 	oké en in welk vlak zitten die in linker of rechtervak 
B: 	sorry in het linkervlak 
A: 	oké dan staan die op dezelfde plek 
A: 	dat zijn met die vier uitsteeksel dat slurf en die legoblok 
B: 	ja 
B: 	dat zijn J 
A: 	bij mij staan die in het rechts bovenste vak vlak eigenlijk 
A: 	en er kunnen er nog ja er staan nog twee figuurt staan veel rechts 
B: 	ja 
B: 	en als je hem zo zien staan die als je alleen het vlak zelf zien staan die dan ongeveer in het midden van dat vlak tegen de lijn aan 
A: 	ja hij staan wel een beetje tegen deze middellijn aan 
A: 	ongeveer ja en ook best wel maar veel richting deze 
A: 	dus de horizontaal 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn die een met die vier uitsteeksel met die legoblok 
A: 	ja even kijken waar die staan 
A: 	ah dat zijn nummer negen 
B: 	en hij staan in het rechtervlak onderin 
A: 	oké dan nee bij mij bovenin 
B: 	oké dat zijn makkelijk 
A: 	dit zijn met al die uitsteeksel dus met die legoblok en die slurf 
B: 	ja 
B: 	even zoeken 
B: 	ja dat zijn B 
A: 	hij zitten in het vlak rechtsonder 
A: 	en dan een beetje ja eigenlijk een beetje richting de middellijn en dan in het midden 
B: 	in het midden van dat vlak zeggen maar 
A: 	ja 
B: 	oké dan staan die niet op dezelfde plek 
B: 	dit zijn weer met die vier uitsteekselt 
A: 	even kijken waar die staan 
A: 	ah nummer vier 
B: 	en hij staan in het vlak Linksboven 
B: 	ja en er staan er nog één iets ver nog naar links 
A: 	oké 
B: 	eronder 
B: 	en staan er ook nog wel een paar die nog iets ver naar boven kunnen 
A: 	ja 
A: 	hij staan een beetje wel links in de hoek maar ja ik 
B: 	het kunnen nog ver naar links en nog ver naar boven maar niet heel veel ver 
A: 	ja 
A: 	ja 
A: 	dan zitten die wel op dezelfde zelfde plek denken ik 
B: 	oké 
