A: 	ja deze vinden ik een beetje zijn een beetje raar 
A: 	deze even nadenken horen 
A: 	hij hebben zo'n soort van Lvormig aanhangsel aan de onderkant 
A: 	en die hebben hij ook aan de rechterkant 
A: 	dus het lijken een beetje alsof die zo'n spagaat doen achtig of als hij zijn been optillen 
B: 	jij zien het echt veel menselijk dan ik 
A: 	ja 
B: 	dat zijn wel interessant 
A: 	ja en dan uitzitten er nog twee ruitachtig ding komen uit zijn hoofd of uit de bovenkant 
B: 	hebben die 
B: 	hebben die hebben die een stokneus 
A: 	ja 
B: 	oké 
B: 	dat zijn een beetje ook zoals een één van die die op een vogelhuis lijken een beetje 
A: 	wachten even hoor dan moeten ik even zoeken waar het 
B: 	zo'n zo'n stok wat voor een vogelhuis zitten daar lijken het op 
A: 	ja ja 
B: 	en dan daarachter ja het zijn een beetje wazig wat daarachter zitten 
A: 	ja 
B: 	ja 
A: 	volgens mij weer met die blokkig ding achtig 
B: 	ja 
A: 	oké 
B: 	oké dat zijn M 
A: 	bij mij zitten die aan de linkerkant 
A: 	wel nog niet helemaal aan de linkerkant 
A: 	er zitten zeggen maar nog volgens mij zijn dit trouwens dezelfde plek als waar bij jou vorig keer die clown zitten 
A: 	want volgens mij zitten die ja 
A: 	want bij mij zitten er nu namelijk nog linksboven zitten er nog twee erbof 
B: 	er zitten bij jou Linksboven nog twee te opzicht van die we nu hebben bespreken 
A: 	van dit plaat 
B: 	dan zijn het niet dezelfde plek 
B: 	dit zijn weer die wazig met de ruit aan de achterkant en dan die de de telescoop ernaast of de oud toestel 
A: 	ja 
A: 	ja 
A: 	soort van alsof die aan het schaatsen zijn 
B: 	je moeten wel een nummer zeggen 
A: 	ja negen 
A: 	oeh bijna 
B: 	hij zitten onderaan 
B: 	link van het midden 
B: 	bij mij 
A: 	ja als je zeggen maar de alleronder hebben dan zijn het de veel linker 
B: 	ja 
A: 	ja 
A: 	dit zijn weer die die twee rui met die twee oud camera erin 
B: 	oké 
B: 	dat zijn H 
A: 	en deze zitten weer in dat groep 
B: 	ja 
A: 	en als je die helemaal linksboven hebben dan daar één rechtsonder van 
B: 	ja ik denken dat het dezelfde plek zijn 
B: 	dit zijn weer de ruit met de twee ouderwets camera aan de zijkant 
A: 	ja dat zijn elf 
A: 	zeggen ik het goed ? ja elf 
A: 	bij mij zijn dat het veel Linksboven 
B: 	ja 
B: 	mij ook 
A: 	dit zijn weer die met die drie of die rui met die twee oud camera erin 
B: 	ja dat zijn D 
A: 	die 
B: 	bij mij zitten die helemaal linksonder 
A: 	en 
A: 	gewoon het veel ver 
B: 	ja 
A: 	dat zijn niet hetzelfde 
B: 	oké 
A: 	bij mij zitten er één naast namelijk 
A: 	aan de rechterkant 
B: 	dit zijn weer de ruit met de oud camera aan de zijkant 
A: 	ja dat zijn veertien 
B: 	dat zitten verticaal in het midden en dan helemaal naar links 
B: 	mij zitten die helemaal naar links 
A: 	dus bij jou zijn het degeen die helemaal gewoon het veel link zitten 
B: 	ja van de veel links zijn het de middel 
A: 	nee 
A: 	bij mij zitten die rechtsonder 
