A: 	oké 
A: 	dit figuur dat hebben een soort van klein een bellet of een haarplukje aan de bovenkant 
A: 	en aan de voorkant zitten er een één dat zijn misschien een makkelijkst omschrijving een balle met een balk erdoorheen 
B: 	zo'n soort hamerachtig dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn F 
A: 	en hij staan als je vanuit de rechterkant uitgaan 
A: 	daar hebben ik bij mij twee plaat boven mekaar 
B: 	ja 
A: 	en van de onderste daar zitten die links naast 
B: 	van de onderste zitten die link 
B: 	dus het zijn niet de veel rechts maar die die er link naast 
A: 	ja ja 
B: 	oké dan zitten die op een ander plek 
B: 	oké 
B: 	deze dat het het hamer zeggen maar 
B: 	ik weten niet of je hem dan snpen maar bolle en dan lijken het er gaan een staaf doorheen 
A: 	ja met één met een toet erbovenop of een één 
B: 	en 
B: 	ja precies 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer vijf 
B: 	oké 
B: 	en je hebben de veel links heel duidelijk en dan een strook van vier van boven naar beneden 
B: 	dus dan zullen je en dan zijn het de twee daarvan 
A: 	nee bij mij zijn het de boven 
B: 	ja oké 
A: 	dus dat zijn rood 
A: 	deze ja dat hamer met dat bolle erdoor het bolle zitten aan de voorkant 
A: 	er zitten een staaf door het lijken wel alsof die vastzitten aan de muur 
B: 	ja 
A: 	met een nog zo'n klein dinge erbovenop 
B: 	klein dinge Erboven dat zijn A 
A: 	ja 
A: 	en het zijn helemaal rechts onderin 
B: 	oké nee 
B: 	dit zijn ja het hamer zeggen maar met het druppelt pluk bovenop 
A: 	ja dat zijn nummer vijf 
B: 	oké als je de als je de je zien zeggen maar een drie nou dat zijn niet handig 
B: 	drie bovenste aan de rechterkant 
B: 	en daaronder twee 
B: 	en dan zijn het de links van die twee 
A: 	nee bij mij zijn het de rechts 
B: 	oké 
A: 	dit zijn diegene met dat balle rechtsvoor waar dat staaf door zitten 
B: 	ja 
A: 	met het klein toe erbovenop 
B: 	ja dat zijn H 
A: 	en als je het scherm zien en dan zijn het eigenlijk nee dat zijn niet handig 
B: 	bij mij zitten die in de onderste rij 
A: 	ja bij mij ook en dan eigenlijk als je je kunnen er vijf maken van de onderste rij en daar de middel van 
B: 	oké 
B: 	ja 
B: 	ja precies 
B: 	het hamer 
B: 	zeggen maar met het druppelt bovenop 
A: 	even kijken waar die zitten 
A: 	ja dat zijn nummer vijftien 
B: 	en hij zitten in het driehoek als je een driehoek zullen maken van rechtsboven 
B: 	zitten die aan de linkerkant 
A: 	nee bij mij zitten die dan weer linksonder 
A: 	dus dat kloppen net niet 
B: 	wachten wachten 
A: 	je hebben 
B: 	hij zitten onder die driehoek bedoelen je 
A: 	onder die driehoek zitten die ja 
B: 	ja ja ja 
A: 	ja 
B: 	oké 
