B: 	oké het plaat hebben 
B: 	zeggen maar zo'n plat vierkant ding dwars door het ja tegen de onderkant aan van het kop 
B: 	en dan zitten er nog een soort van rond buis aan de voorkant 
B: 	en aan de linkerkant zitten er nog een vierkant staaf met een hoek erin 
B: 	en aan de bovenkant zitten nog twee van die ministaaf 
A: 	ja 
A: 	ja dat plaat gaan er wel doorheen dan toch 
B: 	ja 
A: 	ja 
B: 	zeggen maar ja dwars of hoe noemen je dat 
A: 	ja ja ja 
B: 	zo erdoorheen 
A: 	oké dat zijn dan zes 
B: 	bij mij staan die qua boven en nee qua links en rechts niet in het midden maar net rechts van het midden 
B: 	en dan bijna tegen de rand van de bovenkant aan 
B: 	met nog zo'n ruimte tegen de rand erboven 
A: 	ja 
A: 	ja bij mij staan die ook iets naar rechts en inderdaad bijna helemaal boven 
B: 	maar hoeveel ruimte zitten er nog bij jou aan de bovenkant 
A: 	zoiets 
B: 	ja bij mij ook 
B: 	en zeggen maar 
A: 	net iets rechts naast het midden 
B: 	ja 
B: 	bij mij zijn er nog ruimte echt precies in het midden voor een plaat 
A: 	ja 
A: 	ik denken wel dat het hetzelfde zijn dan 
B: 	ik denken het ook 
A: 	dit zijn het ja het kop met op één drie van de onderkant zo'n vierkant plateau 
A: 	en aan de voorkant zo'n rond staaf 
A: 	aan de bovenkant twee van die punt en dan dat haak aan de rechterkant 
B: 	ja aan de bovenkant twee 
B: 	ja 
B: 	dat zijn C 
A: 	linkerkant trouwens 
B: 	ja 
A: 	ja 
B: 	C 
A: 	en hij staan als je de rechterkant hebben op het midden van de rechterkant en helemaal bovenaan 
B: 	ja bij mij ook 
B: 	met nog zo'n stuk Erboven 
A: 	ja 
B: 	rechts 
B: 	midden van rechterdeel 
B: 	dat zijn hetzelfde denken ik 
B: 	dit zijn die met de vierkant plaat er dwars doorheen 
B: 	en dan twee van die punt bovenop 
B: 	en aan de voorkant nog een rond staaf en links nog een hoekig ding 
A: 	ja 
A: 	dat zijn dertien 
B: 	bij mij staan die helemaal links bovenin 
B: 	en zo'n stuk aan de bovenkant nog en zo'n stuk links ervan 
A: 	nee bij mij staan die veel laag 
A: 	wel op dezelfde hoogte aan de linkerkant maar veel op het midden 
B: 	oké 
A: 	dit zijn die met dat horizontaal vierkan ja door de helft net 
A: 	en dan die twee punt bovenop dat gehaakken dinge aan de en die rond staaf voorkant 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	en hij staan ja bijna op het midden net iets rechts ervan 
B: 	ja 
A: 	en best wel aan de ja op de onderste rij 
B: 	bij mij ook 
B: 	nog zo'n stuk eronder 
A: 	ja 
B: 	hetzelfde denken ik 
B: 	dit zijn die met het vierkant plateau er dwars doorheen 
B: 	en die twee punt aan de bovenkant 
A: 	ja 
A: 	met die haak 
B: 	ja 
A: 	dat zijn negen 
B: 	hij staan zo'n stuk van de rechter kant af 
A: 	ja 
B: 	en dan net wat boven dit midden 
A: 	Erboven 
B: 	ja 
A: 	maar bij mij zijn wel eronder 
B: 	oké 
A: 	dit zijn die met die plateau door het midden met die twee punt boven haak 
B: 	oké dat zijn N 
A: 	hij zitten net iets rechts van het midden 
A: 	maar wel de bovenste rij 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	bij mij staan zo'n stuk nog boven 
A: 	ja 
B: 	dat zijn hetzelfde denken ik 
