A: 	er komen een soort aan de bovenkant een soort van vierkant vlak uit wat er een beetje schuin in vallen 
A: 	en dan hebben je aan beide kant een soort van staaf wat erdoorheen zitten 
A: 	en aan de linkerkant zijn die kort als aan de rechterkant 
B: 	en onder dat schuin vlak zitten nog zo'n dinge 
A: 	ja ja 
B: 	ja 
B: 	en die een zijn zo en die ander gaan een klein beetje omhoog 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij K 
A: 	en hij zitten bij mij in het linkerbovenvlak 
A: 	het zijn ook echt het veel nee dat zijn niet waar 
A: 	ja linkerbovenvlak maar er zitten niks veel boven en er zitten ook niks veel link van 
A: 	als je ver naar onder gaan zitten er nog wel één die iets ver naar links gaan maar het zijn wel echt het veel linksbovenste figuur 
B: 	oké 
B: 	zullen je zeggen dat die ook links in het linksbovenvlak een beetje wel in het midden zitten 
B: 	klein beetje misschien een klein beetje helen naar links maar 
A: 	ja 
A: 	klein beetje naar links en naar boven misschien maar wel wel redelijk in het midden ja 
B: 	ja 
B: 	oké dan denken ik zelfde plek 
B: 	dit zijn de mok met het vierkant muntstuk wat ondersteunen worden door een pilaar 
B: 	er gaan er één aan deze kant doorheen die zijn wat klein 
B: 	en aan die kant gaan er één doorheen die hebben die zijn wat wat wat wat wat lang 
B: 	en die gaan een klein beetje omhoog 
A: 	even kijken een vierkant vlak 
B: 	wat erin verdwijnen zeggen maar geen muntstuk maar een een vierkant vlak 
A: 	ja 
A: 	met dat dinge eronder 
B: 	eronder 
A: 	aan dat schuin vierkant vlak 
B: 	ja daar zitten nog een ondersteuning onder 
A: 	zitten een dinge onder 
B: 	en dan het het dinge wat er aan de linkerkant doorheen gaan zijn wat dikk maar wat kort 
B: 	en die aan de rechterkant eruit komen die zijn wat bred en worden dan wat weinig 
B: 	en die zijn ook lang 
A: 	ja 
B: 	en ze hebben al twee zo'n rond aan de de staaf zeggen maar 
A: 	nummer 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en die staan bij mij aan de rechterkant 
B: 	een beetje in het midden 
B: 	qua vlak maar dan net iets boven het midden 
A: 	midden bedoelen je van het heel scherm of van het rechtsboven 
B: 	midden van het heel 
B: 	nee midden van het heel scherm dus het heel scherm en dan ongeveer in het midden 
B: 	en dan boven het midden 
A: 	ja maar wel echt sterk boven het midden wel dat je duidelijk zien dat het boven het midden zijn 
B: 	ja ja ja 
A: 	ja 
B: 	ja 
B: 	die lopen er echt heel vrolijk zeggen maar of heel duidelijk onderlangs 
A: 	ja die middellijn 
B: 	ja 
A: 	ja 
A: 	en zitten er nog een figuur boven 
B: 	ja er zitten er nog één boven 
A: 	ja oké zelfde plek 
A: 	deze hebben aan allebei de kant zo'n stange die eruit komen met zo'n bolle erop en dan zo'n schuin 
A: 	vierkant vlak wat erin vallen 
A: 	met een dinge er onderaan 
B: 	ja 
A: 	onderaan dat vierkant vlak 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	die zitten bij mij aan de linkerkant van de verticaal lijn 
A: 	en als je hem horizontaal doormidden verdeellen kruisen de lijn hem denken ik 
B: 	de horizontaal lijn 
A: 	en ander zitten die ja en ander zitten die er net iets onder maar ik denken dat die hem kruisen 
B: 	ja ik ja nee dezelfde plek 
B: 	dit zijn die met de vierkant vierkant muntstuk 
B: 	die erin verdwijnen met dat dinge eronder 
B: 	ja hij staan bij mij rechts hoe heten dat ? links linksonderin in het vak een beetje 
B: 	aan deze kant komen er die staaf uit die wat klein zijn met een rond daaraan 
B: 	en die kant een staaf die wat lang zijn maar net wel iets dunn 
A: 	ja 
B: 	daar zitten ook een rond op en die gaan een klein beetje omhoog 
A: 	ja en dat vierkant vlak wat erin vallen vaststaan schuin 
B: 	ja 
A: 	ja 
B: 	en die worden dus ondersteunen door zo'n ding 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer drie 
B: 	die staan bij mij dus links 
B: 	linksonder en dan een beetje in het midden misschien net iets helend naar rechts 
A: 	ja dus van het linksondervlak misschien iets helend naar rechts 
B: 	iets helen naar rechts 
A: 	na 
B: 	ja 
A: 	nee bij mij denken ik niet 
A: 	bij mij hellen die dan denken ik juist iets naar links 
B: 	nee bij mij 
A: 	er zitten er twee naast elkaar toch ? twee figuur 
B: 	ja bij mij zitten er ook twee naast elkaar 
A: 	dan hebben jij denken ik die ander dan ik 
B: 	ja 
A: 	hebben jij de links daarvan of de rechts 
B: 	ik hebben de rechts 
A: 	ja ik de links 
A: 	dan zijn het een ander 
A: 	ik hebben deze omschrijven als een spagaat maar dat zijn die een met dat schuin vlak wat erin vallen en dan aan allebei de kant komen er een staaf uit met een bolle aan 
A: 	dat en die staaf één zijn lang dan de ander 
B: 	ja ja ja 
B: 	dat zijn bij mij L 
A: 	en hij zitten bij mij als je de verticaal lijn hebben iets rechts daarvan 
A: 	en de horizontaal lijn gaan er of doorheen of dit figuur vallen er net iets onder 
B: 	nee zit die bij mij echt helemaal anders hij zitten bij mij echt in het midden van het vlak rechtsonder 
A: 	oké nee 
B: 	echt een heel ander plek 
A: 	ja 
B: 	dit zijn die met dat platform wat er zo in vallen zeggen maar 
A: 	ja 
B: 	of dat dat dat vierkantje wat er zo in vallen ondersteunen en dan hebben die twee staf 
A: 	ja 
A: 	ja 
A: 	spagaat 
B: 	ja de spagaat inderdaad die jij zo noemen 
A: 	vijf 
B: 	die worden bij mij raken door de verticaal middellijn en die zitten echt een flink stuk naar onder 
B: 	ik hebben onderin ook twee figuur die staan redelijk ver alleen je hebben die en dan staan er één wat veel naar onderen 
B: 	die staan bij mij wat veel naar rechts 
B: 	en dat zijn de robot die hebben ik rechts staan 
A: 	ja rechts daarvan staan de robot 
B: 	ja 
A: 	ja hebben ik ook 
B: 	ja 
A: 	zelfde plek denken ik 
A: 	gezondheid 
B: 	danken je wel 
B: 	dan hopen ik niet dat ze dat ook helemaal meekrijgen 
