A: 	ik hebben nu een mok die hebben een soort van hoed op eigenlijk 
A: 	en aan de rechterkant komen er twee balk uit die even groot zijn 
A: 	linksonder zitten 
B: 	lijken op een isgelijktek 
A: 	ja 
B: 	ja dan zijn het bij mij nummer I 
A: 	op een zijn 
A: 	ja 
A: 	ja 
A: 	handig 
A: 	en hij staan weer Linksboven 
A: 	en dan nou aan de rechterkant 
B: 	dus wel veel richting het midden van het scherm denken 
A: 	rechts 
A: 	ja 
A: 	ja 
B: 	ja ik denken dat dat dezelfde plek zijn 
B: 	ik hebben degeen met het isgelijktek aan de rechterkant dan een soort hendel 
A: 	ja dat zijn nummer twee 
B: 	yes 
B: 	en bij mij zitten die dan linksonder 
B: 	en dan richting de horizontaal middellijn denken 
A: 	en daar in het midden van ook weer 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	zijn hetzelfde 
A: 	nou dit zijn de mok met het isteken 
B: 	ah ja 
B: 	even zien 
B: 	dat zijn bij mij M 
A: 	ja 
A: 	die staan bij mij helemaal links onderin 
B: 	bij mij ook 
B: 	ik hebben degeen met het isgelijktek en dan de hendelt 
A: 	top dat zijn nummer negen 
B: 	ja 
B: 	bij mij zitten die dan het linkerkwart bovenaan 
B: 	veel richting de middellijn de verticaal lijn 
A: 	en zullen er nog voor de verticaal middellijn één tussen kunnen 
B: 	ja maar het worden wel krap maar ja dat zullen kunnen 
A: 	ik ik goken toch gelijk 
A: 	nou dit zijn de mok met het isteken 
B: 	yeslen en die staan bij mij bij nummer F 
A: 	en die zitten bij mij rechts onderin en dan tegen de verticaal lijn aan 
A: 	en dan net niet helemaal onder in beeld 
A: 	hij 
B: 	kunnen er nog iets tussen 
A: 	nee er kunnen niet iets tussen maar er staan één naast die net ietsje laag staan zeggen maar 
B: 	of onder 
B: 	nee 
A: 	bij mij 
A: 	dus hij staan wel onder in het beeld 
B: 	ja 
A: 	maar er zullen misschien een half mok nog onder kunnen 
B: 	ja 
B: 	ik denken wel dat die op dezelfde plek zitten 
A: 	oké 
B: 	maar in principe hebben je dan de horizontaal lijn en daar zitten heel dicht een ander object tegenaan 
A: 	nee hij zitten echt veel richting de onderrand van het scherm 
B: 	ja ik denken wel dat het zelfde zijn 
B: 	yeslen ik hebben het isgelijkteken 
A: 	nummer zes 
B: 	yes 
B: 	en bij mij zitten die dan richting het kwart denken van het scherm 
B: 	dus dan hebben je je horizontaal lijn hier 
B: 	en dan daar de verticaal lijn en dan zitten die vrijwel hij zitten nog steeds aan de linkerkant 
A: 	er net naast zeggen maar 
A: 	ja 
B: 	maar hij zitten vrijwel in het midden 
A: 	ja gelijk 
