A: 	ik hebben er nu één met zo'n staaf ervoor en zo'n bolle erop 
A: 	en twee ja je zullen je het kunnen zien als armp eigenlijk 
B: 	ja 
A: 	twee dinge aan de zijkant 
B: 	ja 
B: 	dat zijn 
B: 	ja ik denken dat ik wel weten welk 
A: 	oké 
B: 	dat zijn bij mij dan D 
A: 	bij mij staan die onderaan het scherm zeggen maar de onderste rij 
B: 	ja 
A: 	en dan net net staan die net rechts van het midden maar nu staan die net links van het midden helemaal onderaan 
B: 	ja daar staan die bij mij ook dus dan denken ik dat het dezelfde plek zijn 
A: 	oké 
B: 	ja ik hebben nou ook weer die een die hebben we al hebben met die staaf zeggen maar 
B: 	ervoor en dan twee uitsteeksel aan de zijkant en een bolle aan de bovenkant ja 
A: 	een bolle erop 
A: 	oké dat zijn nummer vijftien 
B: 	en bij mij staan die helemaal rechts onderin 
A: 	staan die helemaal rechts ? want bij mij staan die wel helemaal onderin maar op ongeveer drie vier 
B: 	helemaal rechts staan die bij mij dus 
A: 	oké dan staan die niet op dezelfde plek 
A: 	die staaf ervoor dat bolle erop en die twee steeksel uit 
B: 	ja dat zijn bij mij L 
A: 	liggen ongeveer op één vier qua hoogte iets naar links 
A: 	even kijken ongeveer ja op één drie van het scherm denken ik 
A: 	aan de linkerkant 
B: 	ja bij mij zijn die ook ongeveer wel 
B: 	qua hoogte zullen heel krap nog een plaat Erboven kunnen denken ik 
A: 	ja dat past eigenlijk niet echt 
B: 	nee dat past niet veel maar 
A: 	nee 
A: 	ja dan denken ik wel dat die dezelfde plek liggen toch 
B: 	denken ik ook dan 
B: 	nou hebben weer die staaf aan de voorkant en dat bolle bovenop en dan die twee uitstekend staf 
A: 	met die armpjes 
A: 	ja 
A: 	dat zijn nummer zes bij mij 
B: 	en bij mij staan die ja eigenlijk ja wel in precies in het midden ongeveer zullen ik wel kunnen zeggen 
A: 	nee 
B: 	en dan aan de rechterkant kunnen er nog een plaat naast wel 
A: 	ja bij mij staan die wel echt dik onder staan die wel echt onder het midden 
B: 	nee bij mij zijn die wel echt in het midden dus 
A: 	oké 
A: 	staan die niet op dezelfde plek 
A: 	even kijken ik hebben er één met dat bolle Erboven 
A: 	bij mij een beetje staan die rechts bedoelen ik juist met die staaf ervoor en die twee armp 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	met ongeveer er opstaan nog een plaat er kunnen nog een plaat naast zeggen maar aan de rechterkant hij staat ongeveer op het midden 
B: 	ja en dan één plaat 
A: 	er staan bij mij één plaat zo rechtsboven en één zo rechtsonder 
B: 	rechtsboven en net één rechtsonder ja 
B: 	ja dan staan die op dezelfde plek 
B: 	weer die een met die staaf ervoor zeggen maar en dat bolle aan de bovenkant en die twee staf die er nog uit steken 
A: 	even kijken 
A: 	ja 
A: 	even kijken ja die staaf ervoor en die ding en dat bolle 
B: 	ja 
A: 	nummer drie 
B: 	en bij mij staan die helemaal aan de rechterkant er kunnen eigenlijk ook geen plaat veel naast en dan qua hoogte ja net iets onder het midden zullen ik zeggen 
A: 	ja 
A: 	bij mij ook 
