B: 	oké 
B: 	ik hebben ja ik noemen het een theekopje 
B: 	die een vierkant scherm erdoorheen hebben zitten alleen dan onder het midden 
A: 	even kijken vierkant scherm 
A: 	doorheen 
A: 	kunnen je nog veel uitleggen 
B: 	ja horen aan de voorkant hebben die dan nog wel zo'n rond staaf die laten maar zeggen als een neus eruit komen 
B: 	en aan de linkerkant hebben die een staaf met een hoek erin 
B: 	en bovenop hebben die twee ja voelsprietjes kunnen je het noemen 
A: 	voelspriet eens even kijken nog een keer en in het midden zijn één onderaan zijn een vierkant 
B: 	ja iets onder het midden zitten een vierkant erdoorheen laten maar zeggen 
A: 	ah ja ja nu zien ik hem ja 
B: 	oké 
A: 	dat zijn zes 
B: 	dan staan die bij mij helemaal bovenaan het scherm 
B: 	en dan rechts van het midden 
A: 	ja 
B: 	iets 
A: 	ja bij mij ook 
B: 	oké 
A: 	dus dat zijn ook geel 
A: 	ja ik volgens mij hebben jij hem net benoemen ik weten niet veel precies hoe je hem hebben benoemen met die met die vierkant plaat 
A: 	aan de onderkant 
B: 	erdoorheen 
A: 	ja erdoorheen 
B: 	ja 
A: 	ik hebben het benoemen als glijbaan zeggen maar die voorste slurf die je zo zien dat dat een beetje een glijbaan kunnen zijn 
B: 	ja 
B: 	ja daar kunnen je een oké prima zijn dat de glijbaan 
A: 	dat 
A: 	oké 
B: 	C 
A: 	en hij staan bij mij helemaal bovenaan 
B: 	ja 
A: 	en dan aan de rechterkant een beetje in het midden van het rechterboven kwadrant 
B: 	ja 
A: 	ja 
B: 	de glijbaan 
A: 	de glijbaan waar staan die bij mij ? ik weten welk je bedoelen maar ik moeten hem even zoeken 
B: 	ja 
B: 	met het met het vierkant aan de onderkant erdoorheen 
A: 	ja ik 
A: 	ah ja dertien 
B: 	bij mij staan die helemaal linksboven 
A: 	nee 
A: 	de glijbaan 
A: 	met dat vierkant erdoorheen zeggen maar in het midden 
B: 	ja 
B: 	hier J 
A: 	helemaal onderaan bij mij vanaf het midden iets naar rechts dus in het rechtsonderkwadrant 
A: 	maar echt 
B: 	ja ja ja 
A: 	ja oké 
B: 	dit zijn de glijbaan 
A: 	de glijbaan 
B: 	met het vierkant erdoorheen 
A: 	ja dat zijn negen 
B: 	staan die bij mij helemaal aan de rechterkant 
B: 	boven het midden van de hoogte 
A: 	boven het midden 
B: 	ja 
B: 	niet onder 
B: 	dus hij staan niet helemaal aan de rechterkant want er zijn nog een plaat 
A: 	oké nee dan zitten die bij mij zitten die wel helemaal aan de rechterkant en net onder het midden 
B: 	ja nee dat zijn een ander bij mij 
A: 	oké 
A: 	glijbaan 
A: 	helemaal bovenin bij mij klein tikkel naar rechts van de middellijn 
B: 	oeh 
B: 	ja 
B: 	N 
