A: 	ik ja het goed kunnen je hem een beetje misschien wel met een een zo'n ouderwets adopter of lader of stekker of als je naar Engeland of iets toe gaan zeggen maar zo'n stekker 
B: 	ja 
B: 	ja dan 
A: 	of één en hij lijken ook wel een beetje op een fietsenlamp een heel klein beetje 
B: 	ja 
B: 	zitten zo'n dinge nog bovenop 
A: 	er zitten nog zo'n dinge bovenop en dat zakken dan af 
B: 	ja 
B: 	oké 
B: 	dat zijn B 
A: 	en hij staat ongeveer op de twee rij 
A: 	en redelijk in het midden maar iets veel naar links dan rechts 
B: 	nee 
B: 	en onderaan 
B: 	nee nee 
A: 	nee bovenaan sorry 
B: 	nee nee dan zijn het 
A: 	ja 
B: 	ja volgens mij zijn dit ja die adapter met die dat istek in ieder geval 
B: 	hij 
A: 	ja die adapter hebben we twee adapter of één 
A: 	in ieder geval die adapter met die een beetje dan zo afloopt 
B: 	ja er zitten eigenlijk een soort half piramide op met waar de bovenkant zijn af ja ja 
A: 	ja precies waar de kop eraf zijn zijn afbrokkelen ja 
A: 	twee 
B: 	ja hij staan ja hij staan niet echt helemaal linksonder maar bij mij staan ver niks veel linksonder hij staan wel 
B: 	ja hij staan vrij onder ja twee rij van onder twee rij van links zeggen maar 
A: 	ik denken dan net wel of net niet twee rij van onder 
A: 	ik denken net dan niet 
A: 	dat zijn die oud adapter 
B: 	ja 
B: 	M 
A: 	en hij staan zo goed als linksonder maar er zullen misschien net nog iets link kunnen of net nog iets onder kunnen 
B: 	ja ja 
B: 	ja dit zijn die adapter 
A: 	ja 
A: 	negen 
B: 	en bij mij staan die bovenaan 
B: 	en dan ja net één van het midden vandaan één of anderhalf van het midden 
A: 	midden anderhalf en dan boven zullen er helemaal niks veel boven kunnen 
B: 	jawel ja 
A: 	toch nog wel 
A: 	oké 
A: 	de oud adapter 
B: 	ja dat zijn F 
A: 	hij staan er zullen zo goed als beneden er zullen misschien nog een half beneden kunnen 
A: 	en van het midden iets veel naar rechts 
B: 	ja 
B: 	dus één veel die nog rechts of één die nog veel naar het midden kunnen zeggen maar 
A: 	ja er zullen één nog veel naar het midden toe kunnen zeggen maar als het midden zijn één stap naar rechts en 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dit zijn de adapter 
A: 	ja 
A: 	zes 
B: 	en hij staan ja in die vier blok hij staan dan gewoon links 
B: 	en dan het links zeggen maar net naar onderen 
B: 	van het midden 
A: 	dus van het midden net iets naar onder link 
B: 	ja 
A: 	ja 
