A: 	ja dit zijn het kop en aan de rechterkant hebben die ja een horizontaal rond schijf 
A: 	en aan de linkerkant hebben die ja een soort van achtvormig buis staaf 
B: 	staaf ja 
A: 	en daarop zo'n zo'n driehoek met een plat vierkant aan de ander zijde 
B: 	ja 
B: 	ja dat zijn de enig denken ik met zo'n rond dinge 
A: 	ja 
B: 	rechts 
B: 	dat zijn bij mij L 
A: 	en hij staan bij mij ja als je het midden hebben en aan de linkerkant daar weer de helft van daar en dan de onderste rij 
B: 	nee bij mij niet bij mij wel linkerhelft 
B: 	maar niet helemaal onderste rij 
B: 	daarboven nog 
A: 	oké 
A: 	nee hij staan bij mij wel helemaal onderaan 
B: 	oké 
A: 	op zo'n stuk 
B: 	dan zijn het niet hetzelfde 
A: 	nee 
B: 	dit zijn die met dat rond horizontaal plateau aan de rechterkant 
B: 	en dan links zo'n staaf met zo'n deuk erin en dan 
A: 	ja 
B: 	een uiteenlopend staaf naar een vierkant 
A: 	ja ja 
A: 	dat zijn zeven 
B: 	hij staan aan de linkerhelft net net naast het midden 
B: 	en dan veel richting de bovenkant 
B: 	alleen zitten er nog wel zo'n stuk Erboven tot de rand 
A: 	maar net naast het midden zeggen je 
B: 	ja 
B: 	net links naast het midden 
A: 	bij mij staan die ja wel ongeveer op de helft van de linkerkant 
A: 	en nog wel zo'n stuk boven 
B: 	nee dan zijn 
B: 	oké 
A: 	dus dat zijn dan niet hetzelfde 
B: 	nee niet 
A: 	dit zijn die ja met die rond schijf aan de rechterkant die plat rond schijf en dan die staaf met die inham en dan dat 
B: 	ja 
A: 	uitlopen driehoek met het plaat 
B: 	ja 
B: 	dat zijn C 
A: 	en hij staan net iets rechts van het midden 
A: 	en ja boven het midden 
B: 	bij mij staan die onder 
A: 	nee hij staan wel echt boven 
B: 	oké zijn niet hetzelfde 
B: 	dit zijn die met het rond horizontaal plateau aan de rechterkant van het kop 
B: 	en dan dat staafding link 
B: 	met dinge ervan af 
B: 	ja 
A: 	ja die staaf met die inkeping 
B: 	ja 
A: 	ja dat zijn één 
B: 	hij staan ja linkerdeel en dan zo'n stuk van de computerrand af 
B: 	en dan iets nou misschien iets onder dit midden 
B: 	of juist precies dat midden 
A: 	ja 
A: 	ja dat zijn die van mij ook 
B: 	oké 
A: 	ja dit zijn die met die die plat rond schijf 
A: 	met die staaf met de inkeping en dat gek ding daaraan 
B: 	ja 
B: 	dat zijn A 
B: 	ja 
B: 	A 
A: 	hij staan links het midden van link 
A: 	en best wel het midden van boven onder 
A: 	net iets naar onderen 
B: 	ja bij mij ook 
B: 	ja 
B: 	zijn die met het horizontaal rond plateau rechts 
B: 	en die staaf met inkeping en het puntig ding eraan 
A: 	ja 
A: 	dat zijn dertien 
B: 	hij zitten linkerhelft ongeveer daar weer de helft van 
B: 	en dan zo zit die ongeveer de helft van het onderste deel 
A: 	nee bij mij staan die helemaal links in het midden 
B: 	nee 
