B: 	denken ik ook 
A: 	even kijken wat zijn dit ook alweer ? ja er zitten twee van die haak zo 
A: 	en die hebben een lang stok 
A: 	één één haak onder 
A: 	dat zijn eigenlijk de enig met een haak onder echt zo'n 
B: 	zijn dat wat ik een beetje op een olifant vinden lijken met ook van die driehoek erbovenop en dan 
A: 	even kijken ik weten namelijk niet of we het over hetzelfde hebben 
A: 	ik denken het niet want daar zijn er nog ander van 
B: 	nou misschien lijken het 
A: 	hij hebben bovenop hebben die zo'n soort van zo'n ruit met uitsteeksel 
B: 	ja dat zijn het wel 
A: 	oké ja oké dat zijn de olifant goed om te weten 
B: 	nou ja 
B: 	nou het lijken niet op een olifant ik denken eerst een kat zeggen maar met zo'n 
B: 	het zijn hem in ieder geval 
B: 	het zijn M 
B: 	M sorry 
A: 	ja dat hebben ik inderdaad niet zeggen hij zitten aan de linkerkant 
A: 	net iets op drie net iets over drie vier net iets onder het midden 
B: 	nee hij zitten bij mij wel boven het midden 
A: 	oké dan zitten die niet op dezelfde plek 
B: 	het zijn die met de dinge aan de onderkant waarvan ik vinden dat het een olifant zijn maar wat bij nad inzien niet op een olifant lijken 
A: 	ja de stok zo naar voren ook 
B: 	ja hier hebben die een stok 
A: 	of niet 
A: 	ja 
A: 	ja zo 
A: 	ja 
B: 	als je het interpreteren als een mens 
A: 	ja 
A: 	dan zijn het negen 
B: 	hij staan bij mij op de onderste rij en dan de veel links 
A: 	ja 
A: 	dit zijn degeen die jij op een olifant vinden lijken 
B: 	waar zijn die 
B: 	ja H 
A: 	en dan hebben je die zitten in de bovenste slinger 
A: 	en dan de onderste twee en dan de zijn het de links 
B: 	ja dat denken ik wel 
B: 	het zijn die olifant 
B: 	wat ik een olifant vinden 
A: 	ja 
A: 	ja elf 
B: 	en het zijn één rij en dan de veel links 
A: 	ja 
A: 	dit zijn de olifant 
B: 	d 
A: 	en die zitten aan de linkerkant 
A: 	hebben je er één helemaal helemaal links onderin 
B: 	dat zijn hem bij mij dus dan hebben we niet dezelfde 
A: 	nee nee dan zijn het hem niet 
A: 	dan zijn het niet hetzelfde 
B: 	het zijn de olifant die zitten bij mij 
A: 	even kijken die olifant die zijn ja veertien 
B: 	bij mij zitten die uiterst links in het midden 
A: 	nee 
A: 	dit zijn plateaut soep 
