B: 	dit zijn die een met heel veel ding hij staan op een op een oppervlakte en hij hebben twee van die uitsteeksel rechts en link 
A: 	ja 
A: 	bij mij zijn het nummer vijf 
B: 	hij staan aan de linkerkant van het scherm 
B: 	een beetje eigenlijk aan in het midden van de linkerkant 
A: 	ja 
B: 	en dan net onder de deze middellijn zeggen maar 
B: 	dus 
A: 	net eronder 
B: 	ja 
A: 	oké bij mij staan die er volgens mij net iets boven 
A: 	of in ieder geval net iets boven het midden van het scherm laten maar zeggen 
A: 	dus dan denken ik niet dat ze op dezelfde plek staan 
B: 	ja bij mij zijn die net eronder 
A: 	ik hebben weer dat ding wat op een op een vierkant staan met die twee soort van spiraalt aan beide kant 
B: 	ja 
B: 	dat zijn J 
A: 	bij mij staan die helemaal rechtsonder in de hoek 
B: 	nee daar staan die bij mij niet 
B: 	ik hebben die een die op zo'n vlak staan en twee van die spiraalding aan de zijkant hebben 
A: 	ja 
A: 	dat zijn bij mij nummer elf 
B: 	en hij staan links in het midden ergens 
B: 	en net iets onder de middellijn 
A: 	onder 
B: 	ja 
A: 	nee bij mij staan die Erboven 
A: 	ik hebben die op dat vierkant met die twee spiraalt 
A: 	aan de beide zijkant 
B: 	ja dat zijn P 
A: 	mij staan die aan de rechterkant van het scherm 
A: 	net rechts van de middellijn 
B: 	nee bij mij staan die wel echt in het midden van de rechterhelft 
A: 	nee zijn bij mij niet 
B: 	oké 
B: 	dat zijn die een die op een ding staan en twee spiral aan de zijkant 
A: 	ja nummer negen 
B: 	hij staan op de middellijn en dan boven de middellijn 
B: 	er past er geen veel boven 
A: 	nee dat hebben ik niet 
B: 	maar het zijn ook krap 
A: 	ik hebben die een op dat plateau met die twee staaf met die spiraalt aan de zijkant 
B: 	die spiraalt 
B: 	dat zijn L 
A: 	bij mij staan die aan de linkerkant van het scherm 
B: 	nee staan die bij mij niet 
