A: 	dit zijn die ik net zeggen 
A: 	met zo'n twee koker naar de linkerkant en dan zo'n toeter erop 
B: 	ja één lijken wel een projectie van een beamer zeggen maar 
B: 	zullen het kunnen zijn 
A: 	ja 
B: 	ja oké 
A: 	en dan nog zo'n tafel aan de rechterkant 
B: 	tafel aan de rechts kant ja dat zijn bij mij zijn dat L 
A: 	en hij staat helemaal naar beneden en vanuit de verticaal lijn twee naar links 
B: 	nee staan die bij mij niet 
B: 	dan deze weer met die die die ronde verrekijker aan de zijkant met die beamerprojectie naar achter 
B: 	en dat tafel aan de rechts kant 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	die staan als je in het midden staan gaan je twee naar boven en één naar links ongeveer 
A: 	vanaf die sliert aan de linkerkant die zo schuin lopen 
B: 	ja 
A: 	zijn het dan de twee of de één 
B: 	dan zijn het de boven 
A: 	nee bij mij zijn het de twee 
A: 	die een met de beamer 
A: 	en het tafel 
B: 	ja zijn bij mij C 
A: 	en die staan in het midden één naar boven 
B: 	nee bij mij staan die aan de onderkant 
B: 	dus dat zijn rood 
B: 	dit zijn met de beamerstraal 
A: 	ja dat zijn nummer één 
B: 	staan bij mij helemaal linksmidden 
B: 	middel vlak 
B: 	en dan helemaal links en eigenlijk ietsjes aan de onderkant ervan 
A: 	staan er nog één naar beneden 
B: 	ja 
A: 	ja dat zijn hem 
A: 	de een met de beamer 
B: 	ja dat zijn bij mij A 
A: 	en die staan in het midden eigenlijk helemaal links 
A: 	niet helemaal links maar wel 
B: 	halverwege links ja 
A: 	ja zo ver mogelijk links als kunnen 
B: 	ja 
B: 	de beamerprojectie 
A: 	dat zijn dertien 
B: 	niet helemaal linksonder maar diegene die daar rechts boven staan 
A: 	nee 
A: 	bij mij staan die helemaal vanaf het midden helemaal links 
B: 	nee 
