A: 	nou dit zijn wel wat ik noemen het feestbees het zijn dus zo'n heel grappig figuur met zo'n hoed een soort van 
B: 	ja 
B: 	nee volledig hoed 
A: 	ja en hij lijken op een soort van wielt te staan 
B: 	ja 
A: 	met zo'n staart 
B: 	met een heel gek dinge in zijn achterkant zeggen maar 
A: 	ja 
A: 	ja 
A: 	ja een soort van staart 
B: 	en een heel groot blok aan de voorkant 
A: 	ja een neus 
B: 	dan misgaan het om J 
A: 	bij mij staan die rechts nou aan de rechterkant 
A: 	laten ik het zo zeggen 
A: 	en dan van de rechterkant in het midden 
B: 	ja 
A: 	en dan onderin 
A: 	helemaal onderin 
B: 	ja bij mij ook 
A: 	oké 
B: 	er past ongeveer één twee anderhalf aan de linkerkant en één aan de rechterkant 
A: 	naast ja 
A: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit gaan om de feesthoed met de volledig hoed een gek dinge in zijn kont en een rond op wiele 
A: 	ja 
A: 	dat zijn Numero zes 
B: 	en bij mij liggen die aan de rechterkant 
B: 	daaronder kunnen er nog één daarboven kunnen er drie 
A: 	ja 
B: 	aan de rechterkant zullen er nog één kunnen 
A: 	één kunnen ja 
B: 	hij zitten zeggen maar net op de helft ook van als je zeggen maar de lijn gaan trekken liggen die wel volledig aan de rechterkant 
A: 	dan liggen die op 
B: 	zeggen maar als zeggen maar als je dus het beeldscherm in twee delen en dan weer daar de helft van 
A: 	en dan en dan ja ja ja 
B: 	liggen die wel helemaal aan de rechterkanthelft tegen de lijn 
A: 	ja 
A: 	dan liggen die op dezelfde 
A: 	dan liggen die op dezelfde plek 
B: 	ja 
A: 	ja het feest hoed 
B: 	met het gek ding in zijn kont met wielt en 
A: 	ja 
A: 	ja ja 
B: 	ja dan gaan het om E 
A: 	en bij mij staan die als je het scherm doormidden delen eigenlijk vrij aan de ja aan de rechterkant de Q raken hem net niet bij mij 
B: 	ja 
B: 	nee bij mij niet bij mij staan die weer in het midden van het midden van daarvan 
A: 	oké 
A: 	nou dan staan die niet op dezelfde plek 
B: 	niet dezelfde plek 
B: 	dit zijn het feesthoed met op de wielt en een gek dinge 
A: 	ja ja 
A: 	dat zijn Numero tien 
B: 	link onderin 
A: 	ja 
B: 	past twee vingerlengte 
A: 	helemaal links onderin 
B: 	nee twee linge twee vingerlengte nog eronder kunnen geen figuurt veel onder aan de linkerkant kunnen er nog wel één staan aan de rechterkant 
B: 	nog ongeveer twee 
A: 	huh ? linksonder in de hoek 
B: 	hij staan links onderin 
A: 	ja 
B: 	er kunnen links nog één ertussen staan 
A: 	ja 
A: 	bij mij kunnen er nog echt wel twee denken ik 
B: 	bij mij niet bij mij kunnen er nog maar één 
A: 	oké dan staan die niet op dezelfde plek 
B: 	nee 
A: 	het feestmutsje met dat raar ding aan de aan de aan de kont 
B: 	ja met op wielt 
A: 	ja 
B: 	gaan om G 
A: 	en bij mij staan die helemaal links in de hoek 
B: 	mij ook 
A: 	hij 
B: 	kunnen één vinger Erboven en twee aan de linkerkant 
A: 	ja zoiets 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn het feestmutsje op rollet 
A: 	het infeestmutsjen op rollet 
A: 	dat zijn Numero tien 
B: 	bij mij vallen die aan de rechterkant 
A: 	mij ook 
B: 	stellen dat je het rood pinne weer nemen 
A: 	ja 
B: 	en dan ongeveer poeh deze zijn lastig 
A: 	hij hij staan bij mij aan de aan de rechterkant 
A: 	er kunnen er nog één 
B: 	ja 
B: 	één kunnen er aan de rechterkant 
A: 	er kunnen bij ja en boven kunnen er nog twee 
B: 	bij mij drie 
A: 	en 
B: 	drie kleint zeggen maar 
A: 	ja ja ja drie kleint 
B: 	ja 
A: 	en beneden 
B: 	onder anderhalf 
A: 	ja anderhalf 
B: 	ja en als je de rood pin neemt zeggen maar die lijn dan kunnen er ongeveer twee vingerlengte daaronder en hij vallen dan zeggen maar een beetje 
A: 	ja 
B: 	half in het midden als je dan zeggen maar de lijn trekken van E en N en je gaan naar rechts trek je weer een lijn 
A: 	ja 
B: 	en dan ongeveer op die lijn vallen die naar de rechterkant 
B: 	hij raken de lijn en hij vallen veel naar de rechterkant 
A: 	ja 
B: 	zullen denken ik op dezelfde plek liggen 
A: 	oké 
