B: 	ja ik vinden het ik wat het zijn 
B: 	er zitten aan de linkerkant twee van die blok die of steeds groot worden of steeds klein worden afhankelijk van hoe je het zien 
B: 	en een groot vierkant plaat aan de voorkant en een antenne 
A: 	even ja ja ja ja ja ja ja ja 
A: 	toppie twee 
B: 	en die zitten bij mij links in het midden helemaal onderaan 
A: 	bij mij zitten die wel links maar veel in het midden gewoon daarvan dus ik denken niet dat die dan hetzelfde zijn 
B: 	oké een ander plaats 
A: 	dit zijn diegene met die antenne vierkant van voren en die twee vierkant aan de rechterkant 
B: 	die klein worden 
A: 	die klein worden ja 
B: 	ja precies 
B: 	G 
B: 	die zitten bij mij net iets link van het midden een beetje onderaan 
A: 	ja 
A: 	dat hebben ik precies hetzelfde ja jij mogen hem 
B: 	dat zijn voor mij 
B: 	dit zijn weer met die antenne bovenop en die vierkant plaat ervoor en dan de vierkant die groot worden 
A: 	ja die twee aan de ja oké dat zijn negen 
B: 	net iets naast het midden aan de linkerkant en bijna helemaal onderaan 
A: 	er zitten één dinge nog onder bij mij 
B: 	ja precies 
A: 	ja 
B: 	ja 
A: 	oké dit zijn diegene met de antenne het vierkantje van voren en die twee vierkant die telkens klein worden aan de zijkant 
B: 	oké 
B: 	d 
B: 	hij zitten bij mij echt ongeveer in het midden en dan net iets boven het midden 
A: 	ja ik denken ja vrijwel in het midden van het midden eigenlijk maar iets naar boven inderdaad ik denken dat we dezelfde hebben dan ja 
B: 	ja 
B: 	dit zijn weer met die die klein worden blok helemaal links 
B: 	twee 
B: 	en dan zo'n vierkant plaat voor en een antenne bovenop 
A: 	ja ja ja dat zijn één 
B: 	en die zitten bij mij net iets rechts van dat midden zeggen maar van de scheidslijn en dan ongeveer gewoon in het midden 
A: 	ja bij mij zijn die iets naar boven tenminste je hebben de scheidslijn dan zijn die iets rechts daarvan en dan zijn die iets omhoog dus nou ik denken dat dat misschien 
B: 	hij zitten bij mij wel echt ongeveer in het midden qua hoogte maar 
A: 	oké nee dan zijn het het denken ik niet 
A: 	dit zijn degeen met de antenne vierkant van voren en twee vierkant die klein worden aan de 
B: 	ja 
B: 	B 
A: 	die zitten bij mij rechts van de scheidslijn onderaan 
B: 	ja 
B: 	bij mij ook 
