B: 	ja dit zijn deze hebben een zo'n rond voorkant zo'n rond neus net als met die met dat ijstheestokje 
A: 	hebben die een nee laten maar 
A: 	wachten even hebben die een driehoek naar rechts 
A: 	naar links bedoelen ik 
B: 	naar links een nee 
B: 	nee hij hebben echt zo'n echt precies zo'n zelfde neus als die met dat ijstheestaafje 
A: 	oké 
A: 	ja 
B: 	dus echt zo'n ronde 
B: 	zelfde kant op 
A: 	ja en dan en dan twee ding bovenop 
B: 	ja twee van die gek ding bovenop en één ding naar ja 
A: 	link 
B: 	ja links ja 
A: 	met en dat zijn een driehoek 
B: 	driehoek ja ja ja 
A: 	oké 
B: 	oké ja 
A: 	bij mij zijn dat veertien welk bij jou 
B: 	bij mij zijn dat P 
A: 	P 
B: 	P ja 
A: 	P veertien 
B: 	en hij staan oké dan onder het midden in de horizontaal en iets naar rechts in de verticaal maar dan 
B: 	één stap naar rechts verticaal 
B: 	en één stap naar beneden Horizontaal 
A: 	dan staan die denken ik op dezelfde plek 
A: 	dus geel 
A: 	degeen die wij zo raar vinden met het ijstheestaafje maar dan zonder het ijstheestaafje 
A: 	dus alleen met dat bolle 
B: 	die 
B: 	alleen de neus ja 
A: 	en met dat driehoek aan de zijkant 
B: 	driehoek aan de 
B: 	ja 
B: 	N 
A: 	drie 
B: 	N drie 
A: 	ja 
B: 	sorry moeten 
A: 	vergelijken met Pinokkio staan die op dezelfde hoogte helemaal aan de linkerkant kunnen niks veel naast 
B: 	kunnen niks veel naast bij mij kunnen er nog wel iets naast er vaststaan namelijk iets naast 
A: 	oké 
B: 	dus niet dezelfde plek 
B: 	ja die waar waarvan alleen die neus en dan dat driehoek uit zijn oor en dan twee staaf bovenop 
B: 	G bij mij 
A: 	neus driehoek uit het oor wat 
B: 	driehoek driehoekig zo aan de zijkant en die bol neus 
A: 	je bedoelen met één recht staaf en één raar uitkomst 
B: 	ja 
B: 	ja 
B: 	die ja 
A: 	oké 
A: 	negen welk zijn het bij jou 
B: 	G 
A: 	G negen 
A: 	bij mij zitten die helemaal links bovenin 
B: 	link 
B: 	wat zeggen je 
A: 	bij mij zitten die helemaal links bovenin 
B: 	nee bij mij niet 
B: 	bij mij staan die links wel helemaal links maar dan twee stap naar beneden 
A: 	oké nee niet hetzelfde 
B: 	nee jij moeten doen 
A: 	ijstheestampertje maar dan zonder het ijstheestampertje 
B: 	ja 
B: 	dus met de driehoek ja G 
A: 	driehoek aan de zijkant 
A: 	dertien 
B: 	G dertien 
A: 	net wat link van het midden net wat onder het midden 
B: 	ja 
B: 	zelfde plek 
B: 	dit zijn de ijstheestamper zonder ijstheestamper dus alleen de neus 
A: 	nee dat zijn 
B: 	O 
A: 	O vijf 
B: 	en als je nou weer vanuit het midden eigenlijk één stap naar boven één anderhalf stap naar rechts 
A: 	nee die die van mij staan helemaal rechts 
A: 	dan hebben je een bijna driehoek gewoon rechts één en dan één schuin naar beneden toe en dan één schuin omhoog 
B: 	ja en één 
B: 	ja 
A: 	nee want die van mij zijn helemaal rechts 
B: 	nee dat zijn bij mij een ander 
A: 	ijstheestamper zonder ijstheestamper 
B: 	ja 
A: 	dus met die driehoekig ding aan de zijkant 
B: 	even 
A: 	negen 
B: 	J negen 
A: 	rechts bovenin hebben je er drie staan eigenlijk 
A: 	dus hebben je 
B: 	ja in een driehoek of in een lijn 
A: 	in een driehoek 
B: 	ja de ja 
A: 	en dan zijn het de linkerkant van van die driehoek 
B: 	nee bij mij zijn het bij mij vallen die buiten die driehoek 
A: 	dus dus kunnen er nog één boven 
A: 	oké 
B: 	dus niet hetzelfde 
