A: 	ja ik zijn ik weten niet waarom die hebben ik beschrijven als Pinokkio maar dan ja het zijn 
B: 	ik weten al welk je bedoelen ik vinden het een boiler denken ik 
A: 	nou het zijn het zijn een het hebben een heel lang neus zo maar aan de achterkant hebben het een soort van geruit geruit iets met een soort boek met twee vierkant blok ja 
B: 	met zo 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ik vinden het één die neus Pinokkio en dat boek daar hebben ik nog iets ander bij zetten maar 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ik vinden het echt op een boiler lijken ik weten niet waarom 
A: 	ja kloppen op zich ook wel een beetje ja 
B: 	M 
A: 	bij mij staan die aan de linkerkant 
A: 	en als je ook nog de linkerhelft van het scherm hebben staan die ongeveer in het midden daarvan en qua hoogte zitten die net een beetje naar onder 
B: 	ja 
B: 	zijn dit wel echt in het als je de linkerhelft van het scherm pakken het midden of wel iets van links van het midden 
A: 	ja ja 
A: 	klein ja redelijk in het midden maar een klein stuk link van het midden misschien 
A: 	en dan net een klein beetje als je weer de de bovenkant en de onderkant in twee zullen splitsen dan zitten die daar net onder 
B: 	ja 
B: 	net onder het midden van 
A: 	ja 
B: 	oké nee dan zijn het niet dezelfde plek 
A: 	oké 
B: 	ik noemen het de boiler 
B: 	jij noemen het iets ander 
A: 	ja 
B: 	met dat vierkant boek bovenop 
A: 	ja ja ja ik noemen het Pinokkio maar de boiler ja 
B: 	Pinokkio ja Pinokkio 
A: 	negen 
B: 	bij mij staan die helemaal onderin 
B: 	en dan vanuit het midden een stuk naar links maar wel ver voor het midden van het linkerveld 
A: 	ja dus als je het linksmiddenkwadrant moeten pakken helemaal onderin en maar dan net een klein beetje rechts van het midden zeggen maar 
B: 	rechts van het midden 
A: 	ja nee rechts van het als je het links 
B: 	midden van het onderste kwadrant 
B: 	ja 
A: 	ja als je het linksonderkwadrant pakken dus daar een klein beetje rechts van het midden van 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	Pinokkio jij de boiler 
B: 	de 
A: 	ja de boiler 
B: 	de boiler 
B: 	ik zien hem niet 
A: 	met dat ja met dat gek vierkant ding en de twee zeggen maar die vierkant ding aan de achterkant en 
B: 	ja en met dat boek bovenop 
A: 	ja dat boek bovenop ja precies 
B: 	ja 
B: 	H 
A: 	linksbovenkwadrant in het midden 
B: 	ja 
B: 	ja 
B: 	oké de boiler 
A: 	de boiler 
A: 	ja dat zijn elf 
B: 	bij mij staan die Linksboven 
B: 	maar niet helemaal linksboven 
B: 	maar er staan ver niks in de buurt 
B: 	ik ik denken ongeveer het midden van het Linksbovenkwadrant 
A: 	qua breedte of 
B: 	qua breedte en qua hoogte 
A: 	oké 
A: 	qua hoogte zitten die bij mij wel tot bovenaan maar daar daar zitten voor de rest tenminste er zitten niks hoger veel 
A: 	maar qua breedte zitten die sowieso wel in het midden zeggen maar van het Linksbovenkwadrant 
A: 	qua hoogte zitten die wel helemaal boven eigenlijk een beetje 
B: 	ja 
A: 	leg hem ander nog eens uit 
A: 	ik denken dat die wel op dezelfde plek zitten hoor maar 
B: 	ja dat denken ik ook wel 
B: 	om eerlijk te zijn 
B: 	hebben je er drie bij elkaar staan in het Linksbovenkwadrant 
A: 	nee ik hebben er maar twee daar 
B: 	ah oké 
A: 	en bij mij staan ja die recht bij mij staan die dus wel het veel link maar dat zijn wel echt op de helft van de breedte maar ongeveer 
B: 	ja ja 
A: 	ja 
B: 	ja op de ja nee ik denken het wel 
A: 	ja oké 
A: 	dan zitten die wel goed 
A: 	de boiler 
A: 	bij mij linksonder 
B: 	ja ja helemaal 
A: 	of ja Linksonderkwadrant niet helemaal linksonder 
B: 	maar daar staan ver niks in de buurt 
A: 	jawel bij mij staan er nog een ander 
B: 	d 
A: 	ja 
A: 	bij mij staan die dus in het linksonderkwadrant en dan qua breedte een beetje in het midden 
B: 	ja 
A: 	misschien een tikkel nog naar rechts zelfs 
B: 	nee nee nee nee ik bij mij staan die echt helemaal linksonder 
A: 	oké 
A: 	nee 
B: 	de boiler 
A: 	de boiler 
A: 	die hebben we ah daar veertien 
B: 	staan die bij mij echt helemaal links en dan qua hoogte in het midden 
A: 	nee 
A: 	nee 
