A: 	ik hebben best wel een complex figuur 
B: 	oké 
A: 	aan de bovenkant van de mok zitten een een lepel erin eigenlijk in het midden 
A: 	aan de rechterkant zijn het een soort vierkant blok 
A: 	dan aan de linkerkant lijken het alsof er nog zo'n armp uit komen 
A: 	en aan de soort van voorkant zitten ook nog eenzelfde figuur als wat boven een lepel lijken zitten ook nog aan de voorkant 
A: 	dus er opsteken iets in en datzelfde ding steken aan de voorkant er ook weer uit 
A: 	en dan zitten er aan de rechterkant een vierkant blok 
A: 	in in redelijk veel mokken zitten een lepeltje 
B: 	ja 
A: 	en dit zijn dan echt de groot 
A: 	de groot lepel 
B: 	zijn het die een die een beetje op een spijker lijken 
A: 	ja dat dat zullen kunnen nee even kijken welk jij dan denken ik nee nee 
B: 	dat die een dop hebben zeggen maar ook 
A: 	het zijn hij zijn lang dan dat 
A: 	wat hoog 
B: 	ook oké 
A: 	en dan aan de voorkant zeggen maar komen dat ook eruit 
B: 	de 
A: 	datzelfde ding 
B: 	die komen er aan de voorkant uit 
A: 	ja 
B: 	aan de linkerkant wel zeggen maar 
A: 	ja ja 
B: 	oké en aan de rechterkant hebben je een soort van blokje wat dan zo langzaam klein worden 
A: 	ja 
A: 	ja 
B: 	en dan zo'n gek dinge aan de achterkant 
A: 	aan de achterkant nog zo'n armp wat eruit komen 
B: 	ja zo'n gek dinge 
A: 	ja 
B: 	oké ja dat zijn bij mij E 
A: 	hij zitten bij mij aan de rechterkant en dan midden hoog 
B: 	ja bij mij zelfde plek 
B: 	dit zijn er één die alleen maar uitsteeksel hebben 
B: 	die jij net noemen de twee groot lepel 
B: 	één boven en één link 
B: 	er komen zo'n donderwolk ook in en er steken aan de achterkant nog een klein dinge uit 
A: 	even kijken ja 
B: 	de de hoek van negentig graad zeggen maar 
A: 	ja en dat aan de voorkant of dat ding wat erin komen zijn een blok die steeds klein worden 
B: 	dat dat dat 
B: 	die klein worden 
A: 	ja 
B: 	ja 
B: 	en dan nog aan de achterkant zo'n dinge 
A: 	nummer 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	en die staan bij mij als je het middenkruis hebben Linksboven 
A: 	ja 
A: 	in de hoek zo 
B: 	ja en dan bij het kruis zeggen maar dus dan hier 
B: 	Linksboven 
A: 	ja 
B: 	ja 
A: 	ja 
A: 	zelfde plek 
A: 	deze zijn met die twee lepelt één erin met die groot lepel die erin gaan en dan komen die aan de voorkant eruit 
B: 	de de de twee dicht lepel ja 
B: 	dat zijn bij mij J 
A: 	zitten bij mij aan de rechterkant 
A: 	en in het midden qua hoogte 
A: 	dus als je de 
B: 	hij zitten in het midden van zeggen maar midden boven het kruisje 
A: 	nou als je hem doormidden verdeellen dan zitten die echt aan de rechterkant 
B: 	ja 
A: 	en dan zullen de horizontaal lijn erdoorheen lopen 
B: 	nee bij mij zitten die daar wel echt een stuk boven 
A: 	oké 
B: 	dat zijn niet dezelfde plek 
B: 	dit zijn die met de veel dik lepel die Erbovenin uitsteken en aan de zijkant uitsteken 
A: 	ja 
B: 	klein worden vierkant rechts en dat gek armp aan de achterkant 
A: 	ja 
A: 	nummer negen 
B: 	en die staan bij mij in het rechtsondervlak rechtsondervlak rechtsondervlak zijn sowieso bij mij redelijk leeg 
A: 	bij mij staan die in het vlak rechtsboven 
B: 	nee bij mij echt rechtsonder 
A: 	oké 
A: 	nee 
B: 	nee dan zijn het dus ander plek 
A: 	ja 
A: 	ik hebben die met die twee lepel één die Erbovenin vallen en één die ervoor uitsteken 
A: 	met dat vierkant ding wat steeds klein worden 
B: 	ja dat zijn bij mij B 
A: 	en dat armp 
A: 	en hij zitten rechtsonder 
A: 	en hij zitten tegen de horizontaal lijn aan 
A: 	dus als je dit hebben je hier weer die cirkel dan zijn het de middel 
B: 	als je die die die cirkel hebben dan zijn het 
B: 	nee bij mij zijn het de veel rechts 
A: 	oké nee 
B: 	dit zijn die met de veel dik lepel en het klein worden vierkant 
A: 	ja 
A: 	die staan nummer vier 
B: 	en dat zijn bij mij de veel linksbovenfiguur 
A: 	bij mij ook 
B: 	oké dan zijn het dezelfde 
A: 	staan wel een klein beetje nog van de buitenkant af boven en link 
B: 	ja ja ja je hebben nog wel zo'n strook en zo'n strook over ja maar hij zijn wel links veel link bovenfiguur 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	ja 
B: 	ja 
