A: 	oké ik hebben zo'n lang spriet omhoog 
A: 	want je hebben dat basisvormpje weer en dan hebben ik zo'n lang spriet omhoog 
B: 	ja 
A: 	die een beetje zo gaan 
B: 	oké 
A: 	hij hebben 
B: 	een soort van kegel 
A: 	ja 
A: 	en hij hebben ook zo'n soort neus 
B: 	oké 
B: 	en die zitten in een hoek van negentig graad 
A: 	ja 
B: 	oké en dan zitten er een vierkant allemaal vierkant komen ja oké 
A: 	ja ja 
B: 	oké dan weten ik welk het zijn 
A: 	en hij hebben aan de ander kant hebben die ook nog zo'n uitsteeksel een beetje ja ja precies 
B: 	zo'n armding 
B: 	oké 
B: 	dat zijn E 
A: 	bij mij zitten die eigenlijk zo goed als helemaal naar rechts 
A: 	en dan ook een beetje op de middengren ja iets omhoog van de middengren ook weer 
B: 	oké bij mij zitten er nog één rechts naast 
A: 	nee dan zijn het niet hetzelfde 
B: 	oké 
A: 	nee 
B: 	nee 
B: 	oké 
B: 	ik hebben weer die twee toef de een staan zo en de ander staan zo van die 
A: 	ja 
B: 	bowlingkegelsachtig ding en dan hebben je hier hebben je vierkant die daar allemaal zo uit komen 
A: 	ja 
A: 	en aan de ander kant hebben je dat raar armp 
B: 	ja 
A: 	ja 
A: 	oké dat zijn elf 
B: 	en hij staan iets veel naar boven en dan iets veel naar link denken ik 
A: 	ja van het midden 
B: 	ja 
A: 	ja 
A: 	hebben ik ook ja 
B: 	oké 
A: 	dus ik denken wel dat het zelfde plek zijn 
A: 	ik hebben weer die met die lang neus die twee kegel dus die lang neus als kegel en het de bovenkant een kegel die uitsteken 
A: 	en dan aan één kant hebben ik weer die blok allemaal als armp 
B: 	die 
B: 	wachten 
A: 	en dat ander 
B: 	waar zijn die 
A: 	bij mij staan die rechts 
A: 	aan de rechterkant 
B: 	daar 
A: 	een beetje in het midden 
B: 	oké dus de kegel het armp en de blok 
A: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	ja bij mij staan die dus als je de middellijn van boven naar beneden hebben staan die net wat Erboven 
B: 	ja 
A: 	en eigenlijk één ja redelijk in het midden van de rechterzijkant 
B: 	zullen er nog iets boven passen 
A: 	ja bij mij wel 
A: 	makkelijk 
B: 	ja bij mij ook 
A: 	denken nog wel anderhalf 
B: 	dat weten ik niet horen 
B: 	er zitten er bij mij sowieso nog één boven maar dat dat zijn die heel compact stofzuiger 
A: 	ja 
A: 	nee bij mij zijn het ja die zitten ook er zitten bij mij meerdere Erboven 
A: 	maar sommig 
B: 	meerdere 
A: 	ja 
B: 	nou 
A: 	er zitten bij mij echt ja sommig zitten niet helemaal Erboven zeggen maar die die hebben dan een beetje maar er zitten bij mij echt vijf of nee zes zelfs 
B: 	zes erbof 
A: 	ja die 
B: 	oké 
B: 	als je zeggen maar de jij hebben cijfer toch 
B: 	als je dat cijfer van die stofzuiger zien 
A: 	ja 
B: 	zitten daar ongeveer nog één twee twee centimeter boven 
B: 	ongeveer 
A: 	van van te opzicht van wat 
B: 	van het cijfer 
B: 	van het cijfer van de stofzuiger 
A: 	ja daar zitten daar zitten één centimeter boven denken ik zo ja anderhalf misschien 
B: 	één 
B: 	oké ja dan zijn het denken ik wel dezelfde plek 
A: 	maar hij zitten bij mij wel echt op de middellijn van van links naar ja 
B: 	die stofzuiger 
A: 	nee nee nee die die die kegel 
B: 	de kegel hij zitten echt op de middellijn 
A: 	bij jou ook 
B: 	nou ik vinden hem wel wat veel naar rechts zitten 
B: 	ja hij zitten wel echt wat veel naar rechts 
A: 	maar van hoog naar laag van boven naar beneden 
B: 	van boven naar beneden zitten die ik denken één boven het midden 
A: 	ik denken dat nee ja 
A: 	hij zitten niet helemaal op het midden maar hij zitten er wel net boven maar dan een half misschien boven het midden 
B: 	nou dan zijn het denken ik niet dezelfde plek 
A: 	ik denken het niet nee 
B: 	oké 
B: 	oké ik hebben de twee de twee 
B: 	ding zo en de de blokjestoeterachtig iets 
A: 	welk twee ding 
B: 	die die spriet die bowlingkegel 
A: 	ja die ja 
A: 	die twee bowlingkegel en dan die die vierkant en dat raar armp ja 
B: 	ja 
A: 	dat zijn negen 
B: 	en hij zitten hij zitten aan de rechterkant 
B: 	ik denken dat er nog één misschien iets veel naast past aan de rechterkant 
B: 	en er past er ook nog sowieso één onder 
B: 	hij zitten zeggen maar onder de middellijn 
A: 	nee bij mij erboven 
B: 	oké 
A: 	en bij mij passen er rechts ook denken nog wel wat veel bij dus 
B: 	oké dan zijn het niet dezelfde 
A: 	ja nee 
A: 	ik hebben die groot 
B: 	welk groot 
A: 	ja die met die kegel 
B: 	die de kegel 
A: 	dus die hebben we net 
B: 	oké dat zijn B 
A: 	die zitten bij mij echt precies onder die met die armpjes 
B: 	ja niet dezelfde plek dus 
A: 	nee oké 
B: 	oké ik hebben de kegel 
A: 	ja 
A: 	oké 
A: 	ja zijn nummer vier 
B: 	en hij zitten links bovenin 
B: 	er passen denken ik nog een krappe half boven en een half ernaast 
A: 	ja hebben ik ook 
A: 	ja 
