A: 	ja 
B: 	okan ja dit moeten mij één doen me beetje denken aan een fabriek of zo omdat er zeggen maar een buis Ronde buis komen een beetje schuin naar beneden lopen en aan de linkerkant zitten zo'n 
B: 	rechthoekig buis Buis ja vierkant buis en bovenop zitten twee klein buisjes 
A: 	hebben hij ook dat het plateau dinge in het midden zeggen maar 
B: 	o ja ja die zitten er ook ja 
A: 	ok 
A: 	ja 
A: 	dan zijn het zes 
B: 	ok bij mij H dan moeten jij ja 
A: 	ja 
B: 	en hij staan een beetje bovenin beetje iets veel aan de rechterkant maar rechtsonder hebben hij een 
B: 	ja zijn er een ander dinge en daar rechts van zijn er nog één 
A: 	ja en aan de linkerkant aan de onderkant zitten niks 
B: 	nee niet heel dichtbij gelijk dat zijn echt pas weer ver weg zeggen maar ja 
A: 	nee 
A: 	na een tijd ja ok dan staan hij op dezelfde plek denken ik oken geel 
B: 	ok 
B: 	ja 
A: 	kunnen me niet veel herinneren wat jij hiervan vinden maar ik vinden het beetje een meisje in een rok omdat ze dat plateau zeggen maar in het midden hebben 
B: 	o dat waarbij ik denken dat zijn een fabriek 
B: 	o ja ja ja dat zijn bij mij C 
A: 	ja 
A: 	bij mij zestien 
A: 	bij mij staan hij het zijn beetje aan de rechterkant zeggen maar de één van die slinger en ook de veel bovenst 
B: 	o 
B: 	ja dat hebben ik ook ja 
A: 	ok 
B: 	dit zijn waarvan ik denken een fabriek en jij een een meisje met een rok 
A: 	zijn dertien 
B: 	ja 
B: 	ok bij mij I 
A: 	ok 
B: 	en hij staan gewoon helemaal Linksboven 
A: 	nee 
B: 	ok 
A: 	dit zijn de fabriek Slash het dansen meisje of nee gewoon het meisje niet per se dansen 
B: 	o die die 
B: 	ok even kijken waar die nou o daar zijn hij J 
A: 	ja vijftien bij mij 
B: 	o dan moeten ik klikken 
A: 	hij staan redelijk in het midden helemaal onder aan 
B: 	ja dan zijn het denken ik wel dezelfde plek want ja bij mij 
A: 	en helemaal rechts zitten helemaal niks en Erboven 
A: 	vooral rechtsboven zeggen maar ook niet echt en links ervan zijn er een ruimte open waar er nog wel één zullen passen maar 
B: 	ja 
B: 	ja 
B: 	ja ik denken inderdaad dat het komen klinken allemaal heel bekend ja 
A: 	ja 
A: 	ok 
A: 	ok 
B: 	dit zijn weer dat meisje en de fabriek 
A: 	ja zijn negen bij mij 
B: 	ok bij mij M 
B: 	en hij zitten best wel rechts er kunnen niks veel naast en net wat boven het midden 
A: 	boven het midden 
B: 	ja 
A: 	o bij mij net onder het midden 
B: 	o nee dan zijn hij wel ander ja 
A: 	dit zijn de fabriek meisje 
B: 	even kijken waar ze zijn o daar ze zijn dat gaan lekker ze slapen daarin bij mij zijn dat N 
A: 	ok 
A: 	bij mij achten 
B: 	ok 
A: 	hij zitten redelijk in het midden qua verticaal maar qua horizontaal echt best wel op de bovenste rij 
B: 	ja dat hebben ik ook ja er passen niks veel boven of zo 
A: 	neeneenee 
B: 	nee dan zijn hij denken ik op dezelfde plek 
A: 	ik denken het ook 
