A: 	ja 
A: 	oké ik vinden dit een soort Hamer 
A: 	want het hebben zo'n er lopen zo'n balk helemaal erdoorheen 
A: 	alleen de hamer liggen zeggen maar met de kant waarmee je slaan een beetje omhoog en er zitten dan nog een gek ding achter waarvan ik geen idee hebben 
B: 	dus als een soort schap 
B: 	zo met twee van die poot zitten er ook onder 
A: 	onder 
A: 	nee niet onder 
A: 	even kijken welk jij bedoelen 
A: 	nee 
B: 	of zijn het dat het ook wel lijken aan de linkerkant opsteken iets uit 
B: 	lijken een beetje alsof het zo zijn dichtgevouwen 
A: 	nee 
A: 	nee er zitten best wel een langwerpig buis lijken het doorheen hij zijn rechts iets lang dan links 
A: 	en dan zitten er linksachter zitten er nog een soort plaat achter en dan lijken het wel alsof het een een kaart zijn of zo van 
B: 	ja alsof zo'n een vlak alsof het op een standaard staan 
A: 	ja precies 
B: 	oké 
A: 	ja 
B: 	dan zijn het K 
A: 	en hij staan een beetje hij staan stuk naar links en dan een één tree naar boven laten ik het zo 
A: 	zoiets 
A: 	dus niet helemaal link één daarvan terug 
B: 	ja 
A: 	en dan één omhoog 
B: 	staan die zijn het het veel bovenste plaat van de linkerkant 
B: 	of staan die een beetje op gelijk hoogte met 
A: 	ik weten niet of al plaat wel bij ons op dezelfde plek staan 
B: 	ja ja dat zijn een beetje moeilijk navigeren 
A: 	weten ik niet 
A: 	hij staan niet hij staat niet op de bovenste regel laten ik het zo zeggen 
B: 	ja en dan naar links 
A: 	ja 
B: 	ja zullen het dan hetzelfde zijn 
A: 	hebben jij rechts even kijken hoeveel hoeveel plaat hebben jij op de onderste regel 
B: 	helemaal onder 
A: 	ja helemaal onder 
B: 	drie 
A: 	oké en dan daarboven ja dan hebben we denken ik wel hetzelfde 
B: 	zullen ik dan gewoon voor Rood gaan 
A: 	ja 
B: 	ja 
A: 	ik denken dat het goed zijn 
B: 	ja dit zijn dat figuurt met daarachter een vlak op een standaard en twee 
B: 	paal aan de zijkant die daar zo in ge Duwd zijn 
A: 	die dat vlak onderop 
B: 	dat vlak dat staan er zeggen maar schuin achter 
B: 	op een standaard 
B: 	lijken het 
B: 	zo staan die zo tegen dat figuurt aan 
B: 	en dan twee een soort van paal 
B: 	één heel kort aan de 
A: 	die Hamer 
B: 	ja 
A: 	ja dan zijn het negen 
B: 	en deze staan in het midden 
B: 	iets omhoog 
B: 	en dan naar rechts 
B: 	maar niet helemaal het uiterst rechts maar 
A: 	één terug 
B: 	ja 
A: 	ja dan zijn het hetzelfde 
A: 	dit zijn die Hamer 
A: 	de Hamer met de ja die 
B: 	met het plateau aan de achterkant met standaard 
A: 	ja precies 
B: 	dat zijn F 
A: 	en hij staan op de middel rij en dan iets naar link halverwege links 
B: 	echt iets naar links dat een tik links of echt halverwege 
A: 	halverwege links 
B: 	nee dat zijn niet hetzelfde dus dat zijn geel 
A: 	ja 
B: 	dit zijn met de twee paal die een beetje aan de onderkant er zo in duwen zijn en aan de achterkant een vierkant vlak met een standaard 
A: 	je bedoelen de Hamer 
B: 	ja ik zitten te twijfelen ik weten niet of jij deze de hamer noemen 
A: 	ja dat zijn de Hamer inderdaad 
B: 	oké dan de Hamer 
A: 	dus drie 
B: 	en deze staan helemaal onderin 
B: 	en dan een stuk naar links 
A: 	bijna helemaal naar links of het midden van link 
B: 	nee hij staan niet er staan nog een ander figuur ook naast 
A: 	rechts van 
B: 	link van 
B: 	wachten 
A: 	dus 
B: 	hij staan helemaal onderin 
A: 	ja 
B: 	en dan een stuk naar links 
A: 	ja 
B: 	maar er er zullen er nog aan de ander kant zeggen maar hier nog wel twee figuurt tussen passen 
A: 	hij 
A: 	twee wel 
A: 	oké nee er past er maar één bij mij 
B: 	oké 
A: 	dat zijn geel 
A: 	ja 
A: 	ik twijfelen even 
A: 	de Hamer 
A: 	met het de de hoe heten het 
B: 	het ding aan de achterkant 
A: 	ja 
B: 	dat zijn L 
A: 	en hij staan echt wel in het midden heel klein tik naar rechts 
B: 	gewoon in het midden van het heel scherm 
A: 	ja 
A: 	midden van het heel scherm inderdaad en dan een tik naar rechts 
B: 	nee dat zijn niet hetzelfde dus geel 
A: 	ja 
B: 	dit zijn de hamer met het plateau boek erachter 
A: 	ja 
A: 	waar staan die bij jou 
B: 	bij mij staan die in het midden 
B: 	en dan een stuk naar onder 
A: 	ja 
A: 	vijf 
A: 	en dat kloppen ook dus dan zijn het rood 
