B: 	ja ik hebben er hier zo één staan hebben een soort houder onderin 
B: 	tenminste hij staan op een soort cilinder of zo aan de zijkant een uitsteeksel je zien een half half cirkel net 
B: 	boven de bovenkant uitkomen en daarnaast zitten een soort ovaal slash ei aan de bovenkant 
A: 	ok zijn het eigenlijk zo ja een beetje veel zoals een korfbal als je gaan kijken 
B: 	sorry 
A: 	zo zo'n koker zeggen maar met een staaf er aan 
B: 	ja een soort inderdaad koker en een staaf steken horizontaal uit 
A: 	ja 
B: 	maar hij staat ook op een soort houder of zo dat de rest niet hebben 
A: 	als één houder ja zo zo zo'n beetje kromm kromme houder of nee 
B: 	ja één één 
B: 	nou hij zijn niet per se het zijn het zijn wel het zijn even breed als de mok maar niet aan al kant 
A: 	ja en dan hebben hij zo zo'n raar iets op de bovenkant nog aan de 
B: 	ja de bovenkant zien je zo'n half cirkel en en en zo'n ei vorm en aan de horizontaal opsteken er nog een soort cilinder of zo uit 
A: 	ja en nog iets ja 
A: 	ja dan weten ik welk het zijn dan nummer dertien 
B: 	ok 
B: 	ja hij staat redelijk in het midden vrijwel zo goed als het midden en 
B: 	als je dan horizontaal het scherm ook nog eens zullen verdelen hij staan zeggen maar verticaal redelijk in het midden maar net iets aan de rechterkant en horizontaal 
A: 	ok 
B: 	zitten hij ongeveer op het midden van de onderste helft ik weten niet of dit zo zijn hij hebben er één link onder hem één rechts naast hem 
A: 	er 
A: 	okan en dan zullen ietje schuin naar boven zitten er nog één dan 
B: 	ja echt vlak vlak ernaast maar wel net iets hoog 
A: 	tussen de drie 
A: 	ja 
A: 	en bijstaan volgens mij dan op dezelfde plek 
B: 	ja 
A: 	ja dit zijn eigenlijk ook weer wat jij net in het begin volgens mij als één hebben omschrijven dat dat hij een houder hebben maar niet aan de zijkant maar alleen dat smal gedeelte 
A: 	dan gaan hij beetje omhoog en dan krijgen je een eigenlijk een cilinder wat dwars door het midden komen en met een half cirkel en een pluim bovenop 
B: 	wachten even 
B: 	half cirkel en pluim bovenop zijn hem even aan het zoeken hoor even kijken wat zeggen je nou 
A: 	dat hij staan op een plateaut zeggen maar maar die die staan dan niet heel breed dat wat jij volgens mij als als één hebben omschrijven 
B: 	o 
B: 	met die dinge die zo aan de zijkant eruit komen 
A: 	en met die cilinder eigenlijk 
A: 	nee dat zijn echt met een met een met een pluimp bovenop en dan een half cirkel zijn aan de achterkant ook er op half cirkel ja 
B: 	ik zitten hem eens 
B: 	pluimp bovenop o ja en die die houder zeggen maar die soort houder ja dat zijn dan O 
A: 	ja die houder ja ja die er uit komen cilinder 
A: 	ok als weer zo'n drie een lijn pakken in de midden en dan hebben je kunnen je een vierkant vormen echt in de midden 
B: 	ja 
B: 	ja jaja 
A: 	zien je dat ja 
A: 	en dan staan hij aan de rechterkant van het vierkant bovenin 
B: 	rechterkant van het vierkant bovenin nee bij mij staan hij rechts onderin dus dat zijn dan niet dezelfde plek 
A: 	à ja 
A: 	ok nee 
A: 	nou veranderen het weer 
B: 	okan ja dit zijn weer die die allereer die met die houder dat zeggen maar niet een plateau zijn maar waar dat hij wel nog ergens op staat 
A: 	die 
B: 	en dan bovenin hebben je hebben je de die die dat ovaal of dat ei met dat half rond dat er boven komen en dan nog dat ding dat uitsteken zo 
A: 	ja ja en dan met met die diamantoor 
A: 	ja dat zijn dan nummer twee 
B: 	en hij staan bij mij echt zeggen maar helemaal solo rechts bovenin 
A: 	nee bij mij niet 
A: 	ja dit zijn dan weer die op een houder staan maar niet zo'n breed houder maar zo'n smal 
B: 	ja en dan dat lijken een soort dinge dat er in zitten en dat half cirkel 
A: 	en hebben met het toe 
A: 	half cirkel en dan zo'n zo'n pluim bovenop achtig gebeuren ja 
B: 	ja dat zijn dan C 
A: 	ok als we dan weer die rechts boven die piramide pakken dan hebben je ze zeggen maar drie twee één dan hebben je op de op de twee rij dan 
B: 	ja 
B: 	ja 
A: 	en op de één plek dus eigenlijk bovenaan 
B: 	ok nee bij mij staan hij bij de bij mij zitten hij zeggen maar links bovenin in in omgekeerde piramide dus dat zijn dan niet dezelfde plek 
A: 	okan ja 
B: 	ja dit zijn weer diegene die op een plateau staan maar niet dat smal plateau hij hebben zeggen maar een soort houder of zo er onder nog een soort ja ovaal bovenin die half cirkel die uitsteken en dan nog zo'n cilinder aan de zijkant 
A: 	zijkant ja ja 
B: 	ja 
A: 	dat zijn dan nummer zeven 
B: 	ja 
B: 	bij mij als je linksonder die driehoek maken 
A: 	ja 
B: 	rechts onderin daarvan 
A: 	nee bij mij staan hij helemaal links 
A: 	dit zijn dan die op zo'n zo'n plateau staan hij alleen verticaal of horizontaal gaan nee verticaal dus dus eigenlijk smal 
B: 	dat smal ding met dat half cirkel er bovenop 
A: 	smal ding ja en met 
A: 	met dat half cirkel bovenop en dan met zo'n pluim en dan 
B: 	ja door die neus ja dat zijn dan C 
A: 	zo'n staaf ja 
A: 	die staan helemaal rechts bovenaan bij mij 
B: 	ok bij mij staan hij daar net onder dus dat zijn dan niet dezelfde plek 
