A: 	ik hebben dit beschrijven als als Pacmanoren zeggen maar 
A: 	zien je die Pacmanvorm 
A: 	die geel pop en dan hebben die zo'n oor die erop lijken 
B: 	ja 
A: 	wanneer die gaan eten 
B: 	even kijken 
A: 	met zo'n pion eraan 
B: 	hier ja ja ja kloppen en aan de ander kant veel zo'n helikopterplatform 
A: 	juist 
B: 	ja 
B: 	L 
A: 	dan hebben we hetzelfde 
B: 	bij mij staan die 
B: 	als je dat ding van de microfoon door zullen trekken 
A: 	ja 
B: 	en dan om zullen draaien naar beneden 
B: 	dus zo zo 
A: 	nee dan hebben ik dat niet 
A: 	van mij zijn waar jij zeggen maar net hebben 
B: 	ja 
B: 	nee ja ja dan zijn die omgedraaid ja bij mij staan die nu boven 
A: 	ja 
A: 	oké 
B: 	oké nu hebben ik weer die met die Pacman en met die driehoek erop 
A: 	ja oké 
A: 	zeven 
B: 	bij mij staan die hebben jij ook weer vier in het midden 
A: 	ja 
B: 	zeggen maar en hij staan niet hij horen niet bij één van die vier maar hij staan links boven die 
A: 	oké ik moeten even goed kijken 
A: 	je hebben dan één zeggen maar letterlijk boven dus zeggen maar echt schuin naar boven 
A: 	en één een beetje ver van afstand 
B: 	nee dan hebben we toch ander ding 
A: 	want die van mij zijn dan zeggen maar echt midden van het midden en niet en niet echt schuin boven 
B: 	nee bij mij bij mij staan die zeggen maar stellen je delen het scherm weer in vier deel 
A: 	ja 
B: 	dan staan die hier zo 
A: 	oké nee dan niet 
A: 	ja die Pacman en die helikopterplateau 
B: 	even kijken waar staan die ook alweer 
B: 	ja hier 
B: 	C 
A: 	oeh 
A: 	ja van mij dan bij die logo zeggen maar in het midden 
A: 	en dan niet helemaal boven maar net één daar beneden 
B: 	oké bij mij staan die zeggen maar als je het logo omhoog zullen doen en dan een klein stuk naar rechts 
A: 	ja 
B: 	staan die bij jou boven het logo 
A: 	ja maar dan maar aan de zijn zijn zijn van jou boven dat dat rood koptelefoonding 
B: 	nee nee nee 
A: 	of gewoon beneden 
B: 	hij zitten daaronder 
A: 	oké nee dan dan niet 
B: 	die Pacman en die dat helikopterplatform 
A: 	nummer één 
A: 	ja als je dat dat dat rood ja dat zijn echt een goed als je dat rood ding nemen zeggen maar 
A: 	en dan 
B: 	en dan een stuk daaronder 
A: 	ja 
B: 	ja 
A: 	die Pacman en die helikopterplattegrond 
A: 	of platform 
B: 	A 
B: 	als je dat microfoonding door zullen trekken dan zullen die daarnaast staan 
A: 	oké 
A: 	nee jij moeten drukken 
B: 	kloppen die 
A: 	ja 
B: 	die Pacman en de helikopterplatform 
A: 	waar zijn die heen 
A: 	dertien 
A: 	link van dat of ja naast dat rood 
B: 	maar bij mij niet 
B: 	ja jij moeten drukken 
