A: 	deze hebben ja hoe leg je dat eigenlijk zitten links en rechts zijn er uitstekel met een rond kop eraan 
B: 	links en rechts 
A: 	en hij hebben erachter ook nog een een soort van plateautje 
B: 	ja 
B: 	en zo'n zo'n schuin plateau die achter staan 
A: 	ja 
B: 	dat zijn K 
A: 	en het zijn de veel Linksboven 
B: 	ja 
B: 	ja voor mij ook 
B: 	oké dit zijn ja deze zijn wat lastig uitleggen dat zijn een rond voorwerp 
B: 	met twee kop aan de beide kant en het lijken alsof die door het alsof die er dwars doorheen doorgaan dus dat die er aan de een kant in gaan en de ander kant uit 
A: 	met dat plateau wat er nog aan de achterkant zitten 
B: 	die ja 
A: 	met die bolle die uit steken 
B: 	ja precies 
A: 	ja dat zijn nummer negen 
B: 	oké 
B: 	en als je dan als je de rechts vijf zullen nemen 
B: 	die of ja rechts zes dat maken in principe niet zoveel uit dan zijn het niet de bovenste maar de éénnabovenste 
A: 	ja bij mij ook 
A: 	dit zijn die met die stang erdoorheen met de uiteinde die bollet 
A: 	met het plateaut erachterop nog 
B: 	met de stang 
B: 	ja met die ronde 
A: 	ja 
B: 	moeten ik hem nog ik weten hem wel maar ik moeten hem even zoeken nog ja dat zijn F 
A: 	oké 
A: 	en als ik dan kijken dan zitten er link aan de linkerkant drie figuur boven mekaar 
B: 	ja 
A: 	en daar de middel van daar zitten die rechts van 
B: 	oké 
B: 	nee dat zijn hem niet 
B: 	dit zijn de lang staaf die erdoorheen gaan bolle aan twee kant en dan een schuin tafel Linksboven ertegenaan zeggen maar 
A: 	even kijken 
A: 	ja dus met die rond uiteinde weer 
B: 	ja precies 
A: 	oké dat zijn nummer drie 
B: 	en het zijn van de drie onderste de middel 
A: 	nee bij mij zijn het de links dus dat zijn rood 
A: 	dit zijn met die staaf erdoorheen met die rond uiteindes 
A: 	met het plateau nog aan de achterkant 
B: 	ja ja ja dat zijn L 
A: 	en zo deze zijn even iets lastig uit te uitleggen 
B: 	zijn het die boog rechts ? 
A: 	ja in het midden zitten eigenlijk precies in het midden van het scherm zitten drie figuur 
B: 	ja 
A: 	en daar de veel rechts van 
B: 	oké dat zijn hem niet 
B: 	de buis met de twee knopje aan beide kant erin en tafel schuin tafel 
A: 	daarachter 
B: 	erachter 
A: 	ja dat zijn nummer vijf 
B: 	en dan hebben je twee onderste 
B: 	en daarboven hebben je er weer twee 
A: 	nee bij mij zijn het van de onderste rij zitten die 
B: 	oké nou 
A: 	dus dat kloppen al niet dan 
B: 	ja 
