A: 	oké dit zijn een mok er zitten niks in de bovenkant 
A: 	er zitten wel een uitsteeksel 
A: 	een beetje een Bvormig uitsteeksel 
B: 	een Bvormig 
A: 	en daarop 
A: 	ja een beetje ja een beetje Bvormig 
A: 	twee golf 
A: 	en daarboven daarop zitten weer een een uitsteeksel in de vorm van een uitgerekte piramide 
A: 	een beetje uitgerekt zo 
A: 	en er zitten ook een een tafel aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	en hij zitten links beneden 
A: 	net één van de rand af 
A: 	dus hij zitten links en dan in het midden van link 
A: 	hij zijn in ieder geval niet aan de rand en ook niet in het midden 
B: 	ja 
B: 	maar bij mij passen die daar niet een keer tussen 
B: 	ik denken niet dat die hetzelfde zijn 
B: 	jij noemen net een ding waar een soort tafel aan vasthing 
B: 	en er zitten een soort pion op een uitsteeksel 
A: 	een soort pion 
B: 	dus je hebben een 
A: 	ja zijn dit die met de Bvormig een tafel toch aan de aan de 
B: 	aan de linkerkant inderdaad bvormig 
A: 	ja 
B: 	en er nou aan de ander kant zijn het tafel en aan het uitsteeksel zitten een soort pionne 
A: 	uitgerekken 
A: 	ja een uitgerekt pionne ja ja oké 
A: 	dat zijn zeven 
B: 	ja 
B: 	hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	wel veel richting het midden 
B: 	dus eigenlijk vlak naast het midden aan de linkerkant van het scherm en dan redelijk bovenin 
A: 	redelijk bovenin 
B: 	ik denken op vijfenzeventig procent van de totaal hoogte van het scherm 
A: 	ja 
A: 	even kijken hoor 
A: 	hoeveel keer kunnen hij naar naar het naar de bovenkant van het scherm toe want zijn het 
B: 	naar de bovenkant 
A: 	ja of naar de naar de linkerkant van het scherm 
B: 	hij zullen misschien twee twee keer naar links kunnen 
A: 	link 
A: 	en één keer omhoog 
B: 	en ik denken een half keer omhoog hij zullen er er zullen nu niet nog zo'n ding boven plaatsen kunnen worden 
A: 	nee dat kunnen niet nee dat zijn niet goed dan bij mij 
A: 	dit zijn fout 
A: 	zitten veel veel naar beneden 
B: 	gewoon makkelijk om gewoon centimeter te praten eigenlijk 
B: 	als dat lukken 
A: 	ik kunnen ik zijn echt ik kunnen echt niet inschatten hoeveel centimeter ik moeten gokken hier 
A: 	even kijken hoor beker 
A: 	tafel aan deze kant 
A: 	aan de rechterkant 
A: 	en het zijn een Bvorm aan de linkerkant en zo'n uitgerekte pion 
B: 	ja 
B: 	ja 
A: 	eraan vast 
B: 	letter C 
A: 	ja 
A: 	en hij zitten in in het midden 
A: 	en dan zitten die bij rechts heel dicht bij het midden eigenlijk 
B: 	hij zitten aan het midden rechterkant dicht bij het midden 
A: 	en hij kunnen nog 
B: 	hij kunnen er één keer onder 
A: 	waaronder ? naar onder onder het onder de bovenkant 
B: 	hoe vaak 
B: 	hoe vaak past die er zelf onder 
A: 	ik denken dat die er ongeveer wel anderhalf onder zullen kunnen passen hoor 
A: 	voordat die de bovenkant van het scherm raken want hij zitten wel boven 
B: 	oké 
A: 	hij zitten wel veel naar boven midden boven rechts 
B: 	midden boven 
A: 	ja 
B: 	maar wel van rechtsonder in het scherm of zitten die helemaal 
A: 	nee hij zitten wel hij zitten rechtsboven 
B: 	boven in het scherm 
A: 	ja boven in het scherm 
A: 	dus in het midden en dan daarboven 
A: 	in het midden boven 
B: 	nee daar zitten die mij niet 
A: 	nee 
A: 	hij zitten hij zitten bij jou helemaal rechts in in de in de beneden helemaal 
B: 	nee als je het scherm hebben 
A: 	ja 
A: 	dan zijn die 
B: 	rechtsonder 
A: 	ja 
B: 	en dan links 
A: 	nee dat kloppen niet nee 
B: 	tegen het midden aan 
B: 	prima 
A: 	en jij zijn 
B: 	ja dat zijn dat dat Bvormig uitsteeksel 
B: 	waar een die pion uit komen die uitgerekken zijn 
B: 	en dat tafel eraan 
A: 	Bvormig pion die 
A: 	die ja 
B: 	Bvormig uit steeksel 
A: 	oké 
A: 	één zijn dat 
A: 	heel irritant zijn die 
B: 	aan de linkerkant 
A: 	ja 
B: 	iets laag dan de middellijn 
B: 	en hij zitten ongeveer één keer à een half van de kant af 
A: 	oké 
A: 	dus gewoon linksonder 
A: 	één keer van de 
B: 	ja 
A: 	oké die zijn goed 
A: 	dit zijn het mok met het tafel en de Bvorm en de verlengen pion die daaraan vastziken 
A: 	uittrken 
B: 	oké ja 
B: 	dat zijn A 
A: 	ja 
A: 	en hij zitten linksmidden 
A: 	vlak bij de rood hanger 
B: 	ja 
B: 	klinken goed 
B: 	dit zijn die met het Bvormig uitsteeksel het tafel en dat pionne dat uit het uitseeksel komen 
A: 	ja die 
A: 	dat zijn dertien 
B: 	ja 
B: 	hij zitten in het midden van links onderin 
B: 	als je die vlak weer pakken het midden van links onderin 
A: 	oké ja 
A: 	midden van linksonder 
A: 	midden van linksonder 
A: 	maar zitten die tegen tegen het rood stuk aan of 
B: 	tegen het rood stuk 
A: 	ja 
A: 	van de hanger 
A: 	het midden van link 
A: 	midden van link 
B: 	je hebben de linkerkant 
A: 	ja 
B: 	dat rood stuk moeten we even buitenwege laten je hebben zo dit 
A: 	ja ja ja en dan 
B: 	en dan zitten die hier in het midden 
A: 	daar in het midden 
B: 	gewoon in het midden van linksonder 
A: 	dat kloppen niet dan hoor 
A: 	my god want als ik het scherm doormidden verdeel 
A: 	aan de linkerkant door het midden en dan boven en dan beneden en dan het midden daarvan toch 
A: 	toch 
B: 	je hebben gewoon je hebben het heel vlak linksonder 
A: 	ja 
A: 	ja ja 
B: 	daar het midden van 
A: 	maar dan wel tegen het scherm aan toch 
B: 	nee 
A: 	dan kloppen het niet 
A: 	ik denken al 
A: 	oké nee dat kloppen niet 
