B: 	ik hebben er nou één met ja je hebben een 
B: 	bovenop hebben je een soort van kubus liggen 
B: 	en dan hebben je aan de zijkant ja hoe leg je dat nou uit 
B: 	er opsteken zeggen maar ook een een driehoek uit en daarbovenop zitten dan nog ook een dun staaf en dan hebben je ook aan de zijkant ook nog twee 
A: 	zijn dat die soort balk of zo die erop liggen 
B: 	ja 
B: 	een balk erop inderdaad en dan aan de zijkant hebben je nog twee ja het lijken een beetje op vleugelt of zo 
A: 	ja 
A: 	oké en die bovenop zijn echt een liggen liggen balk 
B: 	dat zijn gewoon 
B: 	inderdaad een liggen balk ja 
A: 	oké ja dan zijn het bij mij nummer acht 
B: 	en bij mij ja zijn het eigenlijk het plaat wat eigenlijk het veel in het midden liggen zeggen maar van allemaal 
B: 	dus ja ongeveer op op qua hoogte liggen die eigenlijk echt wel op het midden denken ik 
A: 	zo 
B: 	en dan ja ongeveer als je dan weer de middellijn neemt dan iets link daarvan 
A: 	ja bij mij liggen die qua hoogte ook heel net iets boven midden lijken die of ja wel ongeveer het midden 
A: 	en net iets link van de middellijn 
B: 	ja 
A: 	ja dan staan die denken ik wel op dezelfde plek 
B: 	ja denken ik ook 
A: 	ja deze zijn met die balk erboven zeggen maar 
A: 	en dat dinge met zo'n klein staaf erop 
B: 	even kijken 
B: 	ja 
A: 	en aan de ander kant zitten ja jij noemen het vleugelt 
B: 	en dan nog die twee vleugelt soort van 
A: 	ja 
B: 	inderdaad ja 
B: 	dat zijn E bij mij 
A: 	de hij staan net onder het midden en net iets rechts van het midden 
B: 	ja bij mij staan die boven het midden dus dat zijn dan al niet dezelfde plek 
B: 	nou hebben we weer die een met die balk erbovenop zeggen maar en dan die twee vleugelt en weer dat 
A: 	ja 
A: 	dat zijn bij mij nummer één 
B: 	en bij mij liggen die helemaal bovenin 
A: 	ja 
B: 	er zullen eigenlijk ook geen plaat veel naast kunnen of boven kunnen en dan ja van de middellijn liggen die misschien iets aan de linkerkant 
A: 	en net iets link van de middellijn de middellijn zullen je ongeveer naast kunnen aantrekken denken ik 
B: 	ja 
B: 	ernaast slash erdoorheen dan 
A: 	ja 
A: 	dan liggen die op dezelfde plek 
A: 	ja ik hebben nu die een met die balk erop en die vleugel aan de zijkant 
B: 	ja even zoeken 
A: 	staan bij mij een beetje links 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	mij staan die onder de middellijn zeggen maar 
B: 	ja 
A: 	net eronder en ja link denken ik op ja tussen één drie 
A: 	of één vier en een drie in zeggen maar er vaststaan nog één plaat link 
B: 	ja 
A: 	en met met een beetje proppen zullen er nog wel één naast kunnen zeggen maar 
B: 	ja oké 
B: 	dan staan die denken ik wel op dezelfde plek 
B: 	weer met die balk die erbovenop liggen zeggen maar met die twee vleugelt en dat uitstekend 
A: 	ja ik denken ik kijken even waar jij naartoe kijken 
A: 	daar zo daaronder 
A: 	nummer zestien 
B: 	ja bij mij staan die dan dus inderdaad helemaal van die drie plaat weer die onderin staan dan de veel rechts 
A: 	ja die aan die onderste 
A: 	ja ongeveer op drie vier of zo van het scherm toch 
B: 	ongeveer ja 
A: 	helemaal aan de onderkant 
A: 	staan die op dezelfde plek 
A: 	staan bij mij linksonder met zo'n balk Erboven en die vleugel 
B: 	even zoeken 
A: 	deze staan wel ongeveer op dezelfde plek 
B: 	ja bij mij zijn die zijn dat O 
A: 	ja bij mij staan die helemaal links onderin zeggen maar 
B: 	ja bij mij ook helemaal links onderin dus dan zullen het wel dezelfde plek zijn 
