B: 	nee 
A: 	oké deze hebben aan de linkerkant 
A: 	ja misschien je zullen het kunnen zien als een soort van bank of zo die net een beetje naar voren kantelen zijn 
B: 	ja 
A: 	met een ja een soort van een groot nagel zeggen maar een spijker die ertegenaan zitten 
B: 	oké 
A: 	en aan de linkerkant hebben je een soort van ja een cirkel die die die ja 
B: 	ja 
A: 	ja 
B: 	ik zien het het zijn L 
B: 	en waar zitten L 
B: 	dat die zitten bij mij aan de linkerkant 
B: 	ja net onder het midden 
B: 	en van al ding het veel link 
A: 	oké nee bij mij zitten die aan de linkerkant in het midden dus dat 
B: 	oké 
A: 	en helemaal onderaan dus ja die moeten jij klikken 
B: 	nou het zijn weer het beker met die omgekeerde bank en die nagel erin 
A: 	welk zijn dat ook alweer ? even kijken waar die staan 
A: 	ja ja 
A: 	ja oké 
A: 	dus dat zijn zeven voor mij 
B: 	oké 
A: 	en ja 
B: 	hij staan bij mij links van het midden en best wel hoog 
B: 	het zijn de éénnahoogst plaatsen 
A: 	oké zijn dat zijn dat wel want bij mij zijn dat alsnog wel net iets boven het midden 
B: 	ja bij mij ook 
A: 	ja want bij mij zijn er wel twee die net iets hoog staan 
B: 	oké nee dan dan dan zitten die niet op de goed plek 
A: 	oké 
A: 	ja bij deze vinden ik het wel lastig want hij om te nee ja nee ik denken dat dat dat dat dan niet kloppen 
B: 	ja 
B: 	nee 
A: 	ja oké deze hebben die die kantelen bank met de met de spijker ertegenaan 
B: 	C 
A: 	en de en die cirkel aan de rechterkant 
A: 	yes 
B: 	C 
A: 	en hij staat redelijk in het midden echt net iets rechts daarvan 
A: 	en dan ja ongeveer in het midden van de bovenkant van het scherm 
B: 	oké 
B: 	bij mij niet 
B: 	het zijn de de de de spijkerbank weer 
A: 	ja 
A: 	oké dat zijn één 
B: 	en hij staan ja links 
B: 	best wel best wel aan de linkerkant 
B: 	en dan net onder het net iets onder het midden 
A: 	ja dat kloppen 
A: 	even kijken dit zijn weer die omgu die die kantelen bank met de spijker erop 
B: 	ja 
A: 	en de cirkel 
B: 	zijn A 
A: 	en staan in het midden van de linkerkant 
B: 	ja 
A: 	en in het midden qua hoogte 
B: 	ja bij mij ook 
B: 	het zijn de bank met de met de spijker 
A: 	ja dat zijn dertien 
B: 	en hij staan nou ja als je dan de linksonderhoek hebben 
B: 	dan staan die daarvan in het midden 
A: 	nee bij mij staan die helemaal links ongeveer in het midden van het scherm dus dat 
B: 	oké 
