B: 	er het zijn een ik noemen het dan een pot of een ja een theekopje 
A: 	oké 
B: 	en hij hebben één staaf aan de linkerkant 
B: 	en onder de pot zitten ook nog een soort balk aan vast 
B: 	en aan de achterkant zitten een cirkelt 
B: 	voor de helft 
B: 	en nog een soort van roerstaafje zitten er in het bak 
A: 	oké en dan daaronder zo'n een beetje ovaal staand ding 
B: 	ja kloppen 
A: 	oké dan weten ik denken ik welk het zijn 
A: 	dan zijn het nummer dertien 
B: 	hij staan bij mij helemaal in het midden van het beeld 
B: 	en dan ja net iets nog onder het midden 
A: 	oké 
B: 	en bij jou 
A: 	bij mij staan die zullen ik maar zeggen linksonder hebben je twee 
A: 	en dan gaan je één schuin naar boven 
B: 	ja 
B: 	en zitten het dan zeggen maar zo precies in het midden als je hem zo zien van het beeld 
A: 	ja in principe wel 
A: 	er zijn er een beetje twee die overeenkomen een beetje in het midden maar dan zitten die 
B: 	oké 
B: 	de een zitten net iets naar onder 
A: 	eronder ja 
B: 	ja oké 
A: 	dus hij zitten op dezelfde plek 
B: 	ja 
A: 	geel 
A: 	oké dit zijn dat theekopje wat je omschrijven 
A: 	weten je wel ? met dat lepel erin en zo'n ja waar je het aan vasthouden en zo'n soort van dekseltje 
B: 	ja 
B: 	ja wat eraan vastzit zeggen maar 
A: 	ja wat eraan vastzitten 
B: 	met dat balk eronder 
A: 	ja die 
B: 	ja 
B: 	dan zijn het O 
A: 	bij staat die oké als je die vier vlak weer hebben 
A: 	staan die vlak bij het middelpunt en dan in het rechts vak vlak 
B: 	ja en dan ook tegen deze lijn veel aan 
A: 	ja die 
B: 	dus hij zitten echt precies in dat hoek zeggen maar zo 
A: 	ja precies in dat hoek 
B: 	ja 
B: 	oké 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn weer dat theekopje met dat rond aan de zijkant geplakt lepel en het oor 
A: 	ah 
B: 	en dat balk 
A: 	dat zijn nummer acht 
B: 	en hij staan rechtsboven in het vlak 
B: 	hij zijn niet helemaal op zijn max zeggen maar boven 
B: 	en ook en er past nog één naast aan de rechterkant 
A: 	nee bij mij zijn het echt het veel rechts wat er kunnen zijn 
B: 	oké 
B: 	ja er past geen veel naast zeggen maar 
A: 	want 
A: 	nee het zijn echt het rechts veel rechts dus dan zijn het niet dezelfde plek denken ik 
B: 	oké 
B: 	nee 
A: 	dat zijn dat theekopje met dat dekseltje aan de zijkant 
B: 	ja 
A: 	en zo'n platform aan de onderkant 
B: 	ja dat zijn C 
A: 	bij mij staan die in het vlak rechtsboven en dan bovenaan in het midden 
B: 	van het vlak zeggen maar als je hem zo bekijken 
A: 	ja dus alleen naar het vlak kijken 
B: 	want bij mij staan die tegen deze middellijn aan 
A: 	oké 
B: 	ongeveer en dan op de ongeveer de helft van het alleen het vlak zeggen maar 
A: 	nee want bij mij staan er nog wel iets tussen er staan een ander figuur tegen de middellijn aan 
A: 	dus ik denken niet op dezelfde plek 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn weer dat theekopje met dat bolle aan de achterkant of dat rond aan de achterkant 
A: 	ah oké dat zijn nummer vijftien 
B: 	en hij staan in het vlak links onderin 
B: 	een beetje in het midden van het vlak 
A: 	oké nee staan die echt totaal niet 
B: 	oké 
B: 	dat zijn makkelijk 
A: 	dit zijn dat theekopje met die met de deksel en zo'n onderdinge 
B: 	ja 
B: 	dat zijn C 
A: 	bij mij zitten die eigenlijk in het vlak rechtsboven en dan het bovenste van het vak 
A: 	eigenlijk gewoon eigenlijk de bovenste überhaupt 
B: 	oké 
B: 	dan zitten die niet op dezelfde plek 
