B: 	je hebben dat bak en van de linkerkant komen twee soort van pijlt erin steken 
B: 	en hij hebben aan de voorkant een een vierkantje waarmee het lijken als je hem alsof je hem tegen de muur kunnen plakken 
A: 	ja 
B: 	en van de bovenkant staan er een spijker of een paddenstoel in 
A: 	ja ja 
A: 	nummer twee 
B: 	oké 
B: 	hij staan bij mij als je het midden hebben link van het midden 
B: 	er staan niks ander link van er staan niks ander onder 
B: 	en hij zitten best wel redelijk tegen de rand aan onder 
A: 	hebben ik niet bij mij staan die nog best wel bijna halverwege het scherm 
B: 	oké 
A: 	maar wel links ver maar 
A: 	dit zijn dat komme met zeggen maar aan de voorkant een vierkantje 
A: 	en dan aan de zijkant twee van die ja die die blok zeggen maar die zo erin steken zijn 
A: 	en dan bovenop nog de spijker of paddenstoel 
B: 	ja 
B: 	en hij lijken alsof je hem tegen de muur kunnen plakken 
A: 	ja die 
B: 	ja 
B: 	letter G 
A: 	ik hebben hem zeggen maar net iets linksonder van het midden van het scherm 
B: 	ja ja ik ook 
B: 	ja 
B: 	hij lijken alsof je hem tegen de muur kunnen plakken 
B: 	hij hebben twee piercen ding en een paddenstoel 
A: 	ja 
A: 	en het dinge bovenop 
A: 	zijn nummer negen 
B: 	hij staan bij mij net een klein beetje link van het midden 
B: 	en een stuk onder het midden 
A: 	en dan zeggen maar in het midden van links van het midden van onderin 
A: 	dat zijn heel moeilijk 
A: 	als je de middellijn hebben 
B: 	wat 
B: 	ja 
A: 	en dan het midden daarvan 
B: 	ja 
A: 	en dan het midden daarvan 
B: 	ja 
A: 	maar dat zijn wel dus net ietsje link van de middellijn wat jij zeggen 
B: 	ja 
A: 	oké 
B: 	ik ja ja ja 
A: 	en je hebben er nog één onder 
B: 	ik hebben er nog één onder 
A: 	oké ja 
B: 	en ik hebben er ook nog heleboel link van 
A: 	ja dan zijn het ongeveer dezelfde plek wel 
A: 	dit zijn die een zeggen maar die je aan de muur kunnen plakken 
A: 	met dat vierkantje en dat paddenstoel erop 
B: 	letter D 
A: 	en hij staan ja net heel iets linksboven van het midden van het scherm 
B: 	ja ik zullen zeggen dat die in het midden staan en een heel klein beetje boven maar niet echt links maar misschien wel 
A: 	ongeveer 
B: 	maar ik denken dat we het wel over hetzelfde hebben 
A: 	ja ja ja 
A: 	ja het zijn net aan links maar 
B: 	ik vinden het alleen lastig om te bepalen of die wel of niet links zitten 
A: 	ja voor mij zijn het makkelijk want ik hebben een vierkantje omheen dus voor mij zijn het nu 
B: 	ah ja ja nee 
A: 	maar 
B: 	ja ik denken dat het dat het hetzelfde zijn 
B: 	hij kunnen aan de muur plakken worden 
B: 	en hij hebben twee boor doorboren dinget 
A: 	ja 
A: 	nummer één 
B: 	hij staan weer in het midden van het midden qua hoog en laag 
B: 	en hij staan net een beetje rechts van het midden qua links en rechts 
A: 	ja dat hebben ik ook wel maar ik hebben hem wel echt boven het midden staan 
A: 	best wel zeggen maar duidelijk boven het midden 
B: 	nee bij mij staan die echt niet boven het midden 
A: 	oké 
A: 	dan doen ik hem ander 
A: 	die een die je aan de muur kunnen plakken 
A: 	met het van dat vierkant en het spijkert daarop 
B: 	ja 
B: 	letter B 
A: 	en die hebben je vanaf het midden van het scherm heel iets naar rechts 
A: 	en dan zeggen maar of boven naar beneden best wel dicht bij de onderrand 
B: 	ja ik zullen van links naar rechts zeggen vijfenvijftig procent zestig procent 
A: 	ja zoiets 
B: 	en zo'n stuk van de onderrand af 
A: 	ja 
