B: 	dit zijn zeggen maar dat komme er zitten een heel klein stuk aan de bovenkant en er zitten zeggen maar een tafel maar die zitten heel hoog 
A: 	ja 
B: 	en er zitten daar dan weer een bak op 
A: 	ja 
B: 	zeggen maar zo'n bloempot en daar zitten daarboven dan zo'n balkonhouderding 
A: 	ja 
A: 	ja 
A: 	ik met twee hendel wat je eigenlijk zo op kunnen pakken 
B: 	ja 
A: 	ja 
A: 	ik denken een soort kruiwag of zo idee 
B: 	ja dat zijn hem 
A: 	dat zijn bij mij en aan de achterkant hebben je nog een klein pluk zitten 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zestien bij mij 
B: 	hij zitten als je het midden hebben aan de rechterkant 
B: 	en dan precies in het midden zeggen maar op de hoogte en dan daar ook in het midden dus hij zitten in het midden van de helft aan de rechterkant 
A: 	nee bij mij zijn het weer eigenlijk rechtsboven waarbij er weer in die hoek één daar daar daar bij kunnen 
B: 	nee zijn hier niet zo 
A: 	dat zijn bij jou niet zo 
A: 	dan zitten die niet op dezelfde plek 
A: 	ja dit zijn weer een beetje die kruiwag die je eigenlijk zo op kunnen pakken 
A: 	dus dat die basisvorm 
B: 	ja 
A: 	daardoorheen eigenlijk die rond 
A: 	met daar ook een bak op 
A: 	en dat tentakel aan de achterzijde 
B: 	dit zijn P 
A: 	deze staat rechts van het midden 
A: 	daarin eigenlijk wel best wel mooi in het midden 
A: 	en ook in de lengte staan die eigenlijk in het midden 
B: 	dat zijn dezelfde plek 
B: 	dit zijn die pot zeggen maar met dat tafel voor 
B: 	waar een bak op staan 
B: 	daarboven zeggen maar 
A: 	met die twee 
B: 	ja 
B: 	die kruiwag 
A: 	die kruiwag 
A: 	ja 
A: 	dat zijn veertien 
B: 	dan staan die zeggen maar op het midden een beetje en dan helemaal onderaan 
A: 	helemaal onderaan 
A: 	en dan net iets rechts van het midden 
B: 	ja ja ja 
A: 	dan gaan ik ervan uit dat die op dezelfde positie staan 
A: 	dit zijn de kruiwag 
A: 	dus die je eigenlijk zo op kunnen pakken met het bak erbovenop 
B: 	ja 
B: 	dat zijn N 
A: 	en die staan aan de linkerkant van het scherm daar eigenlijk wel in het midden 
A: 	en hij staan net iets hoog dan het midden 
B: 	ja dat zijn hetzelfde 
B: 	dit zijn de kruiwag 
A: 	oké dat zijn nummer tien 
B: 	als je het midden hebben dan staan die in de hoogte ook ongeveer in het midden 
B: 	en dan neigen die net iets naar de bovenkant 
B: 	dus er zullen er kunnen er nog één of anderhalf boven 
B: 	bij mij staan er één boven 
A: 	nee dat past bij mij echt niet 
B: 	oké 
A: 	want zo staan die wel in het midden maar er kunnen er eigenlijk net geen boven 
A: 	dus niet dezelfde plek 
A: 	dit zijn de kruiwag 
B: 	kijken 
B: 	ja dat zijn D 
A: 	en die staan aan de rechterkant van het beeldscherm 
A: 	en dan zullen er staan die wel iets boven het midden zullen er boven kunnen er ruim één boven 
A: 	en aan de zijkant kunnen er ja net wel net niet één tussen 
