A: 	dit zijn degeen het kop met een een bolle Erboven 
A: 	twee dun dinge aan de zijde en nog een pilaar ervoor 
B: 	ja ik weten welk je bedoelen 
B: 	d 
A: 	en bij mij staan die ongeveer in het midden maar dan aan de linkerkant iets 
B: 	onderaan of 
A: 	onderaan ja 
B: 	dan denken ik dat die gelijk zijn 
B: 	dit zijn met een bal bovenaan en die twee armp zo en dan dat ding aan de voorkant 
A: 	die pilaar 
B: 	ja 
A: 	ja 
A: 	vijftien 
B: 	die zijn bij mij helemaal rechtsonder in de hoek 
A: 	bij mij zijn die niet onder in de hoek wel rechts en onder maar niet in de hoek dus dan zijn dat niet 
A: 	dit zijn met een balle boven die twee dun sprie aan de zijkant en de pilaar 
B: 	ja ik weten welk je bedoelen 
B: 	L 
A: 	bij mij staan die aan de aan de linkerkant iets naar boven een beetje naar rechts misschien als je die helft bekijken heel veel ding staan eromheen 
B: 	ja ja oké 
B: 	denken dat ik even kijken als je de middellijn hebben dan zitten er één dinget link van en daar link onder 
A: 	ja ook bijvoorbeeld die een met die spriet en dat platform die zitten eronder 
B: 	bovenaan of als je van boven kijken 
B: 	ja dat kunnen bij mij een ander plek zijn 
A: 	oké ja en ik denken dat ze misschien allemaal precies hetzelfde keken dan in ieder geval ja dus de de linkerkant iets naar boven 
B: 	ja oké volgens mij kloppen het wel ongeveer 
A: 	ja 
B: 	dit zijn weer met die bal bovenop en die pilaar en de twee armp 
A: 	ja ja 
A: 	zes 
B: 	en die zitten ongeveer in het midden van rechts 
A: 	bij mij zitten die in ja wel echt beneden 
A: 	hij zitten ongeveer in het midden van 
B: 	nee dan zijn het een ander 
A: 	oké dan helaas 
A: 	dit zijn met het bolle hoog pilaar voor en die twee dun armpjes aan de zijkant 
A: 	aan al twee al al twee de kant één 
B: 	ja 
B: 	waar zijn die 
B: 	J 
A: 	die zitten volgens mij echt in het midden van het 
B: 	van de rechterkant 
A: 	ja 
B: 	ja 
B: 	dit zijn weer met dat bolle bovenop en die twee dun armp en de pilaar 
A: 	yes yes dat zijn drie 
B: 	hij zitten bij mij helemaal rechts ongeveer in het midden 
B: 	qua hoogte 
A: 	ja 
