A: 	oké deze vinden ik ook een heel raar ding 
A: 	ik hebben uiteindelijk zeggen dat die een soort feesthoedje hebben 
A: 	en het lijken alsof er een soort potlood in dat ding steken een soort afsnijden potlood 
B: 	ja aan de linkerkant 
A: 	ja precies en dan een soort van cirkelt nog daaronder 
B: 	ja 
A: 	waar die op staat en een ja heel soort heel raar figuur die er dan ook midden eruit steken 
B: 	ja 
B: 	piramide alleen dan de bovenkant zijn eraf snijden 
B: 	denken ik 
A: 	ja ja precies 
B: 	ja 
B: 	oké ja dat zijn J 
A: 	en hij staan bij mij als je het weer in kwadrant maken het rechteronderkwadrant 
A: 	en dan in het midden daarvan qua breedte maar dan wel wat veel naar onder nog 
B: 	ja staan die bij mij ook en past niks veel tussen in ieder geval 
A: 	nee precies hij staan echt helemaal onderaan 
B: 	ja 
B: 	dan hebben we hetzelfde 
A: 	oké 
B: 	dit zijn weer dat feesthoed denken ik dat het zijn die piramide of kegel op het hoofd met links die pen wat jij zeggen volgens mij zeggen je dat die doorboren 
A: 	ja precies 
B: 	aan de onderkant een rond en dan op de voorkant zo'n piramide maar dan doorsnijden 
A: 	precies 
A: 	dat zijn zes 
B: 	oké en bij mij zitten die rechteronderkwadrant 
B: 	ongeveer in het midden van dat kwadrant wel iets veel naar rechts 
B: 	maar er kunnen als het goed zijn nog wel een plaat tussen 
A: 	oké en hij staan zeggen maar qua boven onder staat die een beetje in het midden bij jou 
B: 	ja ongeveer in het midden er kunnen nog zeker een plaat onder maar er kunnen geen plaat veel boven 
A: 	nee precies 
B: 	dus ik denken dat die wat hoog staan dan het midden 
A: 	ja want bij mij staan die inderdaad ook wat hoog 
A: 	en en dan de iets veel naar rechts zeggen je 
B: 	ja ook 
A: 	ja 
A: 	ik denken dat we dan wel ja bij mij staan die wel behoorlijk naar of nou ja wel ja echt behoorlijk naar boven in de zin van daar kunnen echt helemaal niks veel tussen 
B: 	nee nee nee nee bij mij ook niet maar de onderkant wel 
A: 	nee 
A: 	oké 
A: 	ja ja precies 
B: 	ja 
A: 	ja oké 
A: 	dan zijn het een ander plek 
A: 	dit zijn die met het soort van ja hoed feesthoedje van een piramide en een potlood aan de zijkant erin steken 
B: 	ja E 
A: 	bij mij staan die in het rechteronderkwadrant en vinden ik dan een beetje de rand van het rechteronderkwadrant 
A: 	omdat die linksboven staan 
B: 	nee 
B: 	nee nee nee bij mij staan die rechteronderkwadrant ongeveer in het midden maar wel ietsjes naar boven 
B: 	dus dat zijn dan niet hetzelfde nee 
A: 	nee 
B: 	dit zijn de piramide feesthoedje bovenop en dan links de potlood erin steken 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	dat zijn ja dat zijn tien 
B: 	hij staan bij mij links onderin 
B: 	het linkst onderste plaat dus het linkeronderkwadrant en dan ongeveer in het midden maar iets naar links en ook wat naar onder er kunnen nog wel een plaat link naast maar niet veel onder 
A: 	oké dus er kunnen maar één plaat link naast 
B: 	ja 
A: 	ja 
A: 	nee dan hebben ik een ander plek 
B: 	oké 
A: 	dit zijn de feesthoed met de potlood er aan de zijkant in steken 
B: 	ja G 
A: 	en die staan bij mij helemaal Linksboven 
B: 	geen plaat veel boven of 
A: 	nee en een half past er link naast 
B: 	ja hebben ik hetzelfde 
B: 	dit zijn de feesthoed met potlood aan de zijkant erin 
A: 	yes dat zijn tien 
B: 	en hij staan in het rechteronderkwadrant 
B: 	maar dan ongeveer in het midden iets naar boven 
A: 	ja precies 
B: 	past zeker één misschien wel anderhalf tussen 
B: 	worden misschien krap maar daarboven oppasen zeker niks veel tussen anders staan het in het bovenkwadrant 
A: 	ja en dat één anderhalf tussen dat zijn aan de onderkant 
B: 	zijn aan de onderkant ja rechts één denken ik 
A: 	ja 
A: 	ja precies 
