A: 	nu zijn het wel die een met die ja dat infeestmutsjen op 
B: 	ja 
B: 	de driehoek en 
A: 	ja 
A: 	ja 
B: 	oké J 
A: 	en die staan bij mij helemaal onderin en dan naar rechts en dan net iets over de helft van rechts 
B: 	ja bij mij ook 
B: 	helemaal onderin ja 
A: 	ja 
B: 	ah dit zijn met de driehoek op zijn hoofd 
A: 	met die met die wielet eronder 
B: 	en 
B: 	wielet onder 
B: 	ik weten niet of dat een wiele zijn 
A: 	met dat ronde 
B: 	ja er zijn één rond dinge eronder en een 
A: 	ja precies 
B: 	hebben ik een raar best wel groot ding aan de rechterkant 
A: 	ja precies en zo'n klein hendel aan de 
B: 	ja 
A: 	ja oké 
A: 	dat zijn zes 
B: 	hij staan best wel ver aan de rechterkant maar er zullen er nog één tussen kunnen 
B: 	en een beetje veel naar onder dan 
A: 	ja 
B: 	oké 
A: 	dat hebben ik ook 
A: 	dit zijn die met die feestmuts op en die raar ding aan de voorkant 
A: 	met dat rond aan de onderkant 
B: 	ja de feestmuts 
A: 	ja 
B: 	oké E 
A: 	en die staan dan als je het midden pakken er net schuin onder dus een heel klein beetje naar rechts een heel klein beetje naar beneden 
B: 	oké bij mij staan die best wel ver naar rechts en best wel ver naar beneden 
B: 	die een met het feesthoed 
A: 	even kijken ja dat zijn nummer tien 
B: 	hij staan helemaal naar er zullen er nog één link kunnen 
B: 	en helemaal onderaan 
A: 	bij mij passen er nog wel twee langs links 
A: 	er staan er nog één en er past er nog één 
B: 	ja 
B: 	staan er nog één ? nee dan zijn het 
A: 	ja en dan past er daar ook echt nog wel één langs eigenlijk 
B: 	oké nee dan dan zijn het heel ander 
A: 	het feesthoed 
B: 	oké G 
A: 	en hij staan helemaal links bovenin 
B: 	ja 
A: 	er zullen niks veel tussen passen maar er zijn nog wel een klein beetje ruimte over 
B: 	ja en aan de linkerkant dus nog wel 
A: 	ja 
B: 	oké 
B: 	het feesthoed 
A: 	nummer tien 
B: 	hij staan aan de rechterkant 
A: 	ja 
B: 	er zullen er nog wel één één passen er ruim tussen twee past net niet denken ik 
B: 	en een beetje naar onder 
B: 	zullen nog wel twee ja zelfde 
A: 	ja 
A: 	ikke hebben die ook ja 
