A: 	deze hebben zo'n uitsteeksel waar ja ik vinden het op een spijker lijken die erin zitten 
B: 	ja 
A: 	en dat uitsteeksel hebben een beetje een gek vorm 
A: 	en aan de rechterkant zitten nog een een plateaut zeggen maar 
B: 	ja dan zijn het L 
A: 	die uitsteken 
A: 	die zitten bij mij van de onderste rij helemaal links 
B: 	oké nee dan zitten die niet op dezelfde plek 
B: 	deze hebben wat jij op een spijker vinden lijken met op dat gek vormige uit en dat plateau aan de zijkant 
A: 	ja 
A: 	ja oké dan zijn het zeven 
B: 	oké bij mij staan die aan de linkerkant in een soort van in het midden van het scherm en dan zijn het de boven 
B: 	dus boven die vierkant 
B: 	link boven die vierkant 
A: 	oké 
A: 	dus niet in dat rij van drie 
A: 	wat daar 
B: 	nee nee nee daar zeggen maar de vier dan daarboven 
A: 	nee oké 
A: 	ja oké 
A: 	dan staan die niet op dezelfde plek 
A: 	dit zijn die met die spijker erin 
B: 	oké 
B: 	dat zijn C 
A: 	en die staan bij mij in dat groep van acht weer 
B: 	ja sorry 
B: 	dan staan die niet op dezelfde plek 
A: 	oké 
B: 	ik hebben diegene met die spijker en dat gek vormp waar die op staat en een plateau 
A: 	ja 
A: 	oké dat zijn één 
B: 	in die in dat vierkant linksonder zijn dat bij mij de Linksboven 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn die met die spijker erin 
B: 	ja 
B: 	dat zijn A 
A: 	en die staan bij mij ja aan de linkerkant van het scherm in het midden ongeveer 
B: 	ja er zitten er nog één rechts onder en één link onder 
A: 	ja 
B: 	oké dan staan die op dezelfde plek 
B: 	ik hebben diegene met die spijker en dat gek vormp en het plateau 
A: 	ja 
A: 	dat zijn dertien 
B: 	oké bij mij staan die waar we het net over hebben die linksonder maar dan daar rechts boven 
A: 	nee dan staan die niet op dezelfde plek 
