A: 	ja 
A: 	even kijken ik hebben het figuur met met de verticaal balk laten maar zeggen 
B: 	de verticaal balk 
A: 	die zo rechtop staan en een bal bovenop 
B: 	die en twee armp 
A: 	ja 
B: 	oké dat zijn D 
A: 	ja 
A: 	en bij mij staan die helemaal onderaan het scherm 
A: 	ik denken nee er toepassen er geen veel onder volgens mij zijn dit het veel onder wat die kunnen en dan net iets link van de middellijn denken ik 
B: 	ja 
B: 	ja hebben ik ook 
A: 	mooi 
B: 	deze zijn met het balk aan de voorkant en een ei bovenop 
B: 	hebben we deze al hebben 
B: 	mij wel 
A: 	even kijken 
A: 	sorry een balk aan de 
B: 	hij er liggen een ei bovenop dat zijn er niet veel 
A: 	even kijken hoor 
A: 	daar ja met die verticaal balk weer 
B: 	ja 
A: 	ja dat zijn bij mij nummer vijftien 
B: 	en hij staan helemaal rechts onderaan 
A: 	helemaal rechts 
B: 	in de rechteronderhoek 
A: 	nee staan die bij mij niet 
A: 	ik hebben die met die balk en dat ei bovenop 
B: 	ja 
B: 	dat zijn L 
A: 	en bij mij staan die aan de linkerkant van het scherm ik denken net wel langs de middellijn aan de linkerkant 
A: 	past er geen veel boven denken ik 
A: 	ja laten maar zeggen een 
B: 	hij staan staan die echt naast de middellijn 
B: 	bij mij passen er echt wel duidelijk één tussen dat ding en de middellijn 
A: 	nee bij mij passen er ja een half past ertussen laten maar zeggen 
B: 	nee dan denken ik en ik ik twijfelen ook een beetje of er nog één boven past of niet 
A: 	ja bij mij ik snapen wat je bedoelen ja ik kijken een beetje naar dat logo laten maar zeggen op de op het scherm om te rondkijken waar de middellijn zijn 
B: 	het zijn 
B: 	welk logo ? dat ding 
A: 	ja 
B: 	nee ik zien daar onderaan 
A: 	ja 
B: 	neve mind 
A: 	maar ik denken ja dan past er nog als ik daar in het midden van kijk dan past er nog ja een half tussen laat maar zeggen 
B: 	oehlen ik twijfelen een beetje 
A: 	kijken als je puur het figuurtje zullen nemen dan zullen er nog één boven passen maar laten maar zeggen met de ruimte die er normaal omheen komen zullen het niet veel pas 
B: 	ja nee dan echt niet inderdaad 
A: 	nee oké 
B: 	het figuurtje zijn ook best wel groot dus ik weten niet of ik hem inderdaad tussen de middellijn zullen kunnen proppen 
B: 	ik denken dat die inderdaad op dezelfde plek staan 
A: 	nee 
B: 	ik hebben dat een ding met het ei bovenop en het balk aan de voorkant 
A: 	ei bovenop balk ja nummer zes 
B: 	en hij staan aan de rechterkant 
B: 	ja net iets rechts van het midden van de rechterkant 
B: 	er passen er één tussen rechts 
A: 	ja 
B: 	en hij staan ja op de middellijn 
A: 	erop 
A: 	nee zijn bij mij niet bij mij staan die wel duidelijk onder 
A: 	ik hebben die met dat ei bovenop en die verticaal balk aan de rechterkant 
B: 	dat zijn J 
A: 	bij mij staan die op de middellijn nee net iets boven de middellijn 
A: 	en aan de rechterkant van het scherm 
A: 	redelijk in het midden 
A: 	wel iets rechts van het midden denken ik 
B: 	ja dat denken ik ook wel 
A: 	er past er ruim één naast aan de rechterkant 
B: 	staan die op de middellijn 
B: 	boven de net boven 
A: 	ja erop er net boven 
B: 	ik hebben ongeveer nou ik denken wel dat die op dezelfde plek staan 
A: 	er toepassen er nog twee boven ruim 
B: 	ja en ook twee twee onder 
A: 	ja 
B: 	ja 
B: 	ik hebben die een met het ei bovenop en het verticaal staaf ervoor en het 
A: 	nummer drie 
B: 	ja 
B: 	en hij staan aan de rechterkant net helemaal rechts zeggen maar 
A: 	ja 
B: 	en dan net iets onder de middellijn 
A: 	net eronder 
B: 	net onder 
B: 	of ja 
A: 	ja ook erop laten maar zeggen 
B: 	ja misschien zijn het ei erop of zo 
A: 	ja 
B: 	er toepassen 
B: 	ja 
