A: 	dit plaat zijn eigenlijk een soort van gieter moeten ik eigenlijk aan denken 
A: 	hij hebben aan beide kant langwerpig uitsteeksel aan de rechterkant iets lang dan aan de linkerkant 
A: 	en dan aan de bovenkant zitten er nog een soort van schuin dak met een ja een poo naar beneden wat er eigenlijk als een soort van handvat 
B: 	poo naar beneden 
B: 	ja 
A: 	zullen kunnen zien 
B: 	die uitsteeksel die eindigen in een soort bollet 
A: 	ja 
B: 	oké het zijn K 
A: 	deze staat bij mij links bovenaan 
A: 	voor mij bijna in de hoek 
A: 	ik denken dat er zowel aan de bovenkant als aan de linkerkant nog één klein figuur naast zullen passen en dat je dan wel weg zijn 
B: 	dat zijn hem niet bij mij 
B: 	dat zijn niet dezelfde plek 
A: 	oké 
B: 	oké dit zijn weer wat jij op gieter vinden lijken 
B: 	met die bollet aan de zijkant 
A: 	ja nummer negen 
B: 	hij staan één plaat van vanaf rechts 
B: 	en ook één plaat vanaf boven 
A: 	ja 
A: 	oké 
A: 	daar lijken die bij mij ook te staan dus dan gaan ik voor dezelfde plek 
A: 	dit zijn de gieter 
B: 	de gieter 
B: 	ja F 
A: 	en hij staat ongeveer op een kwart vanaf links 
A: 	hij staan in het midden misschien net iets onder het midden 
A: 	en er toepassen zowel aan de boven als aan de onderkant twee plaat onder en aan de bovenkant twee denken ik 
B: 	ja dat kunnen hem niet zijn 
B: 	dit zijn de gieter 
A: 	ja nummer drie 
B: 	en hij staan helemaal onderaan 
B: 	een kwart vanaf het midden naar links 
A: 	ja 
A: 	zullen er nog een plaat onder passen 
B: 	nee half plaat misschien 
A: 	half plaat 
A: 	en aan de linkerkant 
B: 	twee denken ik 
A: 	twee 
B: 	ja 
A: 	dan zijn het niet dezelfde plek 
A: 	de gieter 
B: 	L 
A: 	en de hij staan denken ik ja hij staat ongeveer in het midden te als je het over de hoogte hebben en hij staan net 
A: 	iets ver naar rechts dan naar links 
B: 	nee dat zijn hem niet 
B: 	nee 
B: 	dit zijn de gieter 
A: 	nummer vijf 
B: 	hij zitten in het midden maar dan zitten er nog anderhalf plaat onder wat erbij passen 
A: 	ja op dezelfde plek 
