A: 	ja dit zijn bij mij ja ik hebben het omschrijven als een als een soort boei of zo 
A: 	dit zijn van die zo'n emmer en dan zien je daarachter die zo'n 
A: 	ja zo'n zeshoekig staaf en aan beide kant zo'n rond ei erop 
B: 	zo 
B: 	ja en dan zitten er aan de achterkant zitten nog een plaat 
A: 	ja zo'n plaat met zo'n 
B: 	ja ja 
A: 	ja 
B: 	dat zijn K 
A: 	en die zitten bij mij helemaal ja Linksboven 
B: 	ja en er zitten niks veel niks veel ver links of ver hoog 
A: 	ja hij zitten niet echt strak in links Linksboven in de boek in de in de hoek maar ja er zitten niks veel boven in 
B: 	nee 
B: 	nee 
B: 	dan zitten dan zitten dan zitten 
B: 	ja nee dan zitten die op dezelfde plek 
A: 	oké 
B: 	oké dit zijn deze hebben aan de achterkant van die buis 
B: 	en dan met die met die rond bal erop 
B: 	en en achter dat plaat dat nog schuin staan 
A: 	wachten even 
B: 	dat zijn die zeshoekig zeshoekig staaf met met aan beide kant zo'n zo'n bal 
A: 	met die ja ja oké 
A: 	dat zijn negen 
A: 	ja aan de achterkant zitten nog dat plaat 
B: 	ja ja inderdaad 
A: 	ja negen 
B: 	en die zitten aan de aan de rechterkant 
B: 	net boven het midden 
A: 	ja 
B: 	en dan zitten daarboven zitten zeggen maar schuin boven zitten er nog één nog één bij 
A: 	ja 
A: 	ja 
B: 	en daar daar helemaal rechts van zitten niks veel 
A: 	nee nee precies dat hebben ik ook 
A: 	ja dit zijn die zeshoekig staaf met die twee rond aan de uiteinde 
B: 	ja en het plateau 
A: 	en het plateau aan de achterkant 
B: 	ja 
A: 	ja 
B: 	dat zijn F 
A: 	en die zitten bij mij zeggen maar op de horizontaal lijn 
A: 	en dan als je het weer in in twee delen de middel lijn zo zeg 
B: 	nee dat hebben ik niet 
A: 	ongeveer 
B: 	ik hebben hem horizontaal lijn en als je hem zo hebben net net daar links van 
A: 	ja 
B: 	dus 
B: 	ik denken dat jij jij hem nog ver naar links hebben staan 
B: 	ik hebben hem redelijk in het midden van het scherm staan 
A: 	ja kijken ja het midden van het scherm zijn voor mij zo 
B: 	ja hebben ik ook 
A: 	en hij staan bij mij zeggen maar hier zo zo 
B: 	ja ik hebben hem dus hier ja dan hebben ik hem daartussenin staan dan staan hij op een ander plek 
A: 	oké 
B: 	die staaf achter met die zes ding en dan die bollen aan de aan de buitenkant 
A: 	wachten even 
A: 	die staaf 
B: 	aan de achterkant die daar op de grond liggen zeggen maar 
A: 	wachten even jee 
B: 	met die met die bal 
A: 	ah die zo met die met die rond aan de 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	en die dat plateau 
B: 	yes 
A: 	ja 
A: 	ja dat zijn drie 
B: 	en die staan zeggen maar links onderin 
B: 	maar niet helemaal links maar niet helemaal linksonder in de hoek maar net daarnaast 
A: 	ja precies 
