B: 	ja dit vinden ik een soort geweer die die langs zijn hoofd hebben maar volgens mij hebben jij het straks over een tafel waar die iets diep in zitten 
B: 	en dan met zo'n blok aan de rechterkant nog 
A: 	ja 
A: 	oké 
A: 	ja ik weten welk het zijn dat zijn zestien 
B: 	en hij staan niet de één rij van rechts maar de ja een beetje zeggen maar 
B: 	tussen de twee en drie rij in van rechts 
A: 	dus hij zullen niet hetzelfde zijn bij mij staan er niks veel rechts daarvan dus 
B: 	ah needen oké dan 
A: 	oké niet hetzelfde 
A: 	oké dit zijn de diep wasbakding met dat vierkantje zo aan de voorkant 
B: 	ja dat zijn P 
A: 	en hij staan in zeggen maar de helemaal rechtergroep en dan de middel daarvan 
B: 	de rechtergroep vinden je dat die vijf die zo als een slinger 
A: 	ja 
A: 	ja dat noemen ik zullen ja 
B: 	ja 
B: 	oké dan staan die hetzelfde bij mij 
B: 	dit zijn die diep door de tafel heen 
A: 	even zoeken 
A: 	zijn die er 
A: 	waar zijn die 
A: 	diep door de tafel heen 
A: 	ja ik hebben hem vinden 
A: 	dat zijn veertien 
B: 	en hij staan helemaal onderaan in het midden 
A: 	in het midden van het scherm of van de drie onderste ding 
B: 	nee in het midden van het scherm dus de de rechter van de drie onderste 
A: 	oké 
A: 	ja oké zijn die gelijk 
A: 	dit zijn de diep sink of die dat met het geweer 
B: 	ja dat zijn N 
A: 	en dan staan die niet in de veel linkerrij die twee maar daarnaast hebben je er zeggen maar vier 
A: 	en daar zijn het dan de twee van boven 
B: 	ja 
B: 	die heel diep door de tafel of het geweer 
A: 	ja maar waar staan die 
A: 	tien 
B: 	en de je hebben de bovenste rij daar staan er twee 
B: 	en als je die rechts nemen dan links daaronder 
A: 	oké bij mij zijn dat die bovenste dus niet gelijk 
A: 	dit zijn die diep gootsteen 
A: 	of de of het geweer 
B: 	ja dat zijn D 
A: 	en die staan bij mij met de van de veel rechter drie de middel 
B: 	nee dat zijn ongelijk 
