B: 	oké ik hebben er nou één met volgens mij zijn dat de enig van al plaat waarbij aan de bovenkant hebben je twee stok zeggen maar 
B: 	en dan hebben je aan de 
A: 	in het midden zo'n plaat erdoorheen zeggen maar 
B: 	ja die 
A: 	oké 
A: 	dat zijn bij mij nummer zes 
A: 	ja 
A: 	oké 
A: 	druk ik op geel 
B: 	en bij mij staan die ja dat zijn ook zeggen maar dan helemaal bovenaan zeggen maar 
B: 	en dan iets veel aan de ja eigenlijk zeggen maar als je dan een middellijn nemen van het scherm en dan 
B: 	net aan de rechterkant zeggen mij 
A: 	oké 
B: 	iets aan de rechterkant 
A: 	ja bij mij staan die ook en dan bij mij staan die helemaal bovenaan dat er geen plaat veel boven past 
B: 	ja 
A: 	en er opstaan bij mij wel twee plaat rechts naast 
B: 	ja bij mij ook twee plaat er rechts naast inderdaad 
A: 	oké 
A: 	ja dan denken ik dat die wel op dezelfde plek staan eigenlijk 
B: 	denken ik ook dan ja 
A: 	en net naast de middellijn ja 
B: 	ja 
A: 	oké dan druk ik op geel 
A: 	ik hebben nu één met die twee staaf Erboven en zo'n plaat door het midden 
B: 	ja en dan nog zo'n ja een soort van een rond wat er ook uit opsteken 
A: 	ja zo'n slurf of zo 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	bij mij staan die helemaal bovenin en dan ongeveer op drie vier aan het van het scherm rechts 
B: 	ja daar staan die bij mij ook dus 
B: 	we hebben nou weer die een met zeggen maar die schijf door het dinge en dan weer met die twee 
B: 	ja die twee 
A: 	staaf erop 
B: 	staaf erbovenop ja 
A: 	ja 
A: 	en die slurf aan de voorkant zeggen maar 
B: 	ja 
A: 	nummer dertien zijn dat bij mij 
B: 	en bij mij zijn het plaat het veel links bovenin 
A: 	bij mij staan die niet bovenin 
A: 	wel helemaal links maar hij staan net iets boven het midden 
B: 	nou dan zijn het niet dezelfde plek nee veel 
A: 	oké 
A: 	die met die twee uitsteeksel Erboven en die plaat erdoorheen 
A: 	ongeveer in het midden onder liggen die bij mij 
B: 	ja 
B: 	bij mij zijn dat J 
A: 	ja hij liggen zeggen maar echt net iets rechts van het midden helemaal onderin 
B: 	ja 
B: 	ja bij mij liggen die daar ook dus dat zijn dezelfde plek dan 
B: 	weer die een met die twee staaf zeggen maar aan de bovenkant 
A: 	met die plaat door het midden 
B: 	ja 
A: 	nummer negen 
B: 	mij staan die helemaal rechts zeggen maar 
B: 	er kunnen nog wel een plaat naast ongeveer en qua hoogte ongeveer op één drie 
A: 	aan de bovenkant 
B: 	ja aan de bovenkant inderdaad 
A: 	ja zijn die geruild met dat plaat net 
A: 	bij mij staan die echt eronder 
A: 	staan die niet op dezelfde plek 
B: 	oké 
A: 	die staan bij mij ongeveer in het midden boven met twee van die antenne en zo'n plaat erdoorheen zeggen maar en die slurf 
B: 	ja even zoeken 
A: 	bij mij staan die ongeveer in het midden 
B: 	ja 
B: 	bij mij zijn het N 
A: 	hij staan echt bij mij helemaal bovenaan in het midden in de middellijn zeggen maar 
B: 	ja bij mij ook helemaal bovenaan maar dan zullen ik wel zeggen dat die iets ver naar rechts vaststaan nog wel van de middellijn 
A: 	ja hij staan heel iets naar rechts maar 
B: 	ja niet heel erg veel 
B: 	ja het zullen wel dezelfde plek zijn denken ik 
A: 	ja 
A: 	wel ongeveer op de middellijn 
