B: 	oké 
B: 	dit lijken een beetje op een man die zo zwaaien 
B: 	er steken twee stok uit zijn hoofd dat zijn zijn oog zeggen maar en hij zwaaien en hij hebben een soort lang neus die net onder die stokjes uit komen en hij hebben een soort tutu aan 
A: 	oké 
A: 	ja dan weten ik welk je bedoelen 
B: 	ja 
A: 	dat zijn nummer zes 
B: 	oké hij zitten bovenin net een stuk van het rechts van het midden 
B: 	en diagonaal rechtsonder van hem zitten een zitten ook een dinge 
B: 	en er zijn niet ruimte boven voor nog een poppe 
A: 	dus je zeggen rechts van het midden helemaal bovenaan 
B: 	ja 
A: 	en hoeveel ruimte zijn er aan de rechterkant nog 
B: 	nou zeggen maar net daaronder zeggen maar net rechts daarvan beginnen het ander plaat al 
B: 	zeggen maar er zijn niet echt ruimte om nog een plaat daar neer te voortzetten 
A: 	dus er zijn ruimte voor één figuur bij jou 
B: 	ja maar dan zullen je hem wel een beetje rechtsbof moeten zetten 
B: 	rechtsboven van deze 
A: 	oké 
A: 	bij mij zijn er wel echt ruimte voor twee figuur nog naast dit plaat dus ik denken dat hij dan niet op dezelfde plek staan 
B: 	dat lijken me ook niet dan 
B: 	nee 
A: 	oké 
A: 	dit zijn het zwaaiend poppe met zijn lang neus 
A: 	en het rok dat hij aan hebben 
B: 	ja 
B: 	dat zijn C 
B: 	ik vinden het altijd makkelijk onthouden met van die met zo'n dom verhaal erbij 
A: 	ja 
A: 	en hij staan bij mij ja hij als ongeveer weer op één vier vanaf de rechterkant 
A: 	en hij bekendstaan eigenlijk helemaal bovenaan daar zijn geen ruimte veel voor een plaat en er toepassen denken ik nog anderhalf tot twee plaat aan de rechterkant naast 
B: 	ja 
B: 	bij mij ook 
A: 	oké 
B: 	het zwaaiend poppe met het ballerinading 
A: 	ja dertien 
B: 	de tutu 
B: 	en hij staan bijna helemaal links bovenin 
B: 	en dan een klein stuk naar onder en een klein stuk naar rechts 
A: 	hoeveel past er nog boven 
B: 	half plaat 
A: 	oké dan staan die op een heel ander plek 
A: 	dit zijn 
B: 	wachten even ik zijn even ergens verward over 
B: 	zeggen de heel tijd wat ertussen zullen passen bedoelen je dan tot je bij een ander plaat aankomen 
B: 	of tot je bij de rand aankomen 
A: 	net tot je bij de rand aankomen 
B: 	ja 
B: 	oké 
B: 	ja goed dat het duidelijk zijn 
A: 	dat zijn ook lullig als we alles nou verkeerd beschrijven 
B: 	nee want zo zijn ik al aan het denken alleen ik twijfellen heel eventjes eraan 
A: 	oké 
B: 	nee jij jou beurt 
A: 	ja dit zijn het zwaaiend poppe met zijn lang neus en zijn rok 
B: 	ja 
B: 	J 
A: 	en hij staan helemaal onderaan 
A: 	in het midden maar net iets rechts van het midden 
A: 	en er zullen aan de onderkant nog een half plaat passen denken ik 
B: 	ja ja dat zijn bij mij ook zo 
B: 	het zwaaiend man met de rok 
A: 	nummer negen 
B: 	hij staan bijna helemaal rechts 
B: 	twee plaat passen boven nog bij 
B: 	tot de tot de bovenste rand 
A: 	en aan de rechterkant 
B: 	half 
B: 	ongeveer 
A: 	oké 
A: 	dat zijn niet dezelfde plek dan 
A: 	zwaaiend man met zijn lang neus 
A: 	zijn rok 
B: 	N 
A: 	en hij bekendstaan eigenlijk bijna helemaal bovenaan 
A: 	net iets rechts van het midden 
