A: 	ik vinden dit een stopcontact er zitten twee balk zo naar wachten even voor jou zijn dat de ander kant 
A: 	er zitten twee balk naar de zijkant 
A: 	en zo'n zo'n vorm aan de bovenkant 
A: 	en er zitten nog een gek uitsteeksel aan 
B: 	met ook zo'n soort van uitlaa aan de onderkant of 
A: 	ja zo'n uitlaa aan de onderkant en dan zeggen maar voor mij zijn het die 
B: 	ja dan hebben ik hem dat zijn I 
B: 	ik moeten altijd even kijken of het één I of een L zijn 
B: 	maar het zijn een I 
A: 	en hij zitten een stap naar links en dan best wel ver omhoog 
B: 	ja daar hebben ik hem ook 
A: 	oké 
B: 	het zijn een beetje een het wat jij een stekkerding stopcontact of iets vinden 
A: 	ja 
B: 	nou dat zijn hem 
A: 	oké nummer twee 
B: 	en die staan de slinger van links en dan de vier 
A: 	ja 
A: 	ja 
A: 	dit zijn de stekker 
B: 	ik weten welk je bedoelen even loeren ja M 
A: 	en die staan bij mij helemaal links onderin 
B: 	ja bij mij ook 
B: 	stekker 
A: 	ja nummer negen 
B: 	en dat zijn de één rij en dan de twee 
A: 	yes 
B: 	oké 
A: 	dit zijn het de stekker stekker 
B: 	ja vinden F 
A: 	en dan hebben je zeggen maar onderin hebben je er drie heel dicht bij elkaar staan zo'n in zo'n rij en daar zijn het de middel van 
B: 	ja 
B: 	ja bij mij ook 
B: 	het zijn een stekker 
A: 	ja zes 
B: 	en die zitten een beetje in het ja je hebben daar links zo'n kring 
B: 	en daar zitten er ook nog één in het midden en dat zijn hem bij mij 
A: 	wachten even 
A: 	de links kring 
B: 	van een rond met zes 
A: 	nee ik hebben er twee in het midden 
A: 	even kijken 
B: 	dat zijn heel spectaculair misschien staan die wel compleet op een ander plek en verhouden wij het 
A: 	ja of houden wij het op want ik denken dus dat het misschien inderdaad zo 
A: 	shit dus dan zitten we echt 
A: 	oké we gaan wel weer gewoon positioneren 
B: 	ja een beetje het zijn de middellijn 
B: 	en dan een heel klein beetje naar links 
A: 	ja dan gaan ik ervan uit dat die op dezelfde plek zitten 
