A: 	ja 
B: 	oké nu zijn het andersom 
A: 	oké ik hebben het vak 
B: 	ja 
A: 	deze vinden ik het zijn zeggen maar ja het zijn ook weer een roerstaafje erin zeggen maar 
A: 	en ja ik noemen het even de neus daar zitten zeggen maar een een een een een een staaf doorheen horizontaal zijn een soort piercing noemen ik het eigenlijk 
B: 	ja 
B: 	ja ja 
B: 	en dan zitten aan het eind zo'n rond zeggen maar zo'n schotel 
A: 	ja dat zijn hem 
B: 	oké dat zijn voor mij F 
A: 	oké ja 
B: 	ja 
A: 	oké nu zitten die als je weer oeh als je door het scherm trekken zitten die aan de rechterkant 
B: 	ja 
A: 	en dan precies in het midden 
B: 	ja bij mij ook 
B: 	en dan eigenlijk helemaal aan het eind zeggen maar er zitten niks veel naast tot eind van het scherm 
A: 	er zitten wel iets naast nog hij zitten hij zitten echt op één twee ja op op drie vier van het scherm zeggen maar 
B: 	bij mij niet 
B: 	oké dan zitten die bij mij denken ik op een ander plek 
A: 	oké 
B: 	dus dan zijn het voor mij rood 
B: 	oké nu hebben ik die met dat ja soort van neusje aan de zijkant waar dat staaf doorheen zitten met zo'n schild 
B: 	en dan hebben die één zo'n roerstaafje erin 
B: 	dus dat zijn dat ja 
A: 	ja ja 
A: 	ja die neuspiercing zeggen maar 
B: 	ja die 
A: 	ja 
B: 	met dat die staaf erdoorheen 
A: 	ja ja heel en dan ja oké 
B: 	en dan zo'n ja 
A: 	helemaal goed 
B: 	ho 
A: 	dat zijn nummer vijf 
B: 	die staan bij mij links boven 
B: 	en dan ja ongeveer als je zeggen maar verticaal kijken in het midden 
A: 	wachten verticaal in het midden 
B: 	en als je 
B: 	ja 
A: 	nee dat zijn bij mij niet 
A: 	bij mij staan die echt wel veel naar de naar de middellijn toe 
B: 	oké 
B: 	nee 
A: 	oké dan zijn die niet goed 
B: 	nee 
A: 	zijn met de neuspiercing 
B: 	ja 
A: 	één staaf één lepel zeggen maar 
B: 	met één zo'n ja dat zijn A 
A: 	en dan staan die rechtsonder 
A: 	ja deze beschrijven jij net volgens mij met de met de hanenkam 
A: 	met de met de piramide zeggen maar 
A: 	hij staan rechtsonder en dan kunnen er nog anderhalf naast aan de rechterkant naar de buitenkant toe en nou één anderhalf naar de beneden 
B: 	nee 
A: 	nou 
B: 	die zijn denken ik bij ons een beetje omdraaien want bij mij staan die de de middellijn kruisen hem zeggen maar 
A: 	ja dan staan die precies omdraaid ja 
B: 	nee dan zijn ze andersom 
B: 	want die inderdaad die die je nu omschrijven daar staan die met die piramide 
A: 	die piramide zijn daar ja 
B: 	bij mij 
B: 	dus rood 
B: 	oké nu hebben ik met die neuspiercing 
A: 	ja 
A: 	ja nummer vijf 
B: 	die staan even kijken rechtsboven 
A: 	ja 
B: 	en dan net een stuk van het midden af 
A: 	nee hij zitten bij mij echt naar naar het het midden van dat blok zeggen maar 
B: 	nee 
B: 	nee 
A: 	ja wel tegen de horizontaal lijn aan 
B: 	ja daar wel tegenaan 
B: 	maar hij zitten niet in het midden 
A: 	nee oké dan zijn dat niet goed 
B: 	nee hij zitten echt wel veel ver naar links 
A: 	oeh 
A: 	de neuspiercing met één met het schild aan de aan de aan de uiteinde van de 
B: 	ja 
B: 	even kijken dat zijn bij mij H 
A: 	ja hij staan eigenlijk als als ik die met jou de de degeen die we net hebben zeggen maar 
B: 	ja 
A: 	nee nee oké dat gaan ik niet zo doen 
A: 	oké hij staan onderaan en hij kruisen bijna de horizontaal lijn de verticaal lijn sorry en dan staan die er kunnen nog nou 
B: 	ja 
B: 	ja 
A: 	bijna precies één blok onder misschien net niet zeggen maar 
B: 	ja 
A: 	oké 
B: 	ja hij staan denken ik wel hij staan wel onder die die we net ongeveer hebben zeggen maar 
A: 	onder 
A: 	ja die van jou Pippi Langkous zijn zeggen maar ja 
B: 	ja 
B: 	ja ja 
B: 	nu hebben ik met die neuspiercing 
A: 	ah nummer vijftien 
B: 	en die staan een soort van tussen die picknicktafel en die Pinokkio in bij mij 
B: 	maar bij jou staan die andersom 
A: 	tussen de de de picknicktafel en de Pinokkio in 
B: 	dus hij staan 
B: 	ja zeggen maar rechtsboven staan die in in het rechtsboven kwartje 
A: 	nee bij mij kruisen die de horizontaal lijn 
B: 	nee 
A: 	oké 
B: 	nee 
A: 	de neuspiercing hebben we het over toch 
B: 	ja ja 
A: 	ja 
A: 	nee 
