B: 	deze vinden ik deze zijn wel het veel apart die lijken het weinig op de ander want die hebben zo 
B: 	een rond van voor en dan staan die op een plaat 
B: 	en dan met die zo drie van die dinge aan beide kant 
A: 	met die kralenketting achtig 
B: 	ja het lijken inderdaad een beetje op een een recht kralenketting ja 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ik vinden dat een beetje op een zwembad lijken 
B: 	oké 
B: 	ik denken aan een clown omdat zo 
A: 	dat zijn ook ja die zien ik ook wel 
B: 	ja 
B: 	even denken bij mij zitten die dus links van het midden 
B: 	en een beetje zowel horizontaal als verticaal 
B: 	een beetje in het midden maar dan even denken horizontaal veel naar links en verticaal iets veel naar beneden 
B: 	er zitten nog één onder zeggen maar en beetje schuin naar onder link zitten er ook nog één 
A: 	zitten er één of twee nog Erboven 
B: 	er zitten niet er zitten twee boven maar dat zijn veel naast niet recht Erboven of zo 
A: 	nee nee nee nee 
A: 	want want bij mij staan die namelijk op een plek waar er echt één vol boven zitten 
B: 	nee dan zijn het niet dezelfde plek 
A: 	oké 
A: 	dit zijn die clown weer 
B: 	oké dat zijn J 
A: 	en bij mij zitten die echt helemaal rechtsonder 
A: 	gewoon de veel rechtsonder die er zijn 
B: 	nee dan niet dezelfde plek 
B: 	ik hebben weer die op de plaat rust 
A: 	die clown 
B: 	ja 
A: 	dat zijn elf 
B: 	lijken echt zo heel wazig op een clown 
A: 	ja maar dat maken het makkelijk 
B: 	ja 
B: 	even denken 
B: 	horizontaal zien in het midden en dan links bij mij 
A: 	ja 
A: 	ja 
A: 	ik denken wel dat het dezelfde plek zijn 
A: 	dit zijn weer die clown 
B: 	ja dus P 
A: 	bij mij als je op de Xas zeggen maar gewoon in het midden zitten 
A: 	en dan helemaal bovenaan en dan de één rechts van het midden 
B: 	ja 
A: 	als je zeggen maar die heel bovenste rij hebben 
A: 	dan hebben je zeggen maar rechts een groep van drie en dan links nog twee 
B: 	ja 
A: 	en dan zijn het van het groep van drie zijn het de veel linker 
B: 	ja 
B: 	nee dan zijn het niet hetzelfde want ik hebben de middel van het groep van drie rechts bovenaan 
A: 	nee 
B: 	dit zijn de clown 
A: 	dat zijn negen 
B: 	bij mij zitten die in het midden helemaal bovenaan 
A: 	helemaal bovenaan of zitten er nog 
B: 	ja helemaal bovenaan 
A: 	oké dan zijn het niet dezelfde plek 
B: 	nee 
A: 	dit zijn weer die clown 
A: 	of zwembad 
B: 	L 
A: 	als je zo vanuit het midden kijken dan een beetje bovenaan en dan iets naar links 
B: 	nee 
B: 	dat zijn niet hetzelfde 
