A: 	ik denken dat jij het vierkant hebben 
B: 	ja 
A: 	ik willen zeggen ik hebben er geen 
B: 	oké 
B: 	oké het zijn een komme en daarachter zitten een cirkel aan vastgeplakt 
B: 	en dan een steel aan de zijkant en aan de bovenkant ook één 
A: 	een tuu 
A: 	ja ik hebben het omschrijven als een Pinokkio 
B: 	een tuu 
A: 	zien het er voor jou zo ook uit 
B: 	ja ja zeker 
A: 	ja 
B: 	ja 
A: 	ja dat zijn voor mij nummer dertien 
A: 	dus dan ja dan zeggen ik dertien en dan druk ik op geel 
B: 	oké hij staan als je het midden van het scherm hebben 
B: 	in het midden onderaan 
A: 	ja 
B: 	maar niet helemaal onderaan 
B: 	zeggen maar niet de onderste rij maar net één daarboven 
A: 	ja 
A: 	ja zullen er net nog één boven passen 
A: 	of zullen er net nog één onder passen sorry 
B: 	er zullen er net nog één onder passen maar dat zullen heel krap zijn 
A: 	ja 
A: 	ja 
B: 	dus zeggen maar die zijn het 
A: 	ja 
A: 	dan ja denken ik dat die op dezelfde positie staan dus dan gaan ik wederom voor geel 
A: 	dit zijn weer dat Pinokkiogezichtje 
A: 	dus met die lang neus rond schijf aan de zijkant achterin 
B: 	ja 
A: 	en dan nog een pluk omhoog 
B: 	dat zijn O 
A: 	deze staat net iets rechts van het midden 
A: 	en ook net iets hoog dan het midden 
B: 	oké nee deze staan wel rechts van het midden maar naar beneden toe 
A: 	oké 
B: 	dus dan staan die niet op dezelfde plek 
B: 	dit zijn beetje die Pinokkio 
B: 	met dat rond achterop 
A: 	ja 
B: 	zeggen maar de die cirkel achterop 
A: 	die rond schijf ja 
B: 	ja 
A: 	en dan nog die dat pluk voorop 
A: 	dat zijn acht bij mij 
B: 	hij staan hier helemaal rechts bovenin maar er zullen er zeggen maar nog wel één rechts tussen kunnen 
B: 	maar boven niet er zullen er geen één boven kunnen maar wel rechts ervan 
A: 	passen er wel nog twee vinger tussen boven 
A: 	of staan die echt helemaal 
B: 	ja nou eigenlijk er kunnen wel twee vinger boven 
B: 	maar aan de zijkant past er zeggen maar wel nog één naast 
A: 	ja 
A: 	inderdaad boven past eigenlijk net niet 
B: 	ja 
A: 	dan staan die wel op dezelfde hoogte 
A: 	dit zijn Pinokkio 
A: 	dus met de rond schijf een beetje aan de achterkant 
A: 	tentakel omhoog en de 
B: 	ja 
B: 	dit zijn C 
A: 	deze staan aan de rechterkant van het beeldscherm 
A: 	daarin wel in het midden 
A: 	zullen aan de zijkant zullen nog twee tussen kunnen en aan de binnenkant maar één 
A: 	en er zullen er nog net één boven kunnen 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn Pinokkio 
A: 	Pinokkio die zien ik ja 
A: 	dat zijn nummer zeven 
B: 	dan staan die aan de linkerkant van het scherm en dan in de hoogte naar beneden maar er kunnen er nog wel één onder en dan neigen die iets veel naar de het midden toe 
A: 	oké 
A: 	ja hier kunnen aan de zowel aan de zijkant als aan de onderkant net kunnen er net wel net niet één tussen maar bij jou 
B: 	nee 
A: 	nee 
A: 	dan zijn het niet hetzelfde 
A: 	dit zijn de Pinokkio 
B: 	even ja dat zijn C 
A: 	en die staan aan de rechterkant van het scherm 
A: 	en aan de zijkant kunnen er wel ruim één tussen maar aan de bovenkant echt absoluut niet veel daar passen één vinger tussen 
B: 	nee dan staan die niet op dezelfde plek 
