B: 	oké 
B: 	ik hebben het laat zin nog niet lezen 
B: 	toen gaan die al ver dus we mogen dus praten 
B: 	nee 
B: 	nee ver zijn het duidelijk 
B: 	oké ik hebben dus het rood vierkantje 
A: 	dat zijn mooi want ik niet 
B: 	ja 
B: 	dus ik moeten dan dus nu aan je uitleggen waar wat het figuur zijn en jij gaan raden 
B: 	even kijken het hebben een een rond aan de achterkant je hebben natuurlijk het lijken allemaal op kop en het hebben een rond aan de achterkant en een 
B: 	steel aan de rechterkant die de ver boven uitsteekt 
A: 	even kijken een rond aan de achterkant 
A: 	en dan aan de linkerkant een soort handvat 
B: 	ja ja om het helemaal af te losmaken aan de linkerkant een soort handvat en aan de onderkant een soort van voe waar die op staat 
A: 	ja precies oké 
B: 	ja 
A: 	dertien 
B: 	en als we dan eventjes gaan tellen ja het zijn moeilijk rijt die je kunnen maken 
B: 	als je even gewoon het heel midden van het scherm nemen 
B: 	gewoon eventjes een vierkant trekken dan staan die bij mij helemaal in het midden en dan net iets aan de onderkant van de middellijn 
A: 	ja 
A: 	bij mij ook 
B: 	oké zijn dan 
A: 	dus dan denken ik dat die op dezelfde plek staan 
B: 	dan denken ik het ook ja echt als je echt een gewoon een mooi recht lijn vierkant maken dan staan die er gewoon echt 
A: 	dus dan druk ik op de 
A: 	ja precies echt dat zijn ook de enig die op die lijn vallen 
B: 	ja eigenlijk wel ja 
A: 	ja 
B: 	ja 
A: 	precies nee dezelfde plek oké 
A: 	deze hebben een rond aan de achterkant 
A: 	een soort lepel erin en dan links een handvat 
A: 	en onder ja een soort plateau om waar die op kunnen staan 
B: 	ja 
B: 	dat zijn dus O voor mij 
A: 	deze zitten voor mij in het rechterbovenvak en dan in de hoek van het kruis bijna 
B: 	nee bij mij zitten die rechtsonder 
B: 	even kijken dit zijn wederom het figuurt met het rond 
B: 	aan de achterkant en het lepel dat aan de bovenkant uitsteken met het voe eronder 
A: 	ja check 
A: 	dit zijn acht voor mij 
B: 	en die staan bij mij beetje heel erg eenzaam rechtsboven in de hoek 
A: 	ja 
A: 	dit zijn die met de cirkel aan de achterkant en dat ja plateau aan de onderkant waar die op kunnen staan 
B: 	soort voe 
A: 	ja 
B: 	dat zijn C voor mij 
A: 	die zitten voor mij in het linkerbovenvak en dan boven het 
B: 	voor mij zitten die sowieso rechts 
A: 	sorry sorry rechts 
A: 	ja nee links rechts zijn niet mijn sterk kant 
A: 	rechts en dan boven en dan boven in het midden ongeveer 
B: 	nee voor mij zitten die rechts tegen de lijn aan 
B: 	dit zijn weer met dat rond plaat aan de achterkant en het voet met het lepel dat aan de bovenkant uitsteken 
A: 	ik moeten hem even zoeken yes dat zijn zeven voor mij 
A: 	hij staan bij mij helemaal linksonder 
B: 	bij mij staan er link nog wel wat naast 
A: 	nee 
A: 	dit zijn die met het rond aan de achterkant en het plateau om op te bijstaan aan de onderkant 
B: 	dat zijn C 
A: 	die zitten voor mij in het rechterbovenvak 
A: 	en dan een beetje aan de rechterkant en vrij hoog vooral 
B: 	nee bij mij zitten die juist laag 
B: 	je zeggen rechtsboven en dan hoog 
A: 	ja 
B: 	oké bij mij zitten die rechtsboven 
