B: 	je kunnen het een beetje beschrijven als twee oog die die aan de linkerkant hebben als verrekijker en een vierkant erop plakken 
A: 	ja 
A: 	ja 
B: 	aan de voorkant 
A: 	en zo'n antenne erbovenop ja twee 
B: 	ja 
B: 	dan staan die bij mij als je het scherm links rechts pakken in het midden van het rechterdeel helemaal onderaan 
A: 	staan die rechts 
B: 	ja rechts 
B: 	sorry link 
A: 	even kijken dus waar onderaan 
B: 	link 
A: 	en wel helemaal links 
B: 	als je 
B: 	nee als je het veld in links en rechts delen 
B: 	in het midden van het linkerdeel onderaan 
A: 	oké nee daar staan die niet bij mij 
A: 	de verrekijker met de antenne bovenop 
A: 	en de 
B: 	met het vierkant voorop 
A: 	ja precies 
B: 	ja 
B: 	G 
A: 	en bij mij staan die in het linksonderkwadrant en dan rechtsboven tegen de hoek aan zeggen maar 
A: 	dus net niet helemaal in het midden van het scherm maar dan net in het linksonderkwadrant sorry 
B: 	ja 
B: 	linksonderkwadrant ja 
B: 	ja 
B: 	dit zijn de verrekijker met vierkant voorop en het plubbeltje bovenop 
A: 	negen 
B: 	staan die als je het linksonderkwadrant pakken 
B: 	bijna tegen de rechterlijn aan dus bijna in het midden van het heel scherm en dan ook ongeveer in het midden van de hoogte 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	de verrekijker 
B: 	d 
A: 	bij mij staan die redelijk in het midden maar echt net een klein stuk naar links zowel in de hoogte als in de breedte 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	dit zijn de verrekijker met het vierkantje voorop plakken 
A: 	verrekijker waar staan je ? dat zijn één 
B: 	en dan staan die als je het midden pken van het scherm iets naar rechts 
B: 	en dan ook in het midden qua hoogte 
A: 	iets naar rechts van 
B: 	iets naar rechts van het midden van de breedte van het scherm 
B: 	en dan wel echt in het midden van de hoogte 
B: 	misschien net ietsje naar onder 
A: 	ies ja oké ja 
A: 	verrekijker 
B: 	met het vierkantje 
A: 	ja 
B: 	waar staan die 
A: 	bij mij staan die helemaal onderaan 
A: 	rechtsonderkwadrant ongeveer in het midden 
B: 	B 
A: 	of 
A: 	of even kijken nou trouwens niet in het midden van het rechtsonderkwadrant maar een klein vanaf de normaal middellijn klein tikkel naar rechts 
B: 	hij 
B: 	ja iets naar rechts 
A: 	en qua hoogte 
B: 	ook een tikkel omhoog van de onderste lijn 
A: 	ja precies 
B: 	ja 
B: 	ja dat zijn hetzelfde 
