B: 	ja nou we hebben de de adapter weer 
A: 	de adapter weer 
A: 	de ouderwets adapter die ik net omschrijven 
B: 	ja 
B: 	ja 
A: 	oké dat zijn dan negen 
B: 	en deze staat weer helemaal onderaan bij mij en dan 
A: 	helemaal onderaan 
B: 	volgens mij staan die weer niet goed dan 
A: 	nee hier niet 
A: 	nee bij mij staan die ergens boven dus dan dan moeten ik een keer drukken ja 
B: 	ja 
A: 	het zijn net alsof er twee wolkenkrabber in het kop zijn boord 
B: 	ja die 
A: 	en met zo'n antenne daarboven en dan zo'n plaat zeggen maar 
B: 	ja 
B: 	dat zijn G 
A: 	hij staan zo goed als in het midden alleen iets veel naar onder en iets veel naar links toe 
B: 	ja ja 
B: 	ja dit zijn die met die twee wolkenkrabber 
B: 	die tegenaan 
A: 	ja 
A: 	ja en die antennetje of wat het ook zijn omhoog 
B: 	ja ja ja 
A: 	negen 
B: 	bij mij staan die vrij in het midden en dan twee van onder 
A: 	twee van de hij zijn de twee van onder en dan vrij in het midden 
B: 	ja 
A: 	ik denken dat die wel gelijk zijn 
A: 	dit zijn de de twee wolkenkrabber die erin zitten 
B: 	ja 
B: 	d 
A: 	maar zo goed als in het midden 
A: 	voor mijn idee iets veel naar links en naar boven maar zo goed als in het midden 
B: 	ja 
B: 	dit zijn die twee wolkenkrabber 
A: 	ja 
A: 	even kijken waar die zijn blijven 
A: 	met die antenne boven zijn het 
B: 	ja 
A: 	ja 
A: 	één 
B: 	ja hij staan ja wat zullen ik zeggen ? een beetje ja hij staan in het midden gewoon qua hoogte en hij staat net naar rechts 
A: 	net naar rechts 
B: 	vanaf het midden 
A: 	en dan iets hoog in het midden 
A: 	of iets iets hoog dan echt het midden of 
B: 	ik denken wel ja ik weten niet goed ik vinden het wel vrij in het midden maar misschien iets hoog 
B: 	in ieder geval niet laag 
A: 	ja bij mij zijn het echt wel een groot verschil tussen hoog en laag dus dan doen ik hem maar niet 
A: 	niet hetzelfde 
A: 	de twee wolkenkrabber die erin zijn boord 
A: 	ja 
B: 	B 
A: 	hij staan iets veel naar rechts vanuit het midden 
A: 	en ook zo goed als helemaal beneden 
B: 	ja ja 
