B: 	ok deze hebben een soort van groot ronde neus een beetje aan de rechterkant aan de linkerkant zitten een soort van 
A: 	ok 
B: 	driehoek balk er boven in zitten twee uitsteeksel één zijn een beetje kegelachtig en de ander zijn een ja rechthoek 
A: 	okan dan zijn het veertien 
B: 	ja hij zitten een beetje net iets onder het midden aan de rechter onderkant 
A: 	en hoe hoe hoe ver zitten hij naar de onderkant 
B: 	er past nog wel een plaat onder en aan de zijkant passen er nog wel drie naast 
A: 	ok 
A: 	hij zitten wel bijna tegen het midden aan 
B: 	jawel maar hij zitten niet in het midden 
A: 	nee ok ja dan zijn het wel dezelfde 
A: 	deze hebben een neus er zitten twee dinge in het kop één rechthoek en één ja 
A: 	beetje gekkig figuur en aan de zijkant zitten nog een soort driehoek wat in driehoekvorm lopen 
B: 	ja dat zijn N 
A: 	zitten helemaal aan de linkerkant van het scherm net iets boven het midden kunnen zeker geen plaat link van 
B: 	o nee 
B: 	dit zijn met die neus en dan die twee ding bovenop 
B: 	neus zitten een beetje aan de rechterkant 
A: 	ja 
A: 	er zitten ook nog één ander ding zo'n driehoek ja negen 
B: 	ja links ja 
B: 	hij zitten aan de linkerkant passen denken ik net geen plaat veel naast en erboven pasn ja anderhalf plaat 
A: 	nee zijn niet hetzelfde 
A: 	ja deze hebben een neus niet met die ding stang er doorheen met twee ding in het kop zeggen maar die wel verschillen en die driehoek aan de zijkant 
B: 	ja dat zijn G 
A: 	hij zitten net iets link van het midden en net ook iets horizontaal zien van het midden af naar beneden 
B: 	ja dus onder past er nog wel zeker één 
A: 	ja 
B: 	ok 
B: 	dat zijn G dat hebben ik al zeggen 
B: 	ja dit zijn met die neus en twee van die ding bovenin en link dat driehoek 
A: 	ja zijn vijf 
B: 	hij zitten zeggen maar aan de rechterkant en ook iets boven het midden boven past nog wel één plaat en rechts nog wel twee 
A: 	rechts passen nog twee plaat naast nee 
B: 	ja 
A: 	dit zijn met de neus niet met de staaf er doorheen met twee van die lepelt erin die wel verschillen 
B: 	ja dat zijn J 
A: 	ja hij zitten wel redelijk zeker wel rechts van het midden ongeveer zeggen ja aan de bovenkant kunnen nog misschien net een plaat net niet misschien 
B: 	o nee er passen wel twee plaat 
A: 	o nee 
