B: 	dit kop hebben aan de bovenkant een balk zeggen maar horizontaal 
B: 	en dan aan de Rechtervoorkant zitten een dun rond staaf met een half doorzichtig 
B: 	driehoekstaaf of zo eronder 
A: 	ja 
B: 	en dan aan helemaal links daarvan zitten een soort van conisch vorm of zo 
B: 	en aan de rechterkant ook die zien je dan nog net zeggen maar 
A: 	ja 
A: 	ja 
A: 	volgens mij ja dat denken dat ik weten met die driehoek en dan daarop dat dun pinne 
B: 	ja dat zijn ook de enig met een balk aan de bovenkant 
A: 	ja ja 
A: 	dat zijn acht 
B: 	bij mij staan die bijna precies in het midden 
A: 	ja net iets link 
B: 	net net er link van 
A: 	maar wel het midden 
A: 	ja 
B: 	ja net er link van en dan zo en misschien net Erboven of zo 
A: 	ja bij mij ook 
B: 	ja dat zijn wel dezelfde 
A: 	denken wel dat dat dezelfde zijn 
A: 	ja dit zijn ja ik noemen het altijd de ander vogel met die horizontaal balk boven en dan dat gek driehoek met dat 
A: 	ja dun staaf erop en dan aan de zijkant nog die ja die uitlopende driehoek 
A: 	die met die die horizontaal staaf boven 
B: 	even kijken hoor waar zijn die 
B: 	die balk bovenop 
A: 	ja 
B: 	en dan het zijn net twee van die vleugel aan de zijkant 
A: 	ja en dan ja een neus met nog zo'n staaf erbovenop 
B: 	oké ja dat zijn E 
A: 	ja hij staan net iets rechts van het midden 
B: 	bij mij ook 
A: 	en net iets onder het midden 
B: 	bij mij staan die boven 
B: 	Erboven 
A: 	nee hij staan bij mij wel echt onder 
B: 	nee dan zijn het niet hetzelfde 
B: 	dit zijn die ander vogel met die balk aan de bovenkant 
A: 	ja ja 
A: 	dat zijn één 
B: 	hij staan bijna precies op deze middellijn 
A: 	ja 
B: 	en dan bovenste rij met nog zo'n stuk aan de bovenkant over 
A: 	ja ja 
A: 	bij mij ook 
A: 	ja dit zijn de Tweede vogel met die balk bovenop 
B: 	ja even kijken waar die staan ja dat zijn E 
A: 	hij staan links best wel bijna in het midden van de linkerhelft net iets daar rechts van 
B: 	ja 
A: 	en qua boven en beneden net iets onder de middenhelft 
B: 	ja bij mij ook 
B: 	dat zijn die ander vogel met die balk bovenop 
A: 	ja 
A: 	zoeken zoeken 
A: 	ja 
A: 	dat zijn zestien 
B: 	hij staan op de onderste rij 
B: 	en dan rechterhelft 
B: 	als je die weer door de helft delen dan daar net links van 
A: 	ja ja bij mij ook 
A: 	dit zijn de twee vogel met de balk boven 
B: 	waar zijn die 
B: 	ah dat zijn O 
A: 	en hij zitten link onderin 
B: 	ja 
B: 	bij mij hebben die nog zoveel ruimte link 
A: 	ja en aan de onderkant weinig 
B: 	zo onder 
A: 	ja 
B: 	ja 
B: 	zelfde 
