B: 	ja 
B: 	er zitten een soort plaat niet onderaan maar iets hoog 
B: 	weten je dan welk ik bedoelen ? met twee uitsteekseltjes boven 
A: 	want die hebben die twee twee uitsteeksel boven ja 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	bij mij zitten die zeggen maar rechtsboven hebben je drie bij elkaar staan 
B: 	en dan zijn het niet die daar links van maar die daar links van 
B: 	dus de drie van rechtsboven 
A: 	de drie van rechtsboven en hij zitten best wel bovenaan er zitten ongeveer zo'n stuk tussen de rand van het scherm en dinge 
B: 	ja 
A: 	ja dan denken ik dat het dezelfde zijn 
A: 	deze hebben ook een plaat maar wat veel naar het midden 
A: 	en dan die twee dinget bovenop 
B: 	dat zijn bij mij C 
A: 	en ja het zijn bij mij de bovenste van je scherm 
A: 	hij zitten aan de rechterkant een beetje maar hoog dan deze kunnen niet 
B: 	ja dat zijn dezelfde plek 
B: 	deze hebben weer dat plaat en dan iets veel richting het midden 
B: 	met die twee dinget Erboven 
A: 	ja wachten ik zoeken die ja ja ja ja precies 
A: 	dat zijn bij mij dertien 
B: 	bij mij zijn die het veel Linksboven 
A: 	nee bij mij zijn die wel helemaal aan de linkerkant maar één daaronder 
A: 	dit zijn weer die een met de plank niet onderaan maar iets omhoog en die twee dinge aan de bovenkant 
B: 	dat zijn bij mij J 
A: 	en je hebben op de onderste rij hebben je er drie 
B: 	ja 
A: 	en daar zijn die de veel rechts van 
B: 	ja 
B: 	met dat plaat maar dan een stuk veel naar het midden 
A: 	ja dat zijn nummer negen 
B: 	een 
B: 	bij mij zijn het eigenlijk degeen die het veel rechtsboven zijn 
A: 	het veel rechtsboven 
B: 	ja zijn niet heel ver rechtsboven maar wel het veel rechtsboven 
A: 	nee 
A: 	bij mij zitten die het veel rechts 
A: 	maar veel naar het midden 
B: 	nee 
A: 	oké dan zijn het niet dezelfde 
A: 	die met de plaat die iets in het midden zitten 
B: 	N 
A: 	bovenaan ongeveer in het midden 
B: 	ja 
