B: 	het ja het doen mij een ja ja het doen mij denken aan een soort olifan maar dan weten ik natuurlijk niet of het jou daaraan doen denken 
A: 	omdat twee 
B: 	nee hij hebben uit ja echt zo'n slurf aan de voorkant 
A: 	ja 
B: 	en dan lijken het net alsof die zo zeggen maar een armp op houden 
B: 	en dan bovenop staan nog twee heel klein cilindertjes 
A: 	bovenop twee heel klein cilindertjes 
B: 	naast elkaar 
A: 	ja en zijn zitten er ook een vierkant ding onder beetje nou niet helemaal onder maar een beetje 
B: 	ja er zitten een soort vierkant ding 
B: 	ja 
A: 	ja erdoorheen ja oké dan weten ik welk het zijn 
A: 	het zijn zes 
B: 	en dit figuurtje staan helemaal bovenin 
B: 	en dan vanaf het midden naar rechts 
A: 	beetje naar rechts 
B: 	een beetje naar rechts 
A: 	ja dan staan die op dezelfde plek 
A: 	even kijken dit zijn die olifant met die slurf zo en rechts hebben die dat 
A: 	ja die tetrisblok zeggen maar 
B: 	zo'n armp zo zullen je het zo kunnen zien 
A: 	en twee 
A: 	ja precies 
A: 	en twee spriet 
B: 	en 
B: 	ja ja dat zijn C 
A: 	en hij staan helemaal boven 
B: 	ja 
A: 	en een stuk naar rechts 
A: 	zeggen maar midden rechts zullen ik zeggen 
B: 	ja dat kloppen 
B: 	geel 
B: 	nee 
A: 	nee dat zijn 
A: 	ik horen het je zeggen 
A: 	maken niet uit we gaan door 
B: 	dan denken ik ik denken hardop weten je voor fout te voorkomen maar 
A: 	precies 
B: 	dit zijn die met aan de voorkant een slurf 
B: 	boven op het hoofd twee ja cilindertjes of rechthoek 
A: 	ja 
A: 	dertien 
B: 	en het armp 
B: 	en staan helemaal links bovenin 
A: 	nee hij staan bij mij linksmidden 
B: 	nee 
A: 	geel 
A: 	de olifant 
B: 	de olifant even zeggen maar met de arm zo 
A: 	ja met de arm de olifant met de arm 
B: 	J 
A: 	helemaal midden onderin 
B: 	en dan een stuk naar links ook 
A: 	heel klein tik naar links 
B: 	rechts bedoelen ik 
A: 	sorry naar rechts ja ja je hebben gelijk ja 
B: 	rechts ja dan kloppen het dus dan zijn het rood 
A: 	ja 
B: 	dit zijn de olifant met het armp zo 
A: 	ja 
A: 	even kijken 
B: 	en het vierkant plateau erdoorheen 
A: 	waar zijn die 
A: 	huh ? ik zien hem niet veel 
B: 	bij mij staan die heel erg rechts 
A: 	ja 
A: 	ja dat kloppen 
A: 	negen 
B: 	nou toevallig 
A: 	en iets omlaag 
B: 	nee hij staan bij mij even kijken hoor midden rechts en dan iets omhoog 
A: 	nee hij staan bij mij omlaag 
A: 	dus geel 
A: 	olifan met armp 
B: 	olifan met een armp 
A: 	zitten bij mij midden boven 
B: 	ja bij mij ook ja 
B: 	dat zijn N 
B: 	en midden boven maar dan wel een stuk naar rechts 
B: 	een tik naar rechts 
A: 	ja ja 
B: 	accent naar rechts 
A: 	accent naar rechts ja 
