B: 	even kijken deze hebben een een soort wokkel aan de onderkant en daaraan een driehoek 
B: 	heel kenmerken 
A: 	ja dat kunnen er maar één zijn 
B: 	ja kunnen er echt maar één zijn 
A: 	dat zijn vier voor mij 
B: 	en hij staan bij mij als je het kruis weer trekken rechtsboven echt helemaal rechts bovenin 
A: 	nee die van mij staan rechtsboven en dan in het midden van dat vak dus dat worden een ander 
B: 	kunnen 
B: 	oké 
A: 	dit zijn degeen met de spiraal aan de onderkant en dan een driehoek 
B: 	ja 
A: 	ja 
B: 	dat zijn voor mij A 
A: 	die zitten voor mij hij zitten links en hij zitten een beetje door de middellijn heen 
B: 	bij mij zitten die erboven boven de middellijn 
B: 	in ieder geval ver naar ja 
A: 	nee doen bij mij zijn het echt een twijfelgeval of die onder of boven de lijn vallen 
B: 	dit zijn die met het wokkel en het driehoek eronder 
A: 	ja 
A: 	dat zijn tien voor mij 
B: 	en die 
A: 	die zitten voor jou ook naast de naast het eend toch ? met die trapezium 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	die zitten linksonder en dan zitten die ernaast 
B: 	ja 
A: 	volgens mij weten ik het nog 
B: 	ja 
B: 	oké 
A: 	dit zijn die met de wokkel aan de onderkant en dan de driehoek 
B: 	dat zijn L voor mij 
A: 	en die staan voor mij helemaal rechtsboven 
B: 	ja voor mij ook 
B: 	dit zijn die weer met de wokkel en het driehoek aan de onderkant 
A: 	ja dat zijn vier voor mij 
B: 	en die staan links 
B: 	van de middellijn en de verticaal lijn die scheiden hem door twee snijden hem doormidden 
A: 	zitten die in het buurt van het kruis of zitten die veel ver naar links 
B: 	nee hij zitten echt wel direct links naast het kruis 
A: 	ja daar hebben ik hem ook 
A: 	dit zijn de met de wokkel onderaan 
B: 	ja 
B: 	F 
A: 	hij staan voor mij ik denken net in het rechterbovenvak maar wel heel erg tegen het kruis aan 
B: 	nee hij staan bij mij zeker weten links 
