B: 	oké dit je hebben hier weer de basisvorm en daaronder komen een een ding naar beneden en die zitten zeggen maar zo draaien 
A: 	ja ja ja 
B: 	en daar zitten een driehoek onder 
A: 	ja 
B: 	weten je welk ik bedoelen 
A: 	ja en er zitten er bovenin zitten er dan een ja een beetje een kubus 
B: 	ja 
A: 	en nog een ander ja 
B: 	twee 
A: 	ja precies en nog een schuin ding 
B: 	en nog één of ander gek ding 
A: 	ja ja 
A: 	oké dat zijn vier 
B: 	hij zitten helemaal naar rechts en helemaal bovenin 
A: 	nee dat hebben ik niet 
B: 	oké 
A: 	nee 
A: 	dus dat kloppen sowieso niet 
A: 	ik hebben nu die soort helixachtig onderkant 
A: 	dat draai vormen ding 
B: 	ja 
B: 	ja 
B: 	ja oké dat zijn A 
A: 	met 
A: 	bij mij staan die links aan de linkerkant in ieder geval 
A: 	een beetje op de middellijn van boven en beneden 
B: 	ja 
B: 	ja links en dan ja iets veel naar boven denken ik 
B: 	omdat die zo lang zijn 
A: 	oeh durfen ik niet te zeggen bij mij of die echt 
A: 	ik denken dat die bij mij misschien iets veel naar beneden hoe ver staat die link van jou 
B: 	wel echt helemaal links er zitten niks veel link daarvan 
A: 	nee dat 
A: 	nee hebben ik niet nee 
B: 	oké dan 
A: 	dus dan staan die sowieso niet hetzelfde nee 
B: 	nee 
B: 	ik hebben de helix 
A: 	ja oké 
B: 	aan de onderkant 
A: 	dat zijn met die kubus Erboven ja 
B: 	ja 
A: 	dat zijn tien 
B: 	en hij zitten helemaal onderin 
B: 	en hij zitten onder de onder de ruit ongeveer 
A: 	ja die hebben we al een beetje bespreken ja 
A: 	onder de ruit 
B: 	ja zeggen maar dezelfde hoe noemen je dat 
A: 	ja 
B: 	dezelfde linksheid van de ruit 
A: 	ja 
A: 	hij zitten hij zitten bij mij net iets naar rechts daarvan 
B: 	ja bij mij ook 
A: 	heel iets 
A: 	ja oké 
A: 	ja 
A: 	ik denken dat die wel hetzelfde zijn ja 
B: 	ja 
A: 	ik hebben nu die dat draaiding 
B: 	de helix 
A: 	de helix ja 
B: 	ja dat zijn L 
A: 	en bij mij staan die rechts bovenin 
B: 	ja bij mij ook 
A: 	oké 
A: 	denken dat het wacht die moeten jij doen 
B: 	ja 
B: 	ja 
B: 	oké ik hebben de helix 
A: 	ja 
A: 	ik kunnen ze steeds weinig goed zien ja 
A: 	zijn nummer vier 
B: 	en hij zitten iets veel link van de middellijn denken ik en ook iets eronder 
A: 	ja 
A: 	dat hebben ik eigenlijk ook 
B: 	hij zitten zijn hoogte komen tot aan het armp van de armpjesman met het eihoofd 
A: 	ja 
A: 	hebben ik ook 
B: 	oké 
A: 	ja 
B: 	dan denken ik op zich dezelfde plek 
A: 	denken het ook ja 
A: 	ik hebben de helix 
B: 	ja 
B: 	oké dat zijn F 
A: 	en hij zitten bij mij ja weer als je het midden hebben zitten die rechtsboven hij zitten echt in die hoek beetje 
B: 	rechtsbof 
A: 	ja 
B: 	bij mij zitten die Linksboven 
B: 	ja Linksboven 
A: 	hij zitten zeggen maar als je die dat gaspedaal nog hebben 
B: 	ja 
A: 	raken er iets van dat gaspedaal deze helix 
B: 	nee 
B: 	nee 
A: 	nee bij mij wel ik denken dat die niet op dezelfde plek nee 
B: 	nee 
