A: 	oei dit vinden ik een lastig 
A: 	er steken één ding omhoog en die beginnen smal en die worden steeds bred en dan zijn die weer smal 
A: 	en er steken drie ding eruit aan de zijkant 
A: 	waaronder één zo'n vierkant blok 
A: 	hetzelfde als wat boven zeggen maar dat ding 
A: 	en achter nog zo'n een een krulle 
B: 	ja 
A: 	en het zijn een pot hij staan op niks of zo zeggen maar 
B: 	ja 
B: 	het zijn maar zeggen maar dat ding dat aan één kant uitsteken en dat daarboven zijn hetzelfde zeker 
A: 	wat naar boven eruit steken en de een kant aan de zijkant zijn hetzelfde 
B: 	ja 
A: 	en dan hebben je nog twee ander dinge ernaast 
B: 	ja ja 
B: 	oké 
B: 	dat zijn E 
A: 	en hij staan bij mij rechts iets boven zo ver rechts als dat het kunnen 
A: 	en dan 
B: 	dan staan die bij mij ergens ander 
A: 	ik willen zeggen en dan iets boven het midden dus nee oké dan hoeven niet door te opgaan 
B: 	ja 
B: 	ja 
B: 	nee 
B: 	ja deze zijn met die ja met dat een ding bovenop dat ook aan de zijkant zitten zeggen maar 
A: 	even denken hoor bovenop wat dat zijn 
B: 	zeggen maar dat dat eerst dan smal zijn en dan breed worden en dan weer smal worden 
B: 	en diezelfde zitten ook aan de zijkant 
A: 	even denken 
A: 	en nee smal breed 
B: 	en dan aan de ander één van de ander zijkant het zijn net of daar een wolkenkrabber doorheen zijn boord 
A: 	alsof er een wolkenkrabber doorheen zijn 
A: 	ja kloppen 
A: 	en aan de achterkant hebben je nog zo'n zo'n dinge 
B: 	ja ja ja 
A: 	ja 
A: 	elf 
B: 	en deze staat bij mij ja vrij in het midden maar wel links nog 
B: 	en ja veel boven dan onder 
B: 	maar ook wel vrij in het midden 
A: 	ik denken gelijk 
B: 	ja 
A: 	dit zijn die wolkenkrabber die erin zijn boord 
A: 	en boven aan de zijkant hebben je zijn dezelfde wat erin zitten 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja die cactusachtig wolkenkrabber 
A: 	en er zitten achter nog een staart of iets of zo 
A: 	ja kloppen 
B: 	J 
A: 	hij staan qua hoogte in het midden en qua breedte 
A: 	echt het het midden van rechts dus als je rechts als je als je het midden nog een keer zullen delen zullen die echt in het midden staan van rechts zeggen maar 
B: 	ja 
B: 	ja ja maar deze hoogte zijn niet helemaal in het midden denken ik 
B: 	maar de rechts zijn wel nou ja 
A: 	ja 
B: 	ja dit zijn die met die één wolkenkrabber zeggen maar 
B: 	en dan met die cactusachtig ding 
A: 	ja ik zitten te kijken 
A: 	ja ik zien hem 
A: 	negen 
B: 	bij mij staan die ja denken de twee rij van rechts 
B: 	denken twee rij van onder twee drie rij 
A: 	van onder 
A: 	nee dan 
A: 	dit zijn de de wolkenkrabber die 
B: 	die 
A: 	erin zijn boord en dan hebben je nog twee zo eruit steken en achter nog een staart of zo 
B: 	ja 
B: 	ja 
B: 	B 
A: 	hij staan rechts ongeveer twee van rechts ja en twee van rechtsboven ongeveer 
A: 	zullen beneden kunnen er nog wel één vol 
A: 	en aan de zijkant zullen ook nog wel één vol kunnen 
B: 	oké nee deze staan wel heel erg rechts 
B: 	met die een wolkenkrabber 
A: 	even kijken waar staan je 
A: 	in die arm toch 
B: 	ja 
A: 	ja 
A: 	dertien 
B: 	bij mij staan die Linksboven 
B: 	denken ik 
B: 	ja 
A: 	helemaal boven 
B: 	ja 
A: 	nee 
A: 	hij staan bij mij staan die echt midden link 
