A: 	tik 
A: 	ja dit zijn veel zo'n soort ja net korfbal achtig iets soort met en dan zijn eigenlijk een stok omhoog dan zitten er eigenlijk dat ovaal ding tegenaan en dan uitkomen er 
A: 	buitenkant twee er uit en met een bal er bovenop of een rond 
B: 	bal er bovenop o soort soort 
B: 	beetje zo dat dat hij zo staan bal bovenop en dan zo'n staaf aan de zijkant die er onder uit komen ja dan zijn het D 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ok als je weer de middenlijn pakken dan staan hij echt helemaal onderin hebben hebben je drie blok als je echt de onderste lijn gaan kijken en dan staan hij in een in het midden 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja dan iets link van het midden 
A: 	iets link van het midden ja ja 
B: 	dan staan hij op dezelfde plek 
B: 	ja dit zijn weer die die bal die bovenop liggen met die met die staaf aan de zijkant die er onderin nog uitsteken 
A: 	zijn helemaal draaien 
A: 	ja 
A: 	ja en dan nog aan die zijkant ja 
B: 	aan die zijkant inderdaad die twee twee ding die afbuigen 
A: 	dat zijn dan nummer vijftien 
B: 	en bij mij zitten hij echt helemaal rechts onderin 
A: 	nee bij mij niet 
A: 	ja dat dit zijn nog steeds die wat ik zeggen een korfbal met een bolle er bovenop waar aan de zijkant waar 
B: 	ja en die balk die dan zo ja dat zijn L 
A: 	ja en die balk naar beneden ja 
A: 	ja ja ok je hebben dan weer die linkerrij en dan hebben je die dan schuif je een rij op wat we net zeiden maar dan in die volgen rij er boven zeggen maar 
B: 	ja 
B: 	ja dus als je zeggen maar alles zo verticaal gaan verdelen dan de drie rij vanaf vanaf links en dan bovenste 
A: 	drie rij en dan bovenaan ja 
A: 	ja ja 
B: 	ja dit zijn weer dat korfbal ding balletje bovenop en met die balk ernaast 
A: 	ja 
A: 	dat zijn dan nummer zes 
B: 	en hij zitten bij mij in die piramide en dan tussen je hebben drie twee één dan zitten hij op de twee rij rechts 
A: 	o nee bij mij staan hij nu in de één rij en dan helemaal onderin de drie 
B: 	ja 
A: 	dus dan nee 
A: 	ja dit zijn die korfbal dus eigenlijk die waar die bal bovenop liggen ja 
B: 	ja 
B: 	dit zijn J 
A: 	als jij die zelfde vierkant hebben en dan links bovenin in de vierkant 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn weer die korfbal 
A: 	ja dat zijn dan nummer drie 
B: 	en die zitten bij mij dat zijn eigenlijk de veel rechts die zitten een beetje in het midden maar dan aan de rechterkant 
A: 	ja wel dan de veel rechts ja ja zelfde plek 
