A: 	ja nu hebben ik dat ding wat zo raar uitsteken die zo uit het niets eigenlijk komen een ja ik zien het als een soort toren 
A: 	die en hij hebben zo'n zo'n rond plateau 
B: 	aan de zijkant ja 
A: 	aan één kant 
A: 	ja 
B: 	ja 
B: 	ja oké 
B: 	dat zijn L 
A: 	hij zitten bij mij helemaal ja niet het nagenoeg onderop bij mij 
A: 	en niet helemaal naar links maar beetje in het midden van 
B: 	oké 
B: 	nee dan zitten ze niet op dezelfde plek 
A: 	oké 
B: 	oké dit zijn de Eiffeltoren 
B: 	met dat plateau 
A: 	ja 
B: 	oké 
A: 	zeven 
B: 	en hij staan iets veel naar links en hij zijn bijna de boven 
A: 	dat zijn bij mij echt niet want ik hebben er echt anderhalf sowieso tussen of misschien wel twee zelfs 
B: 	er zijn denken ik nog een half boven 
B: 	aan de bovenkant 
A: 	ja 
B: 	ja nee dan zijn het het niet 
A: 	nee oké 
B: 	oké 
A: 	ik hebben weer de Eiffeltoren 
B: 	ja 
B: 	oké dat zijn C 
A: 	als je vanaf het midden weer kijken dan zitten die net hij zitten echt aan de rand van het midden denken ik van boven naar beneden en maar dan net aan de rechterkant wel 
B: 	oké 
B: 	aan de rechterkant 
A: 	ja dus hij zitten rechtsboven 
A: 	vanaf het midden maar dan 
B: 	bovenin 
A: 	ja 
B: 	oké bij mij zitten die onderin 
A: 	hij zitten onder het 
B: 	dus 
B: 	ja hij zitten onder het midden 
A: 	oké nee dan bij mij zitten die echt daarboven 
B: 	wel aan de rechterkant maar onder 
B: 	oké 
B: 	oké ik hebben de Eiffeltoren 
A: 	oké ja oké 
A: 	dat zijn nummer één 
B: 	en hij zitten op de middellijn ik denken iets veel naar onder maar wel echt ongeveer op de middellijn 
B: 	en er past er denken ik nog één misschien iets weinig naast aan de linkerkant 
A: 	ja maar hebben jij ook niks ernaast staan veel 
B: 	nee 
A: 	nee ik ook niet 
A: 	ja bij mij zullen er ook ongeveer één nog naast passen 
A: 	iets weinig denken ja 
B: 	oké 
B: 	dan denken ik wel dezelfde plek 
A: 	dezelfde plek ja 
A: 	de Eiffeltoren 
B: 	oké 
B: 	waar zijn die ? daar 
B: 	dat zijn A 
A: 	bij mij hij zitten vanaf boven naar beneden zitten die net onder de middellijn 
A: 	en links daarvan toepassen er anderhalf denken ik 
A: 	sowieso één 
B: 	ja 
A: 	maar misschien iets veel dan dat 
B: 	ja 
B: 	ja 
B: 	ik denken ik denken wel iets veel dan één 
A: 	ja 
A: 	dat denken ik ook 
B: 	en hij zitten wel echt echt een beetje op de middellijn 
A: 	ja 
B: 	en dan er iets onder 
A: 	ja 
B: 	oké ik denken dezelfde plek 
A: 	ik denken het ook ja 
B: 	de Eiffeltoren 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	en hij zitten de veger zitten er onder 
B: 	de bovenkant van de veger raken de onderkant van de Eiffeltoren 
A: 	nee dat hebben ik helemaal niet bij mij zitten die als je de middellijn hebben zitten die net daarboven 
B: 	net boven de middellijn 
A: 	ja 
B: 	oké nee niet dezelfde plek 
A: 	nee 
