B: 	ok dit zijn die telescoop wat je zeggen alleen met twee ding 
A: 	die 
B: 	en dan het vlak rechts zitten er op en dan bovenop zitten er nog een soort spijker 
A: 	ja met zo'n bolle bovenop die ja 
B: 	ja 
A: 	het lijken op een robot dat zijn nummer twee bij mij 
B: 	en dan zitten hij in de het vak linksonder ? en dan weer onder alleen dan in het midden 
A: 	nee die van mij zitten wel in het groot linkervlak maar dan Linksboven 
B: 	ok nee dat zijn hem niet 
A: 	nee dus dan zijn het rood 
A: 	ja dit zijn die op die robot lijken met twee van die telescoopog en zo'n vierkant link van hem met zo'n spijker boven in zijn hoofd 
B: 	ja dat zijn voor mij G 
A: 	en die zitten in het linkerondervak Beetje in het midden en dan 
A: 	rechtsboven en er zullen één plaat nog onder kunnen 
B: 	ok liggen hij bijna bij het kruispunt van de groot 
A: 	ja 
A: 	ja dan zullen hij nog iets iets omhoog moeten denken ik als hij tegen het kruidpunt aan willen liggen 
B: 	ja 
B: 	en hij liggen wel in linksonder duidelijk ja ok dan zijn het geel 
A: 	ja ja ja 
B: 	ok dit zijn met de telescoop twee ding een vierkant vlak en één spijker bovenop 
A: 	ja 
A: 	ja dat zijn nummer negen 
B: 	en hij liggen in het links onder vlak en dan helemaal aan de rechterkant 
A: 	ja 
A: 	bijna tegen de middenlijn aan 
B: 	ja en dan een beetje qua hoogte beetje in het midden 
A: 	ja maar kunnen er nog één één plaat onder bij mij staan er in ieder geval een plaat onder maar 
B: 	ja 
B: 	ja bij mij ook 
A: 	okan dan zullen hij ongeveer op dezelfde plek zitten 
A: 	ja dit zijn met die twee telescoopog en dat vierkant aan de zijkant en die spijker bovenop 
B: 	ja dat zijn voor mij d 
A: 	en die liggen eigenlijk min of veel in het midden net iets ik zullen zeggen net iets linksboven van het midden 
B: 	ja voor mij ook 
A: 	ja net in die hoek links 
B: 	bijna gewoon op het kruispunt 
A: 	ja ja ja 
B: 	ok 
B: 	dit zijn met twee telesco één vierkant en een spijker 
A: 	ja dat zijn even kijken waar staan hij één 
B: 	en hij liggen bijna in het midden 
A: 	ah nee die van mij liggen wel een stuk van het midden af vanaf de verticaal middenlijn liggen hij in ieder geval best wel ver vanaf 
A: 	net iets boven de horizontaal maar dan 
B: 	ja bij mij liggen hij op de horizontaal en bijna op de verticaal 
A: 	nee er past er nog wel bij mij één tussen tot de verticaal 
B: 	okan dan zijn het hem niet 
A: 	dit zijn met die twee telescoopog spijker bovenin en een vierkant aan de zijkant of voorkant 
B: 	ja dat zijn voor mij B 
A: 	hij liggen rechtsonder en dan linksonder en er past eigenlijk niks veel onder 
B: 	rechtsonder linksonder 
B: 	nee 
A: 	er zijn wel ruimte onder maar er past niet veel echt wat in 
B: 	ja bij mij ook 
