A: 	het zijn een beetje die je hebben dat gewoon die beker en dan hebben je zo'n soort stang horizontaal doorheen met twee bollet aan de uiteinde 
A: 	gewoon die ja die die ja 
B: 	ja en een soort van zonnepaneel aan de acht erachter 
A: 	ja die ja 
B: 	ja dat zijn nummer K 
A: 	en die staan bij mij links 
A: 	vrij ver naar links en bijna bovenaan 
B: 	ja bij mij ook 
B: 	dat kop met die twee uitstulpsels en dat soort van zonnepaneel aan de achterkant 
A: 	ja 
A: 	nummer negen 
B: 	en hij staan bij mij echt vijfenzeventig procent naar rechts 
B: 	en dan net niet bovenaan maar 
A: 	ongeveer op zestig zeventig bovenaan 
B: 	ja 
A: 	ja 
A: 	die emmer met die met dat paaltje erdoorheen en die twee bollet aan de zijkant 
A: 	en dat zonnepaneel 
B: 	ja 
B: 	dat zijn bij mij waar staan die 
B: 	F 
A: 	en dan staan die centrum centrum en dan iets veel naar links en ook iets veel naar onder 
A: 	maar wel ook wel 
B: 	nee bij mij naar boven 
A: 	oké 
B: 	ja 
B: 	ik hebben dan met die twee uittulpsel en de zonnepaneel 
A: 	ja dat zijn Jezus 
A: 	nummer drie 
B: 	staan bij mij helemaal onderaan 
B: 	en dan vanaf ongeveer op vijfentwintig procent van links 
A: 	ja 
A: 	die die emmer met die staaf erdoorheen met die bollet aan de zijkant en dat zonnepaneel 
B: 	ja die 
B: 	L 
A: 	die staan midden midden en een heel klein beetje naar onder heel klein beetje naar rechts denken ik 
B: 	ik hebben dat met die ding eruit en dat zonnepaneel 
A: 	ja dat zijn nummer vijf 
B: 	ja 
B: 	midden midden en dan ongeveer vijfentwintig twintig procent naar onder 
A: 	en ja en iets naar links misschien 
B: 	ja nog iets klein beetje 
A: 	ja 
