B: 	deze hebben ook vier handvaat waarvan de die aan de voorkant zitten zijn dat bolle 
B: 	en dan links hebben je een driehoek 
A: 	ja 
B: 	en dan zitten er twee bovenop waarvan de linker ja ik vinden het op een soort pen lijken 
B: 	en de rechter zijn gewoon een rechthoek 
A: 	ja dat zijn nummer veertien 
B: 	hij staan als je van links naar rechts kijken iets veel naar rechts maar wel dicht bij het midden 
B: 	en van boven naar onder de twee rij van onder 
A: 	twee rij ja ik ik ik ik denken dat we hem ongeveer bij mij staan die 
A: 	wel iets oké je zeggen iets midden en dan rechts daarvan en ook een soort van onder de middellijn 
B: 	ja 
A: 	maar de de drie rij ja ja ik denken dat dat wel kloppen 
B: 	ik weten niet of jij al plaat ook zo hebben 
A: 	nee dat dat denken ik niet maar als die een beetje onder het midden zijn en een beetje rechts van het midden dan denken ik dat die gewoon op dezelfde plek staan 
A: 	dus geel 
A: 	ja dit zijn die een waar jij zeggen dat er een penne in zitten en het rechthoek zeggen maar 
B: 	ja 
B: 	en een balle van 
A: 	en het en het balle eraan en dat Vvormig ding 
B: 	ja 
B: 	dat zijn N bij mij 
A: 	en hij staan bij mij helemaal aan de linkerkant 
A: 	en dan drie rij van boven zeggen maar 
B: 	helemaal links 
A: 	helemaal links 
B: 	nee dan staan ze niet op dezelfde plek 
B: 	dit zijn weer dat kop met die vier handvaat waarvan één zo op een pen lijken 
B: 	en aan de voorkant een balle 
A: 	en het V' 
B: 	link zitten V' en boven dat rechthoek 
B: 	ook nog daarbij naast die pen 
A: 	ja dat zijn nummer negen 
B: 	ja 
B: 	en hij staan links en dan ongeveer op de middellijn 
A: 	nee hij staan bij mij linksboven dus dat zijn rood 
B: 	oké 
A: 	de pen en het staaf in het beker met het V'tje en de knop 
B: 	ja 
B: 	ja dat zijn G 
A: 	en dan staan die linksonder van het midden 
A: 	en links daarvan staan zeggen maar er zitten wel wat ruimte tussen maar links daarvan staan het figuur die we net hebben met het balk 
A: 	en het koffietuitje 
A: 	dus je hebben zeggen maar het middelpunt en dan staan die daar echt net linksonder van 
B: 	ja 
B: 	ja dan staan ze op dezelfde plek 
B: 	dit zijn die weer met die pen en dat rond aan de voorkant 
B: 	dat bolle bedoelen ik 
A: 	en het rechthoek ernaast 
B: 	ja 
A: 	nummer vijf 
B: 	en hij staan in de rechterbovenhoek en dan ongeveer als je dat vlak hebben in het midden daarvan 
B: 	dus iets boven de middellijn en ongeveer op de helft als je van links naar rechts kijken 
A: 	ja hij zijn zeggen maar de één van de veel rechts 
B: 	nee 
A: 	de 
A: 	nee 
B: 	nee 
A: 	de bij mij staan er nog één figuur die iets veel naar rechts staan aan de onderkant van het scherm zeggen maar 
B: 	nee bij mij wel een stuk of vijf denken ik 
B: 	dus dat zijn niet hetzelfde de 
A: 	oké zijn goed 
A: 	het koffiemok met de pen en de staaf en het knobbel 
B: 	ja 
B: 	dat zijn J 
A: 	en hij staan je hebben de nou staan ze echt lastig uit te 
A: 	niet rechtsboven maar als je zeggen maar hier rechtsboven hebben daar één figuurt linksonder van dus één rij naar onder en één rij naar 
B: 	ja 
B: 	bij mij staan die echt op de middellijn van boven naar onder 
A: 	op de middellijn nou dan staan die niet op dezelfde plek 
B: 	nee 
