B: 	deze lijken eigenlijk een soort bank wat eraan zitten 
B: 	of een soort duikplank 
B: 	want het zijn een een vlak iets met twee van die poo eraan 
A: 	ah 
A: 	ja 
B: 	en daarbovenop zitten nog een soort springplankachtig iets 
A: 	ja dus echt gewoon zo'n rechthoek tafelachtig maar dan helemaal aan het bovenste van het mokje dan wat jij toen zeggen 
B: 	ja 
B: 	ja 
B: 	ja kloppen 
A: 	oké dan zijn het nummer zestien 
B: 	en hij staan als je de computer in vier vlak opdeelen 
B: 	dan staan die aan de rechterkant dus ik doen dan even voor jou rechterkant en dan tegen de middellijn aan 
A: 	oké en staan die ? 
B: 	in het midden van dat vlak weer 
A: 	middellijn zijn deze lijn 
B: 	ja 
A: 	nee bij mij staan die echt helemaal daarboven 
A: 	dus dan staan die niet op dezelfde plek 
B: 	ja 
B: 	nee 
A: 	dat zijn die een met dat tafel eigenlijk helemaal bovenaan weten je wel ? zo'n rechthoek helemaal bovenaan dat kop 
A: 	hebben we ook al een keer hebben 
B: 	ja met die dat bank zeggen maar met dat 
A: 	ja dat bank 
B: 	dan zijn het P 
A: 	bij staat die eigenlijk in het ja rechtsbovensen vak vlak 
A: 	maar dan staan die veel dicht bij de middellijn 
B: 	ja 
B: 	en dan ook in het midden van het rechts vlak zeggen maar 
A: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn die weer met dat bank 
A: 	ja even kijken 
A: 	dat zijn nummer veertien 
B: 	en hij staan ja ongeveer tegen de middellijn aan 
B: 	en dan aan de linkerkant helemaal onderin 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn met dat bank tafel 
B: 	ja 
B: 	dat zijn N 
A: 	bij mij staan die in het vlak linksboven en dan net boven de middellijn 
B: 	ja en dan in het midden van dat vlak weer 
A: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn met dat bank 
A: 	oké 
A: 	even kijken ah nummer tien 
B: 	en hij staat ongeveer op deze lijn wel 
B: 	misschien net iets link daarvan 
B: 	en dan boven deze lijn 
B: 	en dan in het linksboven in het vlak 
A: 	oké bij mij staan die eigenlijk gewoon best wel in het midden dus bij deze middellijn 
A: 	en dan helemaal bovenaan 
B: 	ja 
B: 	helemaal bovenaan 
A: 	ja 
B: 	er staan er geen veel boven bij jou 
B: 	geen figuurt 
A: 	nee 
B: 	oké 
B: 	bij mij wel 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn met dat bank 
B: 	ja dat zijn D 
A: 	hij zitten in het vlak rechtsboven 
A: 	en dan ja best wel dicht bij de middellijn 
B: 	bij deze middellijn 
A: 	ja 
B: 	oké dan zitten die niet op dezelfde plek 
