B: 	deze hebben zegmaar een spijker bovenop en een vierkant vlak aan de voorkant 
A: 	ja twee 
B: 	met twee blokkentorent link 
A: 	ja 
A: 	ja linksonder 
B: 	ja 
B: 	er zitten er bij mij niks links langs 
B: 	in dezelfde 
A: 	ja hij zitten zegmaar helemaal links en dan veel richting het midden zegmaar als in 
A: 	niet midden van het scherm zo maar midden van hier en dan linksonder zitten helemaal niks 
B: 	ja 
A: 	en als je het figuur hebben dan aan de als je zeggen maar zo'n lijn doortreken dan zitten er hier wel één 
A: 	dat zijn in spiegelbeeld dus hier staan er één en hier staan er één 
B: 	ja en welk zijn het dan bij jou ? bij mij zijn het zegmaar die rechts 
B: 	ok 
B: 	bij mij zijn het zeggen maar in dezelfde rij zo zo'n rij er twee langs 
A: 	ja 
A: 	oken ik denken niet dat hij hetzelfde zijn 
B: 	nee voor jou staan er dan als het goed zijn ja drie langs of zo 
A: 	ja 
B: 	dan ja 
A: 	deze hebben een vierkant schijf ervoor en dat spijkertje er in en die twee blokkentorens ja 
B: 	blokkentorent 
B: 	G 
A: 	linksonder bij dat vierkantje 
B: 	ja 
A: 	ja 
B: 	hij hebben zegmaar een spijker bovenop links twee blokkentorent en een vierkant scherm 
A: 	ja 
A: 	negen 
A: 	drie rij en dan drie figuur 
B: 	van boven 
A: 	ja als je dus boven hebben één twee drie 
B: 	ja ja 
A: 	dus dan zijn het die 
A: 	vierkant scherm aan de voorkant spijkertje er in en die twee blokkentorens 
B: 	d 
B: 	twee rij de twee 
A: 	ja 
B: 	twee blokkentorent link spijker bovenaan vierkant schermpje vooraan 
A: 	twee blokkentoar links 
A: 	ja één 
A: 	vijf rij de één 
B: 	vier rij één dus niet hetzelfde 
A: 	nee 
A: 	vierkant scherm aan de voorkant spijker en die twee blokkentorent 
B: 	B 
A: 	de vijf rij 
B: 	de drie 
A: 	nee dan moeten jij doen toch 
B: 	okan ja 
