A: 	ik hebben er nu één met zo'n soort ruit Erboven en van die vierkant aan de zijkant ernaast 
A: 	even ja die zitten eigenlijk achter die ruit en ervoor en aan de voorkant opsteken er nog zo'n staaf uit en er steken ook nog aan de 
B: 	ja 
B: 	aan de onderkant hebben je ook zo'n 
A: 	ja aan de onderkant zo'n soort zo'n staaf en aan de rechterkant zo'n staaf nog 
B: 	ja 
B: 	oké dan zijn het bij mij dan M 
A: 	bij mij staan die link van het midden ongeveer op één vier denken ik 
A: 	en dan net iets onder de middellijn 
B: 	nee bij mij staan die boven de middellijn dus dan zijn het sowieso al een ander plek ja 
A: 	op een ander plek 
B: 	ja ik hebben nu die een weer met ja een soort van dat zijn die een met hoe noemen je dat 
B: 	ja een vierkant zeggen maar aan de bovenkant of ja een soort van ruit 
B: 	en daaruit steken dan ook weer van die vierkant die telkens groot worden 
A: 	ja en dan zo'n staaf rechtsvoor zeggen maar 
A: 	en twee van die staaf één eronder en één rechts 
B: 	ja 
B: 	ja die inderdaad 
A: 	ja 
A: 	dat zijn nummer negen bij mij 
B: 	en bij mij staan die helemaal onderaan en dan aan de linkerkant ongeveer 
A: 	op één drie 
B: 	op één drie ja 
A: 	ja bij mij ook 
A: 	ik hebben nu die een met die soort ruit achter aan de bovenkant en die vierkant aan de zijkant 
A: 	en dan één zo'n ding aan de rechterkant zo'n uitsteeksel en één aan de onderkant en zo'n staaf ervoor 
A: 	bij mij liggen die heel ja 
B: 	die een met ook weer die vierkant die telkens groot worden die uit zo'n uit een ruit komen zeggen maar 
A: 	ja die groot worden 
A: 	ja 
A: 	ja uit die ruit komen ja 
B: 	oké dat zijn bij mij zijn dat H 
A: 	bij mij liggen die linksboven en dan zullen er één plaat boven kunnen en twee plaat ongeveer naast dat worden wel een beetje krap 
A: 	ja of ongeveer 
B: 	ja bij mij liggen die ook ongeveer Linksboven 
B: 	en de 
A: 	hij liggen ongeveer op één vier van het scherm denken ik 
A: 	aan de linkerkant en ongeveer op één drie qua hoogte 
B: 	ja één drie qua hoogte wel 
B: 	ja bij mij staan er dan linksboven en de of nee wel linksboven en linksonder hebben je dan allebei nog een plaat zeggen maar 
A: 	ja 
B: 	en dan staan die daar dus ja bij mij kunnen er ook inderdaad nog wel twee plaat ernaast aan de linkerkant 
A: 	ja dat worden wel krap hoor 
A: 	ik denken zeggen maar er vaststaan nu maar één plaat naast en dan gewoon nog ruimte over zeggen maar of ja die staan er schuin naast dan 
A: 	ik denken dat die ongeveer op dezelfde plek staan 
B: 	ja 
A: 	ongeveer op één vier van het scherm denken ik 
A: 	aan de linkerkant of misschien net 
B: 	ja 
B: 	ik zullen wel iets zeggen dat die bij mij nog wel iets ver naar 
A: 	link liggen 
B: 	ja op zich inderdaad twee plaat maar inderdaad dan worden ja het zullen wel kunnen twee plaat maar 
A: 	maar dat worden 
A: 	ja dat hebben ik ook 
A: 	ik denken dat die wel op dezelfde plek liggen 
B: 	ja ik denken wel dezelfde plek inderdaad 
B: 	nou hebben we weer die een met die ruit zeggen maar aan de bovenkant met die de vierkant die steeds groot worden inderdaad en dan eronder en 
A: 	vierkant erdoorheen 
A: 	ja 
A: 	ja 
B: 	aan zijkant 
A: 	nummer elf zijn dat bij mij 
B: 	en bij mij staan die ja eigenlijk wel helemaal aan de bovenkant zeggen maar 
A: 	en 
B: 	en dan helemaal aan de linkerkant zeggen maar dus van de plaat die het veel links bovenin 
A: 	ja bij 
A: 	ja van de plek zijn het die veel Linksboven maar zullen er in principe nog wel bijna twee bijna twee plaat naast kunnen 
B: 	er zullen nog wel 
B: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	ik hebben nu die een met die soort ruit met die vierkantjes die groot worden aan de zijkant 
A: 	daarachter zeggen maar 
B: 	ja 
A: 	en die uitsteeksel één aan de onderkant en één rechts 
B: 	ja 
B: 	dat zijn bij mij d 
A: 	mij staan die ongeveer ja aan de linkerkant ongeveer op één vier 
A: 	en ja hij staan wel er staan geen plaat onder zullen ook niet echt passen hij staan best wel ver naar onder 
B: 	bij mij staan die helemaal links onderin 
B: 	het veel plaats 
A: 	het veel link 
B: 	ja 
A: 	bij mij staan er nog een plaat naast 
B: 	nee dat kunnen bij mij niet veel dus dat zijn dan niet dezelfde plek 
A: 	nee 
B: 	dan hebben we weer die een met met die ruit zeggen maar waar dan die drie of die kubus uit komen die steeds groot worden 
A: 	dat zijn bij mij nummer veertien 
B: 	en bij mij staan die helemaal aan de linkerkant in het midden eigenlijk 
A: 	qua hoogte staan die in het midden 
B: 	qua hoogte in het midden inderdaad en dan 
A: 	nee bij mij staan die onder dus staan die niet op dezelfde plek 
